 	le	jour	baisse	</S>
b	0.448728	0.543452	0.00716846	0.000651863
v	0.146277	0.78771	0.0598745	0.00613881
ú	0.287739	0.514654	0.145811	0.0517951
s	0.14285	0.474168	0.262995	0.119987
á	0.586416	0.242699	0.0529602	0.117924
ó	0.371562	0.362725	0.11658	0.149133
b	0.103336	0.287783	0.350283	0.258598
h	0.0720982	0.353214	0.381028	0.19366
i	0.0843666	0.242558	0.458921	0.214154
b	0.0431842	0.0214767	0.326752	0.608587
ó	0.131431	0.0460405	0.44911	0.373418
o	0.109043	0.0428189	0.237722	0.610416
b	0.007924	0.0145987	0.171519	0.805959
h	0.00582679	0.017823	0.716861	0.259489
í	0.009367	0.00548878	0.584458	0.400687
n	0.00596329	0.00233043	0.14794	0.843766
d	0.0469887	0.0122806	0.159779	0.780952
a	0.00618952	0.00244559	0.0727549	0.91861
</S>	0.0804164	0.01398	0.0854571	0.820147
