 	quelles	nasses	tu	viens	de	vérifier	</S>
n	0.756465	0.132028	0.109408	0.00066407	0.000669738	0.000503008	0.000262761
ω	0.42963	0.44688	0.111792	0.00125113	0.00552172	0.00420072	0.000724221
ó	0.271253	0.517766	0.127839	0.0304123	0.0066472	0.0431019	0.00298097
w	0.0531176	0.245834	0.0949376	0.5162	0.032839	0.0164483	0.0406238
ú	0.0688813	0.112208	0.0895349	0.525834	0.0531544	0.0339859	0.116402
r	0.0567788	0.320451	0.329841	0.189272	0.0378695	0.0347667	0.0310205
u	0.0620013	0.291426	0.354925	0.100079	0.0898091	0.0287217	0.0730379
o	0.00981926	0.147776	0.606458	0.113827	0.115278	0.0019838	0.00485899
l	0.00200712	0.00568868	0.00824997	0.632286	0.228683	0.0923479	0.030738
ώ	0.00579697	0.00472479	0.00574464	0.497757	0.117183	0.331018	0.0377762
n	0.0019024	0.0271883	0.00542073	0.0654358	0.199584	0.494744	0.205725
g	0.00198264	0.0125158	0.0243975	0.0972726	0.520428	0.266501	0.0769027
ώ	0.00164386	0.0417947	0.136521	0.0210919	0.201652	0.444761	0.152535
i	0.000262906	0.00212509	0.00458155	0.00137098	0.302338	0.435278	0.254043
k	0.000697924	0.000431562	0.00109961	0.000627895	0.0928526	0.628394	0.275896
ω	0.00116896	0.000306914	0.000872034	0.000254112	0.0189785	0.893357	0.0850625
n	3.25204e-05	0.000453162	0.00042493	0.00206707	0.0441071	0.917865	0.0350498
y	4.98364e-05	0.000219347	0.000133645	0.000519047	0.0388894	0.836762	0.123427
í	9.83179e-05	0.000371753	0.000366618	0.000495186	0.0198065	0.861509	0.117352
m	0.000123323	0.000604179	0.000458212	0.000247492	0.164472	0.208172	0.625923
i	0.0100231	0.00741101	0.0226977	0.000689759	0.2387	0.0428664	0.677612
</S>	0.00201822	0.00679214	0.00215399	0.00137613	0.150899	0.218433	0.618328
