 	le	feu	produit	des	étincelles	</S>
m	0.678671	0.287791	0.0306889	0.00249586	0.00014487	0.000207522
í	0.00995137	0.98515	0.00435769	0.000223132	1.94565e-05	0.000298203
á	0.340013	0.597628	0.0561209	0.00506796	0.000542479	0.000627662
b	0.250284	0.348407	0.329141	0.0533903	0.00424053	0.0145375
o	0.0235306	0.130552	0.671629	0.115134	0.00505314	0.0541019
m	0.0878638	0.0932515	0.631302	0.15529	0.00240266	0.0298901
í	0.175023	0.251012	0.372535	0.14458	0.0101284	0.0467212
i	0.271389	0.114293	0.353681	0.241227	0.00277847	0.0166325
p	0.0103359	0.0121905	0.202305	0.708105	0.0408712	0.0261929
έ	0.0139039	0.00194649	0.382565	0.391547	0.193227	0.0168114
i	0.329755	0.0787386	0.223478	0.229898	0.0675983	0.0705325
t	0.0170156	0.00646344	0.0498894	0.596941	0.247118	0.0825724
έ	0.00404797	0.00215081	0.0292684	0.0796978	0.832091	0.0527439
t	0.00533527	0.0047787	0.0502311	0.135543	0.477826	0.326286
ε	0.0029833	0.000401906	0.0120016	0.0222952	0.911511	0.0508074
</S>	0.00477724	0.000381546	0.0101153	0.0396017	0.901942	0.0431825
