 	il	l'	accusé	de	vol	</S>
w	0.718675	0.21635	0.0366891	0.0265241	0.00129772	0.000463615
a	0.832977	0.0767189	0.0124692	0.0762151	0.00125334	0.00036606
á	0.206322	0.65728	0.0674757	0.0525213	0.00303795	0.0133626
f	0.0701063	0.588422	0.17412	0.0850994	0.034145	0.048107
u	0.0362204	0.223022	0.563818	0.0646941	0.00909492	0.10315
n	0.00562673	0.126474	0.703573	0.0399132	0.113357	0.0110564
d	0.0114708	0.142976	0.692779	0.0756581	0.0571382	0.019978
u	0.0285958	0.186664	0.272135	0.477098	0.0115464	0.0239601
w	0.0116173	0.108217	0.226196	0.495304	0.111667	0.0469983
a	0.160364	0.172573	0.402699	0.228805	0.00816099	0.0273969
m	0.0195496	0.031218	0.0344646	0.686357	0.0853199	0.143091
ó	0.00324189	0.0116524	0.00900442	0.373167	0.0384123	0.564522
y	0.017236	0.0244874	0.0149003	0.25081	0.468921	0.223645
í	0.000199483	0.00387454	0.00987559	0.0623709	0.791232	0.132448
b	0.000545674	0.00130949	0.00222304	0.0314183	0.560326	0.404178
h	0.00690791	0.00561358	0.113211	0.131584	0.487548	0.255135
a	0.00043208	0.00281058	0.0512599	0.0176682	0.255053	0.672776
</S>	0.000875421	0.0117003	0.016596	0.0746708	0.0370787	0.859079
