 	elle	prit	la	bague	et	la	mit	sur	son	doigt	</S>
w	0.802539	0.103549	0.0763924	0.0078248	0.00239586	0.00160483	0.00178406	0.0010816	0.00145338	0.00132414	5.02699e-05
a	0.870454	0.046048	0.0323149	0.00845684	0.00528897	0.00207884	0.00179722	0.00184109	0.00948215	0.0220896	0.000148193
a	0.377776	0.297571	0.234095	0.027425	0.0106741	0.01086	0.00539185	0.0116193	0.0122601	0.0026601	0.00966743
k	0.103891	0.491492	0.18415	0.051701	0.0428536	0.0261004	0.0193193	0.0224304	0.00854424	0.00300602	0.0465121
o	0.00843227	0.528743	0.20333	0.0906655	0.0708112	0.0263687	0.0320977	0.0109211	0.00644231	0.00130548	0.0208825
b	0.0446796	0.196241	0.423262	0.100855	0.127323	0.0312978	0.0237807	0.0114036	0.00629851	0.00230069	0.0325582
h	0.040056	0.0577115	0.202839	0.160248	0.203684	0.150415	0.0989636	0.026014	0.0267	0.00594978	0.0274198
í	0.110123	0.0316884	0.260557	0.195183	0.177167	0.0849512	0.0450062	0.0143175	0.0146326	0.00539117	0.060983
ε	0.0433909	0.00207777	0.108394	0.437708	0.283636	0.0587704	0.0124692	0.00674489	0.00576479	0.00441594	0.0366277
b	0.00689599	0.00521143	0.0838292	0.211665	0.348838	0.192021	0.104259	0.026926	0.00642543	0.00824943	0.00567885
á	0.00902345	0.0268184	0.0896423	0.132662	0.30408	0.113619	0.268698	0.0311368	0.0100951	0.0055084	0.0087165
n	0.0165645	0.00415895	0.0479365	0.123693	0.399883	0.128178	0.105126	0.0138427	0.0114763	0.00412243	0.145018
g	0.00556957	0.00153714	0.0220481	0.269611	0.479698	0.0997411	0.0332104	0.00688853	0.0108903	0.00121345	0.0695916
a	0.0352637	0.000784147	0.0880821	0.349131	0.333338	0.116379	0.0263782	0.00430278	0.00291763	0.0014541	0.0419682
a	0.00997984	0.00112435	0.0141203	0.0287633	0.162089	0.459306	0.146515	0.102627	0.0314766	0.00707426	0.0369253
k	0.00643339	0.0020909	0.0102205	0.00689918	0.0391333	0.185789	0.27935	0.368637	0.054403	0.0351183	0.0119247
a	0.000195936	0.00631817	0.00514212	0.000996472	0.011186	0.0523082	0.704765	0.123059	0.0464671	0.0283436	0.0212183
n	0.000510758	0.00387812	0.00668517	0.00220251	0.0300706	0.0768845	0.537519	0.162495	0.040079	0.02142	0.118255
í	0.00253361	0.00151532	0.00563024	0.0103266	0.055848	0.20253	0.403287	0.151436	0.0711172	0.0154854	0.0802901
m	0.00416156	0.000561716	0.00903136	0.0117012	0.0443824	0.141306	0.147124	0.35437	0.16687	0.0420237	0.0784673
ó	0.00895587	0.000145368	0.0193022	0.0397798	0.0230612	0.0787768	0.0374947	0.221512	0.378319	0.0389539	0.1537
ω	0.00178686	0.000394461	0.00723771	0.00426674	0.00898464	0.0393036	0.041871	0.183837	0.221857	0.449883	0.0405787
s	0.000408396	0.000398672	0.00194983	0.000396736	0.00211418	0.0112121	0.0266749	0.33775	0.215349	0.297488	0.106259
a	9.7132e-05	1.04653e-05	0.000425816	9.02262e-05	0.00047291	0.00685489	0.00100559	0.130739	0.0639997	0.76581	0.0304943
b	3.25078e-05	2.04251e-06	0.000275084	0.000107426	0.000466513	0.00726547	0.00184522	0.089707	0.0933102	0.754979	0.0520098
h	0.000230848	0.00104762	0.00263877	0.000568362	0.00560879	0.0360198	0.160623	0.175582	0.331166	0.191123	0.0953913
i	0.000494551	0.00068062	0.00551818	0.00149028	0.00593599	0.0171866	0.0252643	0.0550513	0.117436	0.434115	0.336827
m	0.000440892	0.000168962	0.00483725	0.00162486	0.00566122	0.0149066	0.0222116	0.070647	0.189311	0.150302	0.539889
á	0.00205326	0.000109131	0.00888864	0.00903836	0.00563042	0.016558	0.00676548	0.0938737	0.553827	0.0875128	0.215743
w	0.00556548	0.000621474	0.0157203	0.00719706	0.00944425	0.0220328	0.0136833	0.0399552	0.25318	0.435331	0.19727
a	0.0095742	0.00530273	0.0175783	0.016661	0.0268869	0.0591887	0.0832112	0.103558	0.467004	0.104866	0.106168
</S>	0.000892256	7.6734e-05	0.00199562	0.00145211	0.00234345	0.00636527	0.00866745	0.0370007	0.147099	0.287292	0.506816
