 	ma	femme	évente	des	vêtements	</S>
n	0.850269	0.142495	0.00139702	0.00509805	0.000212023	0.00052899
g	0.931294	0.0677747	2.20917e-05	0.000858763	2.3266e-05	2.67912e-05
á	0.743808	0.251955	0.000289171	0.00311583	0.000667549	0.000164351
m	0.182081	0.702377	0.00810312	0.0274017	0.0101739	0.0698637
w	0.0435436	0.928602	0.00183269	0.0177763	0.000217384	0.00802799
á	0.318965	0.67227	0.00260148	0.00342034	0.00063241	0.00211067
s	0.925788	0.0578455	0.00126938	0.0091812	0.000197573	0.00571844
í	0.4092	0.458834	0.0245909	0.0149694	0.0283936	0.064012
b	0.267367	0.0678195	0.287605	0.2157	0.0113031	0.150206
ó	0.282302	0.11488	0.0713833	0.366815	0.0119515	0.152668
l	0.129439	0.01414	0.0581527	0.604882	0.0170154	0.176371
á	0.387588	0.00485987	0.0475525	0.137162	0.0267455	0.396092
a	0.36704	0.0281471	0.267161	0.259572	0.0346968	0.0433828
p	0.00342693	0.0144762	0.963014	0.0119784	0.00496944	0.00213541
f	1.50934e-05	0.000225422	0.990013	0.00144252	0.00630394	0.00200025
u	2.35389e-05	6.80672e-05	0.989169	0.00208778	0.00585066	0.00280111
m	0.0064201	0.00465137	0.806158	0.134191	0.0285679	0.0200119
b	0.0442882	0.000284368	0.230256	0.487764	0.0332677	0.20414
á	0.0149938	9.60886e-05	0.167687	0.136481	0.066903	0.61384
i	0.00442709	0.000546482	0.0283839	0.690377	0.21193	0.064335
k	0.000417997	0.000628323	0.0208698	0.0716536	0.867862	0.0385688
á	6.07276e-06	3.06754e-05	0.0439751	0.00607854	0.939401	0.0105091
n	0.000458846	0.000452128	0.152362	0.0369079	0.780919	0.0289003
d	9.90091e-05	1.19397e-05	0.0446017	0.0531251	0.774629	0.127534
á	0.00134073	0.000204692	0.0280948	0.0659049	0.718901	0.185554
</S>	0.00226221	0.00106317	0.00480768	0.177674	0.154706	0.659486
