 	ce	garçon	et	moi	nous	vivons	dans	la	plus	grande	familiarité	</S>
b	0.55806	0.260568	0.113794	0.011713	0.0119653	0.000438701	0.0139607	0.00729269	0.0121355	0.00339935	0.000433086	0.00623993
í	0.128163	0.574045	0.074171	0.0428148	0.100269	0.0347395	0.0123764	0.00662194	0.0088008	0.00854761	0.00141219	0.00803949
s	0.0258062	0.330621	0.0812517	0.143973	0.344497	0.00808315	0.0101494	0.0122564	0.00605211	0.00214803	0.000613987	0.034548
í	0.360573	0.190439	0.0863918	0.202309	0.101425	0.00234727	0.00259783	0.00380497	0.00416606	0.0024788	0.000766763	0.0427009
l	0.361038	0.125339	0.160715	0.0553564	0.0118994	0.0132126	0.0403663	0.0255338	0.0244629	0.0169939	0.00870061	0.156382
a	0.0564775	0.0310342	0.0867379	0.0898059	0.030712	0.0307233	0.082612	0.0437091	0.0624096	0.0296111	0.00991092	0.446256
m	0.503858	0.189836	0.047019	0.0296788	0.0208918	0.0988697	0.0142186	0.00987052	0.0092428	0.00831841	0.0112259	0.0569711
w	0.0181233	0.181037	0.00149265	0.00520577	0.012689	0.777201	0.00313017	0.000342438	0.000180195	0.000226896	0.000104652	0.000267039
á	0.00737944	0.231241	0.00377472	0.00744073	0.0518603	0.674465	0.0146877	0.00387167	0.0016228	0.00124417	0.000713682	0.00169812
n	0.0221843	0.306516	0.0379817	0.119707	0.392728	0.0928406	0.0138928	0.00409536	0.00223642	0.00197927	0.000218143	0.00561994
a	0.147592	0.442696	0.0642704	0.130203	0.120503	0.0218583	0.0108088	0.00665336	0.00552686	0.00526146	0.000794209	0.0438332
i	0.118347	0.0477245	0.261958	0.0696979	0.0880648	0.074578	0.265851	0.0292962	0.012176	0.00853318	0.00347323	0.0203003
b	0.0442707	0.0572168	0.0369262	0.034032	0.0376376	0.352658	0.198683	0.123748	0.0637051	0.0220285	0.0167044	0.0123906
a	0.0515339	0.0860761	0.0407966	0.0326934	0.0486841	0.172645	0.289096	0.132206	0.0654522	0.0270304	0.0400617	0.0137247
a	0.0180772	0.0208317	0.0640691	0.0410072	0.0855007	0.0533306	0.368854	0.152145	0.051325	0.015391	0.0386383	0.090831
w	0.00723924	0.00202074	0.138004	0.0776747	0.0473496	0.00586752	0.356336	0.184514	0.0769722	0.0353431	0.01169	0.0569893
ó	0.0349606	0.0216394	0.0786186	0.0363053	0.0730589	0.00631595	0.105125	0.176069	0.214479	0.159906	0.043303	0.0502184
l	0.021947	0.00485203	0.231196	0.0686642	0.0109012	0.0118904	0.0996029	0.111738	0.143192	0.0873997	0.0423981	0.166218
e	0.0125309	0.00344096	0.0347787	0.0442485	0.0189297	0.00873993	0.112689	0.193183	0.173279	0.115076	0.0722357	0.210869
d	0.0333863	0.006408	0.0579657	0.0310548	0.0130572	0.0344491	0.138669	0.197468	0.137802	0.0995205	0.18469	0.0655294
í	0.0119088	0.00698258	0.00867729	0.0283505	0.00913874	0.0166105	0.0899068	0.196761	0.111185	0.183223	0.269466	0.0677901
l	0.00526752	0.00116801	0.0399796	0.0629636	0.011269	0.00303746	0.0406192	0.0858169	0.127198	0.222152	0.27641	0.124118
e	0.00046088	0.000500106	0.00595889	0.00645331	0.0011878	0.00031042	0.028018	0.0945459	0.177629	0.264529	0.172515	0.247893
y	0.000774413	0.000373627	0.001386	0.00111381	0.000479369	0.00201091	0.018648	0.0246071	0.0511921	0.124223	0.57393	0.201262
i	0.00737684	0.0013799	0.00482794	0.00510794	0.00156931	0.00149124	0.0166321	0.0298561	0.0556163	0.307853	0.532173	0.0361156
n	0.00206918	0.000639445	0.00335816	0.00269025	0.000506945	0.00117585	0.00433853	0.00996434	0.0266043	0.186205	0.59363	0.168819
í	0.00253535	0.00280795	0.00480441	0.00988678	0.00326587	0.00257954	0.00716029	0.024477	0.0636418	0.289591	0.354253	0.234998
í	0.000529478	0.000297726	0.00217435	0.00113059	0.00077423	0.000185882	0.0112434	0.015052	0.0358117	0.113574	0.303824	0.515403
</S>	0.0163064	0.00419574	0.0154718	0.0055225	0.00114711	0.00409992	0.0899824	0.0806978	0.0631747	0.163689	0.181212	0.374501
