 	la	manière	dont	il	est	rentré	montre	qu'	il	m'	avait	pas	envie	de	travailler	</S>
e	0.209153	0.341112	0.157554	0.0486285	0.0338266	0.0755262	0.0116619	0.0122835	0.0211461	0.0296943	0.0191317	0.0122784	0.00215409	0.00462814	0.000759075	0.020462
k	0.00514214	0.00305284	0.00200548	0.00366124	0.044895	0.830804	0.00438207	0.0142334	0.0144649	0.0091103	0.0122625	0.0323036	0.00835	0.00196712	0.0119833	0.00138248
a	0.00602705	0.000859796	0.000955005	0.00381889	0.0298141	0.711583	0.00545908	0.0545607	0.0495401	0.0220755	0.027427	0.0300458	0.0321103	0.00411439	0.0165595	0.00504984
l	0.000546797	0.00173542	0.00201262	0.00846975	0.0417645	0.818918	0.00391032	0.0189988	0.0239043	0.0114489	0.0155894	0.0170164	0.0111583	0.0155655	0.00666822	0.00229299
í	0.0101495	0.00620626	0.00249135	0.0188372	0.0531497	0.453331	0.0260007	0.073113	0.0387716	0.0344791	0.0636697	0.0813745	0.016747	0.028803	0.00738576	0.0854903
í	0.00977476	0.0123546	0.0388885	0.126664	0.144811	0.158198	0.0793601	0.0721431	0.0734187	0.0774563	0.0424145	0.0259792	0.0121481	0.0334026	0.0206855	0.0723017
l	0.0311942	0.0116759	0.0379092	0.0960231	0.315907	0.103468	0.0670605	0.0502359	0.0365312	0.0320932	0.035285	0.0215465	0.00684257	0.0136723	0.00895107	0.131605
í	0.0745525	0.0439462	0.0848976	0.0621365	0.0871262	0.0200093	0.06236	0.0640352	0.0530889	0.0668596	0.0566296	0.0330229	0.00768151	0.0180224	0.0121137	0.253518
y	0.0965666	0.18304	0.356237	0.14734	0.0466895	0.0268597	0.0185548	0.0118936	0.00873999	0.0290902	0.0108807	0.00896728	0.00481847	0.0139944	0.00533946	0.0309876
é	0.0697315	0.0622435	0.386638	0.107136	0.0791739	0.0279783	0.0517722	0.0410897	0.0320415	0.0169241	0.0150421	0.0186183	0.0100765	0.00928827	0.010641	0.0616048
é	0.0187132	0.0488217	0.437893	0.131834	0.0681362	0.046231	0.033027	0.020578	0.0159771	0.0428181	0.018974	0.0286894	0.0127537	0.00933484	0.0131889	0.0530299
k	0.00177739	0.00256052	0.0255912	0.0982099	0.34782	0.31718	0.0500712	0.0284008	0.029917	0.0172125	0.0217158	0.0118936	0.003035	0.00379587	0.00691582	0.0339034
a	0.00146272	0.000224985	0.000995466	0.00967997	0.0941437	0.735748	0.0198192	0.035341	0.0359092	0.00320547	0.0112749	0.0149473	0.00627926	0.0078632	0.00238222	0.0207235
l	0.00123729	0.000859141	0.00568733	0.0352393	0.132524	0.689906	0.0143579	0.0182075	0.0254818	0.00526191	0.00872304	0.00995036	0.00538358	0.00548209	0.00474513	0.0369536
í	0.00761627	0.00328749	0.0421078	0.0784851	0.161389	0.4001	0.0502361	0.0456242	0.0384751	0.0136351	0.028705	0.0312703	0.00779278	0.0202713	0.00303108	0.0679732
í	0.00084882	0.00573921	0.112157	0.385059	0.190563	0.0511937	0.0867118	0.0427746	0.0394487	0.0198787	0.0167202	0.00568818	0.00521508	0.00766708	0.00403841	0.026296
w	0.00058497	0.00653893	0.0394547	0.217924	0.185637	0.211391	0.183919	0.0652879	0.0249884	0.0308111	0.0132519	0.0039133	0.0012043	0.00291543	0.00193889	0.0102396
a	0.0026657	0.00650478	0.0202253	0.127203	0.240351	0.0920428	0.0867322	0.159563	0.126669	0.0200376	0.0328453	0.022893	0.0173178	0.012326	0.0129356	0.0196882
n	0.00112222	0.00263993	0.0532683	0.275164	0.0955434	0.0282065	0.238155	0.115106	0.0658755	0.0414812	0.0177699	0.00737833	0.00873856	0.0152981	0.0125075	0.0217452
d	0.0026161	0.0158478	0.0820415	0.0407706	0.0233127	0.294648	0.267665	0.0812362	0.0326745	0.0964196	0.0183361	0.0199977	0.0052616	0.00256615	0.00360717	0.012999
é	0.000426735	0.0165858	0.0717976	0.0301747	0.0113295	0.0718127	0.311982	0.156456	0.0745486	0.13909	0.0191302	0.0367212	0.0141041	0.0029292	0.0168914	0.0260199
e	0.000163828	0.00108425	0.0175475	0.0314543	0.030296	0.0653618	0.0619713	0.116597	0.200768	0.192913	0.0688598	0.0750855	0.0649443	0.0217626	0.0275368	0.023654
y	0.00153044	0.00214046	0.0119409	0.0297839	0.0803759	0.0402898	0.248632	0.253081	0.22531	0.0349966	0.0288872	0.00834374	0.0136263	0.0124205	0.00170565	0.00693557
é	0.0488171	0.0278009	0.0374816	0.0318342	0.0881288	0.0278931	0.298114	0.209402	0.152867	0.0256649	0.0153131	0.00753366	0.0126976	0.00566432	0.00525518	0.0055324
e	0.00532489	0.0192028	0.0355494	0.0516945	0.0885557	0.018629	0.151789	0.21843	0.24349	0.0615019	0.0309491	0.0114767	0.0251032	0.0183466	0.0104608	0.00949653
s	0.000368582	0.000783068	0.00118409	0.00598467	0.0541558	0.0646213	0.0818892	0.186448	0.383616	0.0726508	0.0645223	0.020557	0.0259966	0.00615049	0.00817467	0.0228973
ε	0.000324568	0.000946882	0.00114199	0.00425813	0.0700164	0.109814	0.161621	0.130829	0.236034	0.0513347	0.0418417	0.0500498	0.0773807	0.0171055	0.0169213	0.0303811
r	0.000129277	0.000176973	0.00091023	0.00264811	0.0204885	0.0166846	0.0906757	0.180914	0.262179	0.0564962	0.0794029	0.0818168	0.148227	0.017299	0.00544761	0.0365039
έ	0.000828628	0.000175808	0.000749177	0.00202101	0.00545645	0.0101212	0.0198832	0.15283	0.143273	0.0399556	0.151939	0.187314	0.15882	0.0613859	0.0154954	0.0497518
w	0.000332381	0.000499444	0.00344033	0.010286	0.0182972	0.00618839	0.114596	0.237593	0.202831	0.192361	0.113244	0.0196278	0.0344453	0.0349115	0.00312997	0.00821739
á	0.00221251	0.00215812	0.00788422	0.0131665	0.0147542	0.00576323	0.0601026	0.244758	0.172138	0.0600002	0.0581273	0.0394721	0.066053	0.15446	0.0614286	0.0375215
r	0.0013227	0.00212076	0.0117052	0.020347	0.00546719	0.00274014	0.0383219	0.111969	0.135807	0.239034	0.117741	0.0403778	0.0776613	0.095031	0.0567505	0.0436036
e	0.00108164	0.00243814	0.00836247	0.00226561	0.000391072	0.00372346	0.0312368	0.0865557	0.068701	0.643321	0.0597926	0.0345151	0.0217887	0.00782683	0.0163263	0.0116738
w	9.12202e-05	0.000393249	0.00187846	0.00579661	0.00288805	0.000878257	0.0399445	0.0590534	0.104808	0.365624	0.165029	0.0370119	0.123104	0.0423948	0.0401951	0.0109089
a	0.00171081	0.00144596	0.00202128	0.00494848	0.00866375	0.0065837	0.0235304	0.163535	0.202212	0.0564374	0.106777	0.0545193	0.0770433	0.146478	0.0716371	0.0724559
á	0.000177256	0.000294743	0.00103225	0.00109497	0.00146094	0.000713269	0.00528091	0.018171	0.0522346	0.0675373	0.0765505	0.0862169	0.208064	0.291213	0.107819	0.08214
d	0.000409559	0.00111405	0.00305954	0.00433214	0.0250819	0.013251	0.0262051	0.023307	0.0524689	0.121334	0.146187	0.103847	0.0392814	0.0981244	0.107939	0.234058
z	8.42379e-05	0.000257538	0.000797439	0.00181254	0.00784034	0.00504484	0.00862417	0.0109646	0.0399141	0.0524793	0.0847751	0.0438692	0.0231308	0.0364092	0.0609393	0.623057
e	0.0013224	0.0029927	0.00612603	0.00867007	0.0353003	0.0111113	0.0702221	0.0766304	0.0501668	0.0443987	0.191792	0.148936	0.0680647	0.0772181	0.0496082	0.15744
p	0.000152285	0.000998619	0.00202204	0.00132982	0.0042854	0.00236593	0.0118659	0.0218806	0.0395962	0.0634761	0.086442	0.10456	0.1151	0.225379	0.0785766	0.24197
ó	9.39472e-05	0.000800169	0.00150767	0.000880694	0.0018621	0.00216947	0.00186449	0.0169327	0.0550489	0.0294177	0.0760543	0.108656	0.077761	0.112511	0.194116	0.320324
s	2.25019e-05	1.85847e-05	0.000129276	0.000190086	0.000399508	0.000410957	0.000862576	0.0110267	0.028353	0.0154461	0.045496	0.170614	0.212711	0.13107	0.177791	0.205459
á	0.000342546	0.000165916	0.000256407	0.00014969	0.000817213	0.00289964	0.00136026	0.00906358	0.0326608	0.0191948	0.0710343	0.171128	0.213989	0.178816	0.0859038	0.212217
o	0.000306501	0.00045715	0.00129175	0.00112082	0.00119992	0.00121758	0.00374207	0.00734215	0.0158328	0.0935113	0.0848401	0.125165	0.0636879	0.188804	0.176306	0.235174
s	8.07251e-05	0.000552351	0.000594155	0.000978622	0.00404214	0.00341874	0.00355652	0.0109783	0.0202895	0.062689	0.149697	0.220855	0.0680736	0.0627858	0.152017	0.239391
á	0.000176926	0.000758345	0.00181956	0.00111898	0.0068249	0.0105688	0.0287279	0.0217914	0.0408737	0.0729359	0.0739702	0.205317	0.0516276	0.047983	0.281159	0.154346
l	9.02373e-05	0.000709151	0.00249969	0.00100613	0.00170488	0.00329434	0.00582135	0.00698468	0.0144982	0.0398308	0.05587	0.131752	0.0411597	0.0768215	0.217109	0.400849
a	6.18273e-05	0.000128461	0.000582047	0.000236481	0.000180464	0.000869776	0.00123704	0.00832961	0.017274	0.0914894	0.10009	0.111384	0.0308978	0.0623503	0.197298	0.377591
k	0.000259009	0.0006148	0.00240037	0.0011701	0.00127678	0.000920683	0.00493791	0.00782122	0.0137375	0.0654205	0.0973931	0.124975	0.045278	0.155233	0.110788	0.367774
a	4.68105e-05	0.000336434	0.000691618	0.000438818	0.000359163	0.00157802	0.000469865	0.00473896	0.0390661	0.0755705	0.160058	0.142331	0.0217871	0.153032	0.0898166	0.30968
á	8.96042e-05	0.000471168	0.000464168	0.000510912	0.000379327	0.00264548	0.000454663	0.00480669	0.0223997	0.0281506	0.0500327	0.0813313	0.0401779	0.0492758	0.0988112	0.619999
</S>	0.000174919	0.000187236	0.00203283	0.00228648	0.00333174	0.00210695	0.00724582	0.0112894	0.0165531	0.0780186	0.100382	0.0924541	0.0146468	0.0918973	0.10235	0.475042
