 	il	m'	a	blessé	</S>
w	0.947546	0.0492771	0.00222855	0.000799605	0.000149018
a	0.923937	0.0724989	0.00265711	0.000582817	0.000324359
á	0.312218	0.600516	0.0789704	0.00236184	0.00593385
m	0.0459143	0.291155	0.437959	0.188106	0.0368654
i	0.0149569	0.120847	0.477158	0.0536276	0.33341
k	0.00426173	0.0362227	0.353031	0.528942	0.0775428
ω	0.0032996	0.00331792	0.160877	0.701027	0.131478
s	0.0232038	0.0854798	0.196823	0.619558	0.0749355
ώ	0.0891745	0.143814	0.262107	0.250827	0.254077
l	0.00785552	0.14353	0.152624	0.630138	0.0658527
ώ	0.00806485	0.0220253	0.0553328	0.567703	0.346874
n	0.0183698	0.0274622	0.0193701	0.796122	0.138676
g	0.00774281	0.0881542	0.0263076	0.292632	0.585163
á	0.00432439	0.276842	0.0199639	0.0871106	0.611759
</S>	0.00883496	0.00262277	0.00716112	0.0842438	0.897137
