 	mon	neveu	est	venu	me	rendre	visite	</S>
m	0.399888	0.501582	0.0547476	0.00725814	0.0101329	0.0130768	0.0078209	0.0054938
w	0.00983255	0.96769	0.00656641	0.00139634	0.00231677	0.00139998	0.0046611	0.00613733
á	0.00512895	0.993528	0.000517776	2.30932e-05	0.000359352	0.000107206	0.000157039	0.000178622
n	0.468357	0.525665	0.00200752	0.000167355	0.000669354	0.000158842	0.000298878	0.00267617
a	0.239244	0.387524	0.0673425	0.0202636	0.109254	0.016632	0.0043241	0.155416
b	0.565135	0.0668699	0.18686	0.0452521	0.0523378	0.0460324	0.0231586	0.0143546
o	0.368082	0.0351216	0.311372	0.0683531	0.0510271	0.0443948	0.00326064	0.118388
l	0.184006	0.112374	0.427161	0.0877172	0.0639121	0.0371148	0.0209445	0.0667705
a	0.583084	0.0466936	0.0504912	0.0273493	0.0567006	0.0367915	0.0798382	0.119052
b	0.289065	0.0605967	0.382389	0.124533	0.0460058	0.0460463	0.0188193	0.032544
á	0.369006	0.0454416	0.176279	0.162522	0.0472318	0.0467849	0.0144329	0.138303
n	0.777449	0.0291317	0.0810257	0.0301367	0.0378341	0.0158832	0.00324279	0.0252962
g	0.544744	0.0699226	0.0863548	0.0198268	0.1212	0.0175153	0.00739142	0.133045
á	0.127425	0.263997	0.313728	0.0562236	0.16386	0.00852698	0.00932147	0.0569188
á	0.0149381	0.00272935	0.312957	0.372568	0.175675	0.104881	0.00368767	0.0125633
m	0.00223747	0.00131536	0.0648116	0.374778	0.183027	0.256946	0.0618772	0.0550075
i	0.00157949	0.00181819	0.0429099	0.178852	0.166081	0.460834	0.0229504	0.124975
y	0.0023327	0.00297965	0.0238133	0.241721	0.144142	0.22086	0.208768	0.155384
a	0.000958341	0.00088573	0.0354771	0.200084	0.175119	0.317887	0.209566	0.0600232
á	0.000334736	0.000355447	0.0334013	0.138919	0.159617	0.343597	0.197775	0.126001
o	0.00221587	0.000365648	0.0305729	0.077836	0.401184	0.325127	0.0986294	0.0640689
k	0.000216957	0.000309942	0.00107946	0.00543835	0.0244567	0.0784967	0.811739	0.0782628
y	8.79841e-06	0.000203929	0.00112432	0.00297359	0.00810653	0.0448544	0.896307	0.0464218
έ	0.000130041	0.00161158	0.00531038	0.0106404	0.0389129	0.0495743	0.773191	0.120629
n	0.000310024	0.000226931	0.0106981	0.0238993	0.101563	0.107631	0.622305	0.133366
g	0.00946758	0.00136571	0.00688563	0.00938548	0.163543	0.0799412	0.620192	0.10922
έ	0.0237919	0.000474259	0.0127121	0.00558747	0.330882	0.0306916	0.551153	0.0447075
n	0.00160527	0.000450983	0.00703318	0.00546182	0.141118	0.0858009	0.239909	0.518621
g	0.0395856	0.00198608	0.00268261	0.00145881	0.137884	0.0323426	0.526842	0.257219
á	0.0203881	0.00690381	0.00389348	0.00202566	0.204198	0.0419553	0.429729	0.290906
</S>	0.0012083	0.000461279	0.0144219	0.0115894	0.139199	0.179071	0.136296	0.517753
