 	celui	qui	s'	embourbe	à	cet	endroit	n'	arrivera	pas	à	brazaville	aujourd'	hui	</S>
o	0.60127	0.198215	0.0717642	0.0127628	0.0179456	0.00466582	0.0245529	0.0137593	0.00378293	0.0292128	0.014706	0.00258722	0.00393499	0.000573841	0.000267196
l	0.0107358	0.0237598	0.0653524	0.703946	0.00157602	0.00839838	0.00750921	0.0215065	0.0938906	0.0252881	0.00848855	0.0242423	0.00223866	0.00199388	0.00107337
ω	0.00145129	0.0110162	0.0264912	0.796857	0.00286245	0.0155814	0.00883638	0.00882765	0.0605805	0.00553513	0.006272	0.0136953	0.00464392	0.00253747	0.0348121
b	0.00119688	0.00696683	0.0298549	0.9343	0.00308174	0.00691396	0.00401866	0.0018127	0.0010003	0.000506795	0.00161413	0.0070235	0.000533143	0.00014468	0.00103154
h	0.0508978	0.0210859	0.0968534	0.677845	0.0308772	0.0153756	0.00848759	0.00955103	0.0215225	0.0190982	0.0187245	0.00402434	0.00787155	0.00380592	0.0139792
i	0.0409029	0.0235279	0.0453047	0.743379	0.0195172	0.00688521	0.007989	0.00260082	0.00314949	0.00963798	0.0221894	0.0167044	0.0131088	0.00815054	0.0369531
m	0.0594972	0.0625303	0.190981	0.126286	0.401141	0.0357142	0.0410583	0.00705396	0.00633443	0.0152934	0.0235441	0.00254908	0.0113941	0.00472426	0.0118988
ó	0.016691	0.00390323	0.00907047	0.00183357	0.549542	0.276381	0.0474545	0.0102059	0.000813901	0.00722279	0.0542553	0.00282365	0.0114814	0.00140373	0.006917
e	0.0401317	0.012799	0.00856174	0.00415107	0.33295	0.299541	0.138724	0.0366239	0.00608105	0.0253034	0.0347887	0.0360248	0.0149902	0.00399635	0.00533357
b	0.00218033	0.00194295	0.0053763	0.0670914	0.131988	0.518713	0.133157	0.0619523	0.0345012	0.00761954	0.0106804	0.00211459	0.0027571	0.00796015	0.0119666
é	0.00313645	0.00584733	0.0305968	0.126713	0.214579	0.253931	0.205036	0.050575	0.0412125	0.0106466	0.0252961	0.00440628	0.00452885	0.0140313	0.00946314
e	0.00087456	0.00167742	0.0304206	0.0491514	0.159223	0.277246	0.264867	0.0797452	0.0145586	0.0195983	0.0372219	0.00325007	0.00596727	0.00454247	0.0516566
y	0.000881767	0.00262908	0.00901001	0.00205309	0.254101	0.228935	0.275361	0.117831	0.0433384	0.0335933	0.0155156	0.00227005	0.00987427	0.00164201	0.0029647
é	0.00510109	0.0119975	0.011226	0.000970287	0.114159	0.301615	0.146928	0.0874435	0.104916	0.0679341	0.0426232	0.0753852	0.0176072	0.00122277	0.0108717
a	0.00572855	0.00638231	0.00549905	0.000486308	0.108286	0.131128	0.254223	0.141989	0.0621208	0.123556	0.0543444	0.0727681	0.0229675	0.00127694	0.00924365
d	0.000432105	0.00151233	0.00628203	0.006478	0.0227782	0.0810943	0.183389	0.236627	0.262635	0.0947317	0.0443475	0.0215363	0.0135698	0.00399513	0.0205914
í	0.00072595	0.00304469	0.00685502	0.000769443	0.020596	0.150811	0.193835	0.201291	0.103123	0.0409317	0.110736	0.0153459	0.00939963	0.00138115	0.141155
n	0.000905082	0.00181399	0.00494978	0.000216122	0.0272426	0.0124548	0.0986377	0.117207	0.266605	0.207597	0.132027	0.0162644	0.0517408	0.00700111	0.0553372
y	0.000706899	0.00135599	0.0016365	0.000223911	0.00895764	0.0518293	0.0900218	0.104799	0.0867913	0.14618	0.104628	0.30884	0.0279542	0.00319499	0.0628808
ε	0.000192167	0.000513472	0.000642071	0.000123654	0.00229283	0.0232797	0.0329589	0.066202	0.165154	0.127652	0.0588749	0.489937	0.010237	0.00149285	0.0204474
