 	les	élèves	ont	réussi	l'	examen	</S>
b	0.481601	0.505084	0.00408531	0.00439838	0.00312001	0.00145378	0.000257533
á	0.0473083	0.948885	0.00113378	0.00190452	0.000581437	7.15105e-05	0.000114996
n	0.0634405	0.925221	0.00581309	0.00424155	0.000639664	0.000112009	0.000531994
a	0.157358	0.823165	0.00422233	0.00355666	0.000549753	0.000182179	0.0109658
b	0.566032	0.258764	0.091439	0.0217166	0.0335857	0.00384628	0.0246163
á	0.208766	0.424114	0.214825	0.0651126	0.0397474	0.00114673	0.0462887
l	0.0910591	0.262462	0.375319	0.0519756	0.0387108	0.0245452	0.155929
e	0.0590507	0.061517	0.222581	0.0290395	0.0854493	0.00559205	0.53677
k	0.159671	0.107661	0.409872	0.176043	0.0864	0.00349155	0.0568613
ώ	0.102493	0.0521843	0.34322	0.355952	0.0303568	0.0715145	0.0442798
ώ	0.0319414	0.0722965	0.198735	0.574175	0.0569586	0.0152564	0.0506366
l	0.0356318	0.0032985	0.341002	0.399871	0.206592	0.00139348	0.0122113
i	0.013894	0.00225496	0.334733	0.244576	0.145181	0.0102788	0.249083
á	0.0307538	0.00773265	0.219967	0.245046	0.417499	0.00536687	0.0736344
y	0.00773716	0.00431176	0.0891076	0.297727	0.52315	0.016993	0.0609731
u	0.0107764	0.000967963	0.155164	0.313849	0.421697	0.0174825	0.0800631
b	0.011243	0.00066456	0.0357851	0.124348	0.428802	0.0882424	0.310915
h	0.0197989	0.00306976	0.121731	0.485495	0.264272	0.0304142	0.0752194
u	0.0112631	0.000387231	0.054876	0.448842	0.27943	0.0506854	0.154516
s	0.00183771	0.000227268	0.0210564	0.0963514	0.706477	0.0266615	0.147389
u	0.00622462	0.000260373	0.015462	0.138693	0.407484	0.104233	0.327643
e	0.00508917	0.000159585	0.0096265	0.0158289	0.707406	0.0870943	0.174796
k	0.00283395	0.00153127	0.00940209	0.0236365	0.123873	0.611123	0.2276
i	6.53901e-05	7.83407e-05	0.000820175	0.00881563	0.0063505	0.952031	0.031839
d	0.000220129	3.21878e-05	0.000568229	0.0141407	0.00977126	0.903514	0.0717539
z	4.83167e-05	3.70137e-06	0.000157079	0.00118636	0.00194426	0.961565	0.0350948
a	0.00071605	0.000103273	0.00115792	0.00961954	0.0171677	0.927629	0.0436065
m	0.00483895	0.00183341	0.0047447	0.0731003	0.0270113	0.470723	0.417748
í	0.0222153	0.0011462	0.00912987	0.0201846	0.0481901	0.15738	0.741754
</S>	0.025405	0.000545488	0.0217109	0.0335383	0.181113	0.0650701	0.672617
