 	le	malade	a	de	gros	bibons	aux	pieds	</S>
o	0.66619	0.250869	0.0308311	0.00862447	0.0172119	0.0104206	0.0135342	0.00167934	0.000639887
k	0.0640249	0.842457	0.0382651	0.00869656	0.0155125	0.0169717	0.00228828	0.00768363	0.00410019
ω	0.0107597	0.931872	0.0041573	0.00643359	0.0105418	0.013047	0.00148885	0.0158615	0.00583864
n	0.0037574	0.985181	0.00429824	0.000503636	0.00109463	0.00227567	0.000512533	0.00197663	0.000399892
í	0.0569946	0.88157	0.0193735	0.00468093	0.00998644	0.0140744	0.00107787	0.00172241	0.01052
ó	0.247515	0.0139785	0.568736	0.0650705	0.0286511	0.0135527	0.0361085	0.00143648	0.0249516
d	0.0713653	0.00301551	0.291217	0.391203	0.148075	0.0308371	0.0450149	0.00149309	0.0177787
í	0.0129943	0.000461655	0.109824	0.566729	0.0961535	0.0018469	0.026266	0.000130409	0.185595
l	0.0152407	0.000478254	0.0639243	0.301291	0.184011	0.0433592	0.149739	0.0342292	0.207727
a	0.00635692	0.000987314	0.0399767	0.338043	0.262963	0.0409078	0.140852	0.00296673	0.166946
k	0.00761164	0.00588816	0.0299627	0.202643	0.24072	0.253489	0.140109	0.0166376	0.102938
ω	0.000677864	0.000794774	0.001772	0.0202249	0.0320285	0.896028	0.00342924	0.0396734	0.00537157
ω	0.000137853	0.00193303	0.00253668	0.0132732	0.0432632	0.862945	0.0155469	0.0552759	0.00508789
m	0.00185257	0.000464109	0.00907068	0.0323942	0.154651	0.0231005	0.61989	0.0361712	0.122405
á	0.0167806	0.000735481	0.0114162	0.0323898	0.120429	0.00433328	0.323029	0.00356402	0.487323
k	0.02642	0.00293342	0.0122277	0.024666	0.053331	0.0237285	0.243849	0.524306	0.0885391
o	0.000897229	0.000793077	0.000971309	0.00209552	0.00804889	0.0755773	0.00663366	0.89689	0.00809279
o	0.000253823	0.000130826	0.000199883	0.00197489	0.00340482	0.0143867	0.00266831	0.955318	0.0216626
</S>	0.0131866	0.000745741	0.0202719	0.0265671	0.0373013	0.0019801	0.159074	0.0542178	0.686656
