 	des	applaudissements	sont	en	train	d'	éclater	parce	que	le	roi	s'	adresse	au	peuple	</S>
i	0.558075	0.299482	0.078247	0.0304475	0.0175977	0.008744	0.001955	0.00154571	0.000787459	0.00181338	0.000517214	0.000441794	0.000151893	0.000166536	1.89403e-05	8.07659e-06
t	0.0346267	0.936152	0.0184114	0.00780413	0.000818169	0.000103801	0.000142978	0.000477324	0.000442956	0.00020043	7.25938e-05	6.14605e-05	6.54429e-05	0.00011296	0.000124666	0.000383533
s	0.00534042	0.946707	0.00854098	0.0116554	0.0204113	0.000847374	0.000257126	0.00172324	0.001299	0.000486884	0.000126885	0.000290761	0.000640017	0.000157212	0.00109228	0.00042409
y	0.0219887	0.826543	0.0274429	0.0330675	0.0390618	0.00518307	0.00557731	0.0133769	0.00663102	0.00407486	0.000674088	0.00296531	0.00693543	0.000817861	0.00337276	0.002287
ε	0.362341	0.384697	0.0261272	0.028462	0.0106115	0.019142	0.00450365	0.0378463	0.0319717	0.0105445	0.0101345	0.00735862	0.0251113	0.00479225	0.00923064	0.0271255
ε	0.24878	0.225149	0.11053	0.198036	0.0205608	0.0387716	0.0107274	0.00866127	0.0113177	0.0179218	0.0112884	0.0098401	0.0128645	0.0111246	0.00578206	0.0586457
l	0.090277	0.0698704	0.246474	0.111823	0.00684071	0.0410256	0.0091556	0.0726605	0.057532	0.0126306	0.00774006	0.035629	0.0372116	0.0294998	0.00530914	0.166321
i	0.302586	0.0799868	0.140599	0.0449453	0.0130856	0.0179629	0.0149181	0.04576	0.0215753	0.0051057	0.00894068	0.0183941	0.0200117	0.0220275	0.0128219	0.23128
b	0.385164	0.0156258	0.25151	0.121139	0.0197386	0.0797674	0.0512875	0.0156227	0.0119258	0.00609579	0.0100082	0.0072017	0.00390831	0.00500688	0.00202193	0.0139771
ó	0.105521	0.0247719	0.150346	0.209152	0.035752	0.0950078	0.275405	0.0230458	0.0270962	0.00810321	0.00325424	0.00579392	0.0118943	0.0121772	0.00306432	0.00961534
b	0.0245324	0.0225576	0.0549227	0.0992234	0.119522	0.0567239	0.565826	0.012126	0.0140799	0.0104884	0.00215581	0.00477495	0.00526476	0.00278647	0.00097073	0.00404493
í	0.104755	0.00206682	0.126357	0.104471	0.0711066	0.296387	0.109666	0.0511219	0.0318113	0.0152496	0.0189167	0.034024	0.0205782	0.00434759	0.00110451	0.00803762
i	0.0329842	0.00582782	0.141762	0.0720984	0.0158578	0.186531	0.110345	0.18398	0.110855	0.0386981	0.0238903	0.0258721	0.0127883	0.0118285	0.00209471	0.0245857
y	0.0209116	0.00631005	0.0299649	0.0235254	0.00545252	0.0346509	0.0846305	0.174081	0.430113	0.0210023	0.0102402	0.0155794	0.0359322	0.0226377	0.0142147	0.0707535
a	0.00339428	0.0337264	0.0299867	0.0564553	0.000980984	0.0278625	0.129929	0.232172	0.372917	0.0272094	0.0043664	0.00481182	0.0159569	0.0157702	0.00867075	0.0357901
a	0.00351622	0.0141975	0.0449351	0.0639103	0.00148772	0.0670398	0.058614	0.273827	0.26147	0.0366071	0.0184241	0.00689468	0.0135603	0.0151802	0.0072551	0.113081
t	0.00716241	0.00105638	0.0277382	0.0151612	0.0005658	0.033029	0.00990344	0.337823	0.244631	0.211844	0.0224872	0.0461278	0.0177538	0.0143469	0.00105453	0.0093153
s	0.00362112	0.00324841	0.00752495	0.0056523	0.00318058	0.0261164	0.0094761	0.476204	0.246745	0.0390269	0.0291026	0.0404286	0.0584791	0.00622554	0.0222794	0.022689
í	0.000348664	0.0065762	0.00363947	0.00761189	0.0056568	0.00816293	0.018269	0.442941	0.19685	0.139224	0.0253957	0.0333696	0.0592476	0.011365	0.0204062	0.0209361
n	0.000447605	0.0129242	0.00629508	0.00728812	0.0175862	0.0114447	0.0843957	0.386246	0.17255	0.0318111	0.0592666	0.017558	0.0500496	0.00549271	0.0530129	0.083631
a	0.00228491	0.00525834	0.00739653	0.00584767	0.000958918	0.0156686	0.0329923	0.376461	0.153927	0.0489858	0.0402299	0.0110125	0.0175379	0.00574527	0.0836346	0.192058
m	0.00213501	0.000579614	0.00858721	0.00560232	0.000340373	0.0076093	0.0041559	0.248199	0.165067	0.244036	0.0428537	0.157772	0.0492951	0.0389204	0.00362029	0.0212272
w	0.00317205	0.00172266	0.00485699	0.00213177	0.000275179	0.0026295	0.000496439	0.0110584	0.0097838	0.0882809	0.620916	0.112537	0.073018	0.0292044	0.000708971	0.0392086
ε	0.000171093	0.000123223	0.000175206	0.000145429	0.000163841	0.00023305	6.50982e-05	0.000820661	0.000314432	0.00228806	0.988283	0.00411759	0.00249689	0.00018229	0.000209083	0.000211251
n	0.00141666	0.000660745	0.00175463	0.00272425	0.000170703	0.00212338	0.000236594	0.0253705	0.0219867	0.0584393	0.535224	0.118107	0.163817	0.0432979	0.00112877	0.0235414
έ	0.00269637	0.00642047	0.00490104	0.00536836	0.000565304	0.00317934	0.00163525	0.0700599	0.0649033	0.379353	0.135264	0.121454	0.0718324	0.0700932	0.00831823	0.0539549
a	0.00387723	0.000194014	0.00626838	0.00131449	1.6412e-05	0.00131745	0.00013523	0.0387842	0.031775	0.0526186	0.0432878	0.195363	0.126647	0.247036	0.00643232	0.244932
b	0.0045715	0.000412333	0.00940107	0.00383586	0.000342008	0.00141534	0.00135152	0.0118643	0.0237929	0.019638	0.00162694	0.0785675	0.176096	0.541783	0.0444053	0.0808963
h	0.001764	0.00131441	0.0133298	0.0171875	0.000479148	0.00235478	0.00146051	0.0158381	0.0407752	0.0193343	0.00189533	0.0291942	0.267712	0.417896	0.0510638	0.1184
i	0.0015151	0.000378326	0.0043039	0.0092186	0.00127657	0.0026479	0.000825316	0.0245814	0.0448947	0.0421154	0.0103884	0.0679185	0.497123	0.18371	0.0294622	0.0796408
l	0.00229592	0.000595528	0.00263569	0.00314695	0.000113898	0.000795125	0.000282094	0.0166952	0.0215213	0.0258585	0.0113545	0.0461846	0.183521	0.403035	0.0684624	0.213502
á	0.000474126	0.000236575	0.00137615	0.000830836	0.000163515	0.000868519	0.000582378	0.0103952	0.0164234	0.00956964	0.00245717	0.0216146	0.133778	0.175864	0.375996	0.24937
a	0.00141143	0.000877841	0.00253091	0.00183588	0.000266149	0.0010243	0.000670597	0.00555557	0.0056982	0.0193891	0.00997872	0.0241121	0.0382594	0.105899	0.562485	0.220005
t	0.00197413	0.00183444	0.0152116	0.00435871	0.000174138	0.00153807	0.0013197	0.00631446	0.0110552	0.00610634	0.000741967	0.00806451	0.0354113	0.258343	0.485016	0.162536
i	7.46438e-05	0.00406616	0.00319663	0.00390408	0.000428544	0.000818411	0.00166742	0.00823493	0.0248264	0.00479421	0.000732796	0.00549203	0.0863525	0.282849	0.438587	0.133975
á	0.000276657	0.00458281	0.00169857	0.00445417	0.000186479	0.000483486	0.000135924	0.00464782	0.0103455	0.0102407	0.00341848	0.013847	0.181788	0.183965	0.139882	0.440047
l	0.00279087	0.000430028	0.00648402	0.00254593	0.000220533	0.00184078	0.000665435	0.00934871	0.00602833	0.020812	0.0117586	0.0339367	0.0350455	0.117167	0.325434	0.425492
a	0.000910878	0.000724436	0.00308681	0.00200871	5.63722e-05	0.00156728	0.00092314	0.00698187	0.0083551	0.00712092	0.000827343	0.00376298	0.0126405	0.040734	0.734751	0.175549
t	0.0018135	0.00381316	0.00634732	0.00484451	0.000208369	0.00205676	0.000804934	0.00591666	0.0045525	0.0319357	0.00471458	0.0171981	0.0133801	0.0656618	0.48699	0.349762
s	0.000327392	0.00418934	0.00335212	0.00324451	0.00193137	0.00234912	0.00177155	0.00838588	0.00685255	0.00332498	0.00117621	0.00774213	0.0346934	0.050378	0.789639	0.0806422
ε	0.000318922	0.000829658	0.000370392	0.000660117	0.00037584	0.000224535	0.000458027	0.00157447	0.00198262	0.00193336	0.00222675	0.00164413	0.0108167	0.0179203	0.912871	0.0457934
n	0.000642081	0.00264939	0.000453714	0.000901124	0.000415064	0.000161252	0.00029995	0.00167411	0.00313848	0.00795652	0.00473496	0.00463436	0.025676	0.0650648	0.547836	0.333762
g	0.00194847	0.00247994	0.00212218	0.00218342	0.000220313	0.000566403	0.000175013	0.00156649	0.00313427	0.00536399	0.0020066	0.00383148	0.0152333	0.0727537	0.580028	0.306387
ε	0.00096199	0.00154372	0.00165561	0.00335677	0.00117877	0.00153963	0.000710242	0.002219	0.00388068	0.0210704	0.00523082	0.00473205	0.0162828	0.0303737	0.684844	0.22042
</S>	0.00645046	0.000806834	0.00295444	0.00222372	0.00011417	0.000754147	8.26434e-05	0.0023885	0.00257615	0.00877786	0.00276446	0.00989366	0.0138892	0.0723752	0.115097	0.758852
