 	la	fille	que	tu	m'	as	proposée	est	encore	mineure	</S>
m	0.694063	0.279153	0.00482241	0.00355185	0.00338208	0.00650061	0.00574885	0.00141092	0.001151	2.1818e-05	0.00019491
w	0.00380362	0.994456	0.000172287	0.000189977	0.000264671	0.000628166	0.000230324	5.99633e-05	3.06151e-05	2.37309e-05	0.000140301
á	0.00179272	0.996464	0.000104062	0.000562958	0.000377943	0.000222245	0.000417515	2.33272e-05	9.37251e-06	1.53295e-05	9.93705e-06
n	0.124873	0.848618	0.00167489	0.00308674	0.00436206	0.00228783	0.0125159	0.000534533	0.000188298	4.59316e-05	0.00181294
a	0.082705	0.133619	0.0879069	0.180155	0.126773	0.062226	0.0878034	0.0292784	0.0116918	0.0115331	0.186308
o	0.826671	0.0614526	0.049649	0.0204629	0.00840801	0.0147637	0.00395458	0.00543338	0.00559055	0.000713712	0.00290032
y	0.289412	0.0675742	0.410313	0.0358563	0.00684142	0.0166223	0.0246696	0.0741289	0.0228479	0.0302049	0.0215297
ú	0.645035	0.0726241	0.183615	0.0246918	0.00860754	0.00988401	0.00766863	0.00567687	0.00889924	0.0160986	0.0171994
r	0.868833	0.0122564	0.0484446	0.00899318	0.00492314	0.00768524	0.00640079	0.00180036	0.0039335	0.00789283	0.0288369
u	0.772757	0.0586781	0.0933327	0.0336312	0.00690737	0.0174623	0.00708256	0.00149443	0.00198645	0.00311337	0.0035542
y	0.0417793	0.00950675	0.544179	0.234776	0.07177	0.0307095	0.0166686	0.0220917	0.0164309	0.00176596	0.0103217
é	0.1983	0.00507952	0.50506	0.117534	0.0387567	0.0279383	0.0181984	0.0298112	0.0100021	0.0362186	0.0131011
é	0.061714	0.00256468	0.396379	0.209515	0.14153	0.0786731	0.038733	0.0337189	0.0155313	0.0129106	0.00873169
s	0.028344	0.00167594	0.167841	0.155283	0.0691396	0.0774945	0.170774	0.151383	0.0467034	0.020822	0.110539
ε	0.194338	0.0034354	0.161453	0.0741035	0.0283354	0.0407263	0.0935958	0.096602	0.0827827	0.0470666	0.177562
r	0.0625695	0.00229763	0.230955	0.106651	0.0395433	0.0545665	0.0957945	0.0706003	0.0284725	0.079844	0.228706
í	0.0120018	0.00217041	0.248316	0.325707	0.0671713	0.121964	0.0934197	0.0354398	0.0140651	0.027454	0.0522911
n	0.0051891	0.000186916	0.073324	0.198882	0.274151	0.283172	0.0735584	0.0591101	0.0236695	0.00177607	0.0069804
ω	0.00563054	0.000587925	0.0205201	0.24478	0.279851	0.288685	0.137419	0.00618	0.00292382	0.00342726	0.00999581
n	0.00145954	0.000179361	0.0532085	0.104816	0.156738	0.187519	0.198244	0.195724	0.0428647	0.013145	0.0461025
g	0.0124346	0.00116297	0.0707603	0.18257	0.102621	0.186764	0.300053	0.0490088	0.00517518	0.0485766	0.0408732
á	0.00395497	0.000481403	0.0272376	0.230708	0.16347	0.237149	0.286228	0.0133895	0.00320083	0.0277047	0.00647593
a	0.00230708	0.000185292	0.011854	0.0269013	0.0418536	0.21415	0.135016	0.453813	0.0754538	0.0200006	0.0184657
d	0.00110881	3.77408e-05	0.00814891	0.00299609	0.00596205	0.0311928	0.063065	0.417868	0.370084	0.0504266	0.0491103
í	0.00323024	0.000454031	0.00220864	0.00156926	0.00536184	0.0363252	0.0567862	0.402279	0.157436	0.0789382	0.255411
e	0.00561528	8.74637e-05	0.00318893	0.00500828	0.0238199	0.0608114	0.0501074	0.198977	0.438208	0.0477508	0.166426
y	0.00180132	0.000422008	0.0037292	0.002326	0.00665072	0.0208868	0.0444974	0.150793	0.204133	0.262398	0.302363
ε	0.00534282	0.000789608	0.0090465	0.00643294	0.0138707	0.0453541	0.0248368	0.059384	0.196902	0.493959	0.144082
l	0.0015813	8.39752e-05	0.00229321	0.0042171	0.00947839	0.0169117	0.0579791	0.121846	0.127034	0.287065	0.37151
ε	0.00278177	5.80272e-05	0.00684103	0.0156557	0.0593149	0.0874854	0.120581	0.126748	0.415732	0.0737159	0.0910859
m	0.00097294	5.06015e-05	0.00570659	0.00876676	0.042858	0.0688865	0.0635803	0.139533	0.182346	0.127881	0.359418
w	0.0026081	0.0150046	0.00708405	0.00875013	0.0550165	0.0695951	0.139592	0.133952	0.0167396	0.204665	0.346993
ε	0.00745357	0.0220231	0.00394451	0.0158279	0.0434932	0.0822973	0.492327	0.0782314	0.0174768	0.103264	0.133661
</S>	0.000391678	0.000149312	0.00114559	0.00169148	0.00107835	0.00463891	0.0251641	0.0420661	0.0189269	0.0719645	0.832783
