 	il	a	amené	son	frère	avec	lui	</S>
w	0.692661	0.206543	0.0500792	0.0249072	0.00788531	0.0147529	0.0024802	0.00069059
a	0.664313	0.127695	0.0115783	0.0483173	0.0539145	0.0567325	0.0370263	0.00042341
á	0.147658	0.580374	0.111879	0.0611399	0.0152613	0.0356142	0.0170975	0.0309758
b	0.0485292	0.422949	0.389371	0.0522094	0.0255908	0.021193	0.00830857	0.031849
é	0.0473182	0.265928	0.515418	0.0703143	0.0216419	0.0108482	0.00750389	0.0610273
r	0.00871082	0.0768555	0.532771	0.163964	0.048316	0.0322449	0.0116963	0.125441
i	0.0302127	0.0687741	0.125747	0.408197	0.0963546	0.088493	0.0410302	0.141191
o	0.076111	0.0962614	0.176346	0.184	0.0684643	0.193572	0.135041	0.0702037
d	0.00324493	0.0134389	0.0327562	0.197939	0.431831	0.114233	0.17283	0.0337272
i	0.000148219	0.00217926	0.00710368	0.157538	0.589349	0.064516	0.0369147	0.142251
m	0.000656383	0.00436405	0.0116985	0.158959	0.573947	0.145544	0.0204225	0.0844085
í	0.00159756	0.005581	0.0109681	0.107889	0.455767	0.133485	0.0784842	0.206227
y	0.00406202	0.0148757	0.0558309	0.190882	0.0982779	0.278996	0.1078	0.249276
a	0.00957699	0.0148594	0.0096933	0.131101	0.185264	0.293306	0.216107	0.140092
w	0.0065741	0.00230275	0.00181682	0.126611	0.221897	0.278652	0.295668	0.0664788
a	0.0215762	0.0235773	0.0503905	0.188552	0.111715	0.269217	0.284128	0.0508443
</S>	0.00101964	0.00199613	0.0131514	0.100985	0.0560199	0.336756	0.154872	0.3352
