 	j'	ai	adhéré	à	l'	association	okwengele	</S>
n	0.917851	0.0350854	0.00345247	0.00514736	0.00310708	0.0254105	0.00983544	0.000110974
g	0.948751	0.0399669	0.000135732	0.00128286	0.00269382	0.00247476	0.00462328	7.17425e-05
á	0.924518	0.0705278	0.000919702	0.000592166	0.000818259	0.000377247	0.00222306	2.39115e-05
í	0.0777542	0.479436	0.034095	0.0728866	0.0532316	0.0434757	0.0598071	0.179313
m	0.0104434	0.195606	0.745105	0.0285096	0.00751396	0.00276619	0.00100995	0.00904582
i	0.000441402	0.19337	0.487552	0.250836	0.0359896	0.00504701	0.000634901	0.0261293
k	0.000197969	0.0270781	0.923516	0.0359294	0.0079039	0.00108327	0.000603049	0.00368833
ó	2.86412e-06	0.000370442	0.982104	0.0117589	0.00173609	0.000372721	0.000680819	0.0029744
á	3.50567e-06	0.00114769	0.886639	0.0849469	0.0147365	0.00778939	0.00228825	0.00244913
e	0.000507476	0.00785638	0.00611209	0.311148	0.448354	0.217792	0.0027768	0.00545375
k	0.000315957	0.00236613	0.00739206	0.155694	0.476026	0.205294	0.0876022	0.0653087
o	3.31258e-05	0.000173504	0.044221	0.170698	0.188999	0.372865	0.170547	0.0524648
r	1.29298e-05	0.000175553	0.0262329	0.0952351	0.186521	0.622581	0.0459338	0.0233076
í	0.000206495	0.000878853	0.0424277	0.133413	0.190109	0.022246	0.215709	0.39501
y	0.000783552	0.00678422	0.00346423	0.161436	0.323208	0.339308	0.0712572	0.0937593
o	0.0120462	0.0171811	0.00545826	0.0408903	0.134085	0.0559097	0.574016	0.160414
k	0.000939106	0.00194205	0.000321922	0.00367361	0.0159239	0.0164827	0.840727	0.11999
w	0.000144941	0.000139418	0.000622709	0.00207201	0.00545629	0.063541	0.909777	0.0182471
ε	0.000910703	0.000139029	0.00121897	0.00271587	0.0162234	0.0477903	0.859416	0.0715859
n	4.3239e-06	8.206e-06	0.000688279	0.00585173	0.0238324	0.05141	0.687558	0.230647
g	0.000455624	7.22494e-05	0.00163481	0.00723276	0.0558573	0.0711034	0.776296	0.0873482
ε	0.00187626	0.000285244	0.000384191	0.00655367	0.0376854	0.133986	0.782069	0.0371607
l	0.00129745	0.00120211	0.000205564	0.0228253	0.069603	0.0310906	0.160458	0.713318
ε	0.00158894	0.00450166	0.00368755	0.0340966	0.0616753	0.037442	0.249734	0.607274
</S>	0.00167726	0.00184282	0.00020664	0.00889147	0.0174041	0.0264733	0.0886217	0.854883
