 	le	voyageur	a	bourré	son	sac	de	manioc	</S>
o	0.869648	0.0987621	0.0201879	0.00318062	0.00540329	0.00157593	0.00105637	0.000121719	6.43874e-05
b	0.0484736	0.936066	0.00717447	0.00388082	0.000873764	0.00118086	0.000981153	0.000310602	0.00105893
h	0.0701494	0.920928	0.00173666	0.00441423	0.00130864	0.000218741	0.000312847	0.000696555	0.000234855
é	0.0170049	0.969899	0.0015736	0.00606986	0.00293858	0.00010373	0.000739673	0.000672651	0.00099816
m	0.150706	0.797344	0.0169923	0.011323	0.0091004	0.000479757	0.00282439	0.000985392	0.0102447
b	0.159046	0.788989	0.0252717	0.00391702	0.0043788	0.00148348	0.00224398	0.000105753	0.014564
i	0.431176	0.42781	0.0509895	0.0116633	0.0135051	0.0231512	0.00329243	0.000556434	0.037856
á	0.183128	0.0480613	0.647853	0.0532696	0.0247896	0.00646978	0.0139562	0.00239697	0.0200762
m	0.0755735	0.0403084	0.261094	0.514909	0.0308167	0.0161275	0.0152747	0.00297851	0.0429176
i	0.158951	0.0597514	0.213579	0.127164	0.158606	0.0732827	0.15026	0.00528676	0.0531193
k	0.00616783	0.0353446	0.025397	0.888477	0.0168545	0.00413541	0.00543091	0.00520043	0.0129925
í	0.00309101	0.0207919	0.0430977	0.857502	0.0277487	0.00336506	0.00890186	0.00689941	0.0286023
á	0.000959244	0.00300901	0.0167162	0.872639	0.0469957	0.0164124	0.00712808	0.0139247	0.0222157
p	0.00808976	0.00583999	0.0453444	0.128268	0.449303	0.179814	0.12729	0.0280074	0.028044
ε	0.000750093	0.000692155	0.00759958	0.041278	0.175473	0.714711	0.00699215	0.0454834	0.00702024
n	0.0053562	0.00285895	0.0296049	0.111694	0.250952	0.4208	0.0551485	0.105075	0.01851
g	0.011716	0.0067977	0.00985712	0.0561438	0.510131	0.333352	0.0552426	0.00357301	0.0131868
ε	0.00603097	0.00125479	0.0027488	0.00266397	0.403218	0.563592	0.0173063	0.000338193	0.00284692
m	0.00237459	0.000569868	0.0138761	0.00984603	0.302734	0.185035	0.42445	0.010833	0.0502813
í	0.00600325	0.00348272	0.0122063	0.00311294	0.0668193	0.00805994	0.131678	0.0220788	0.746559
k	0.0028894	0.00263038	0.0150185	0.0118619	0.0558682	0.0364308	0.0960151	0.686745	0.0925413
ω	0.000273261	0.000477034	0.000981173	0.0116259	0.00450408	0.00551205	0.00313802	0.956145	0.017344
ó	6.95008e-05	0.000317178	0.000515115	0.00663736	0.0116578	0.00843624	0.00915407	0.944002	0.0192103
</S>	0.0126465	0.00282163	0.0176193	0.0090586	0.0581011	0.0118952	0.341019	0.063368	0.483471
