 	il	ne	sait	pas	faire	autrement	</S>
w	0.790101	0.0986811	0.00771853	0.049329	0.0337991	0.0180509	0.00232078
a	0.720287	0.0820573	0.00654594	0.0494345	0.125935	0.014148	0.00159204
a	0.289265	0.314932	0.0990269	0.117621	0.0321035	0.0258592	0.121192
d	0.107215	0.345315	0.240184	0.0650479	0.056595	0.0261353	0.159509
í	0.0481059	0.262329	0.162126	0.041021	0.0193188	0.0156039	0.451496
o	0.0206764	0.0824119	0.234682	0.0809602	0.0300522	0.0430363	0.508181
b	0.00798187	0.146565	0.660813	0.0881844	0.0631406	0.0107182	0.0225963
h	0.00652873	0.0644736	0.661611	0.0708443	0.153484	0.0131671	0.0298917
e	0.00487023	0.0698911	0.598791	0.0958782	0.189355	0.0174292	0.0237854
r	0.051941	0.0592649	0.251456	0.289465	0.152401	0.071659	0.123813
á	0.0643135	0.0433097	0.100372	0.157333	0.14856	0.153798	0.332314
ω	0.0254877	0.0327065	0.0875384	0.391225	0.31814	0.100128	0.0447737
k	0.00238146	0.0309546	0.105438	0.0947038	0.630873	0.087793	0.0478559
y	0.00120145	0.014652	0.0676431	0.136787	0.705561	0.0382173	0.0359388
a	0.0042056	0.0349584	0.309127	0.288969	0.274621	0.0461368	0.0419823
n	0.00624762	0.0202906	0.0668695	0.323817	0.255276	0.124959	0.20254
d	0.00667899	0.014251	0.0548128	0.194253	0.317154	0.220784	0.192066
é	0.00135179	0.00204078	0.00315754	0.0101813	0.0153775	0.556363	0.411528
n	0.00203739	0.00896388	0.0385408	0.113208	0.168403	0.352687	0.316161
g	0.0118047	0.0100487	0.00661384	0.035971	0.0436663	0.570623	0.321273
é	0.000922679	0.000643013	0.0011747	0.0334652	0.0240914	0.711181	0.228522
t	0.0033516	0.00585552	0.00701984	0.172754	0.13226	0.323216	0.355544
s	0.0378693	0.0192001	0.0166988	0.100598	0.223882	0.385517	0.216235
ú	0.00040418	0.00117258	0.00640196	0.0158597	0.0476523	0.601268	0.327242
s	0.00136892	0.00246161	0.0107101	0.063945	0.100964	0.481446	0.339104
u	0.00188487	0.00124657	0.00076926	0.0102157	0.0206828	0.802451	0.162749
k	0.00291958	0.00631804	0.00623711	0.0460192	0.0378119	0.244006	0.656688
a	0.00645411	0.0100673	0.0268353	0.0784817	0.279337	0.316287	0.282538
á	0.000562958	0.0017311	0.0110407	0.0273614	0.0748823	0.155917	0.728505
</S>	0.010393	0.0166164	0.0143788	0.0363941	0.0272008	0.157739	0.737278
