 	nous	avons	bien	ri	</S>
b	0.505067	0.419045	0.0718662	0.00263225	0.00138916
í	0.910112	0.0336433	0.0531241	0.00241573	0.000704576
s	0.982797	0.0140781	0.00235938	0.000205984	0.000559576
í	0.44746	0.469551	0.0434648	0.0200893	0.0194352
l	0.151629	0.21433	0.132646	0.079518	0.421877
έ	0.0398937	0.141135	0.0978038	0.0437703	0.677397
d	0.0227494	0.443923	0.263637	0.0698869	0.199804
z	0.0598958	0.467957	0.102157	0.144517	0.225473
ε	0.129922	0.401401	0.0701627	0.130595	0.26792
ε	0.00732563	0.109284	0.314665	0.293597	0.275128
o	0.00598705	0.0511959	0.543495	0.126599	0.272723
y	0.000782555	0.0123545	0.0813367	0.413193	0.492333
í	0.000626806	0.0288846	0.0389901	0.661445	0.270053
í	0.00501917	0.0237329	0.111175	0.11348	0.746593
</S>	0.0218077	0.0301469	0.387919	0.0478645	0.512262
