 	il	tend	des	pièges	en	bois	pour	prendre	les	hérissons	</S>
w	0.623962	0.12022	0.0564194	0.0414677	0.016283	0.105902	0.0264467	0.00316956	0.00535965	0.000583183	0.000186718
a	0.67553	0.0292733	0.0927946	0.0704896	0.0507221	0.0423485	0.0325075	0.000228595	0.00483694	0.00113453	0.000134471
l	0.420858	0.37064	0.103396	0.0171303	0.0149721	0.0196412	0.020339	0.00425036	0.0250858	0.000949418	0.00273799
á	0.159059	0.16387	0.107322	0.0404554	0.0616245	0.0277661	0.0735459	0.0200912	0.092921	0.00669499	0.24665
a	0.417993	0.137302	0.173954	0.0726176	0.0360745	0.0184867	0.0295581	0.00587407	0.0313275	0.00245973	0.0743528
k	0.0134133	0.802774	0.0636326	0.0549216	0.00864027	0.00496168	0.00278457	0.0277032	0.00555742	0.00376467	0.0118462
y	0.0147051	0.682907	0.0885437	0.122807	0.0272587	0.0219903	0.00447424	0.0280647	0.0030811	0.0013067	0.00486198
á	0.024868	0.38911	0.110466	0.23834	0.0717091	0.087817	0.00934546	0.0541512	0.00639155	0.00251419	0.00528761
e	0.00889082	0.0182743	0.226108	0.381412	0.135858	0.0494433	0.050429	0.0231964	0.0226787	0.0300265	0.0536842
k	0.00270641	0.0184914	0.165787	0.368507	0.17924	0.174918	0.0448715	0.0281489	0.00849289	0.00228608	0.00655016
u	0.000427817	0.0343547	0.0359198	0.21163	0.0796011	0.312099	0.00831656	0.308747	0.00185613	0.00136891	0.0056784
l	0.000301303	0.00678943	0.0369444	0.242144	0.13928	0.429104	0.0257284	0.108781	0.00263504	0.00242568	0.00586723
a	0.0096825	0.0245683	0.0906508	0.259122	0.138608	0.226302	0.0875513	0.057503	0.021186	0.00904395	0.0757818
m	0.00493552	0.00439725	0.0760484	0.0215778	0.158025	0.133913	0.484767	0.0363416	0.0615438	0.0010986	0.0173519
í	0.00283552	0.000800573	0.0234222	0.0232341	0.0447503	0.0255847	0.368438	0.0591259	0.254017	0.0174347	0.180357
b	0.00976265	0.00352892	0.0311241	0.0289566	0.0745516	0.098549	0.26965	0.371865	0.0702956	0.0275998	0.0141169
o	0.0107398	0.00921932	0.0397636	0.0471646	0.0774907	0.144256	0.1657	0.413972	0.0390464	0.0266702	0.0259774
m	0.000263456	0.00140419	0.00340054	0.00487084	0.017892	0.0962183	0.0362872	0.76089	0.0119141	0.0532815	0.0135776
a	0.00841144	0.0011893	0.00837261	0.0061957	0.0372818	0.0317419	0.378199	0.0405858	0.248029	0.0928016	0.147193
l	0.000403286	0.000470026	0.00601351	0.00350546	0.0187404	0.0227561	0.155915	0.232652	0.395238	0.0250364	0.13927
á	0.00288568	0.00724454	0.0331315	0.0196985	0.0371439	0.00887	0.0684955	0.0937621	0.383571	0.0168254	0.328372
m	0.0470071	0.00762305	0.0726736	0.0275677	0.0450901	0.0381588	0.114276	0.0319375	0.416394	0.139028	0.0602447
b	0.00196677	0.000237376	0.00524247	0.00444359	0.00818023	0.000986975	0.0331299	0.010614	0.249649	0.245523	0.440026
é	0.00024843	0.000232489	0.00163285	0.00358774	0.0126789	0.00668312	0.0614539	0.072838	0.118779	0.591882	0.129983
b	0.000339692	0.000232301	0.00129581	0.00125726	0.00466634	0.00159406	0.0216356	0.0120894	0.0793077	0.765312	0.11227
h	0.000804228	0.00280089	0.00784195	0.00914901	0.0254381	0.0329275	0.052529	0.068412	0.245041	0.247698	0.307358
á	0.00232139	0.00777908	0.0075219	0.0226314	0.0284996	0.0385292	0.0755722	0.161623	0.19908	0.0982931	0.35815
</S>	0.000452711	0.00119798	0.00702125	0.00415254	0.0081755	0.00343989	0.0177068	0.0178388	0.282231	0.0777436	0.58004
