 	l'	hameçon	que	j'	ai	acheté	a	disparu	</S>
i	0.769272	0.167212	0.0482358	0.00497057	0.00770447	0.000107454	0.00239789	3.04544e-05	7.0032e-05
l	0.062771	0.927693	0.0015566	0.000926366	0.00226024	0.00164454	0.000896202	0.0016909	0.000561643
ώ	0.0545715	0.88923	0.0193743	0.00352467	0.00528254	0.00379323	0.00317923	0.00615469	0.0148898
b	0.0704774	0.802677	0.060821	0.0057599	0.00611912	0.0121028	0.0100644	0.00868369	0.0232946
h	0.0577646	0.669275	0.0867858	0.00339925	0.00671912	0.00908693	0.0123314	0.00498464	0.149653
ω	0.538423	0.330765	0.0761013	0.00518353	0.00458436	0.010715	0.00393171	0.00197841	0.0283181
l	0.175521	0.113833	0.600963	0.00685677	0.0183158	0.000840026	0.043376	0.000714502	0.0395794
í	0.233478	0.0519617	0.225226	0.126067	0.0818066	0.0239609	0.0413457	0.0105597	0.205594
í	0.156504	0.00844077	0.309	0.231829	0.20451	0.0210781	0.0252456	0.00438272	0.0390109
s	0.00805897	0.00288645	0.0133303	0.109722	0.168141	0.654104	0.024779	0.0088909	0.0100882
ó	0.000603602	0.000165564	0.0019224	0.0230261	0.0252801	0.945913	0.000653472	0.0011024	0.00133325
m	0.0154872	0.0066335	0.017108	0.0172584	0.0178774	0.877141	0.00307795	0.0302196	0.0151973
n	0.0169129	0.00811448	0.0998235	0.0822947	0.13191	0.547703	0.0334172	0.0380046	0.0418198
í	0.0978837	0.0404221	0.20638	0.175161	0.294145	0.0421684	0.0278089	0.0123215	0.103709
n	0.00911682	0.00223459	0.177612	0.229242	0.220808	0.0194213	0.306021	0.0104948	0.0250502
g	0.00516299	0.00338366	0.015722	0.779812	0.159377	0.00165111	0.0088212	0.00318998	0.0228803
á	0.00287349	0.00234342	0.0256068	0.818042	0.0952722	0.0101232	0.0114927	0.0219374	0.0123094
í	0.00801865	0.00322704	0.0277111	0.0201818	0.122932	0.0037934	0.679244	0.0616767	0.0732151
m	0.0059857	0.00793953	0.00325303	0.00325436	0.0274852	0.0342573	0.311145	0.571643	0.0350369
i	0.00929128	0.00252959	0.00310923	0.00301571	0.0364468	0.0455429	0.229366	0.453448	0.217251
l	0.000900269	0.000953616	0.000155178	0.000351508	0.00223738	0.0140631	0.0515577	0.839682	0.090099
é	0.000172004	0.00103373	8.73335e-05	0.00030476	0.00197965	0.0106404	0.00584145	0.943147	0.0367937
m	0.000104398	0.000299454	0.000180576	0.000145501	0.00110864	0.00263351	0.0105771	0.854499	0.130452
b	0.00398683	0.00168736	0.00217893	0.000835883	0.00512518	0.00202855	0.0552098	0.511081	0.417866
a	0.00632006	0.0048789	0.0101741	0.00763195	0.0322747	0.000423941	0.110039	0.177973	0.650285
</S>	0.00966039	0.00238881	0.0269826	0.00905623	0.0251221	0.000404509	0.24561	0.121251	0.559525
