 	le	désespoir	lui	a	brouillé	la	cervelle	</S>
i	0.37731	0.523406	0.0869317	0.00646232	0.00279615	0.00251534	0.000377059	0.000201654
k	0.0461641	0.942615	0.00117037	0.00114884	0.0012908	0.00117602	0.00597286	0.00046196
á	0.00216246	0.995686	0.000707347	0.000451407	0.000337258	7.60999e-05	0.000449274	0.000130217
m	0.000429098	0.995297	0.00118962	0.000412805	0.000701356	0.000277608	0.000481693	0.001211
b	0.12506	0.749663	0.0894411	0.0156235	0.00190256	0.00404681	0.000692656	0.0135701
í	0.270344	0.660124	0.018085	0.00477358	0.00570086	0.00530441	0.000893217	0.0347752
í	0.126212	0.208374	0.446533	0.122776	0.0306848	0.0122299	0.00200391	0.0511854
m	0.048943	0.0148484	0.101621	0.255232	0.503074	0.0483807	0.00436298	0.0235375
i	0.0372593	0.00840629	0.0607921	0.361938	0.312453	0.13886	0.00440094	0.0758905
y	0.00742597	0.00683142	0.00582384	0.100162	0.729445	0.112657	0.0200038	0.0176513
í	0.00352844	0.0014342	0.00198793	0.0927756	0.835707	0.0420741	0.00779163	0.0147007
á	0.00338511	0.00379488	0.0304074	0.380825	0.363233	0.0408243	0.00905909	0.168472
w	0.0104096	0.00395786	0.181357	0.313181	0.199764	0.257588	0.0193756	0.0143672
á	0.0097295	0.0184182	0.318084	0.402419	0.139789	0.0698331	0.0108775	0.03085
i	0.00840544	0.0158961	0.198514	0.224076	0.157226	0.184962	0.0952653	0.115655
b	0.00199942	0.0088461	0.00345541	0.024049	0.144145	0.327714	0.440778	0.0490129
o	0.00227183	0.0077112	0.00106257	0.00955188	0.0923994	0.149169	0.71302	0.0248138
ó	0.000385205	0.00108917	0.000497411	0.00363255	0.0417522	0.188022	0.69918	0.0654412
o	0.0176516	0.00144772	0.0101986	0.0107755	0.0210236	0.258625	0.301236	0.379042
t	0.00607796	0.00239433	0.000976087	0.00424371	0.0200125	0.432261	0.431497	0.102537
s	0.000825062	0.00436802	0.000728571	0.00307741	0.0248044	0.131513	0.777187	0.0574968
a	0.000771291	0.00249038	0.00114677	0.00184896	0.0133056	0.0330011	0.913328	0.0341079
</S>	0.0071825	0.00073377	0.00237417	0.00607144	0.0138444	0.0557356	0.152831	0.761228
