 	il	construit	un	abri	en	brousse	pour	la	récolte	du	vin	</S>
w	0.935089	0.00589201	0.00388569	0.000763089	0.0056645	0.0120816	0.00922311	0.017512	0.00108376	0.00859061	0.000163251	5.15436e-05
a	0.946038	0.00419284	0.0086422	0.000386137	0.00952288	0.0040619	0.00899768	0.0123145	0.000955164	0.00456801	0.000279363	4.09057e-05
l	0.243054	0.530727	0.156046	0.0109129	0.00502482	0.00564692	0.00362688	0.00437321	0.00725554	0.0119492	0.00912056	0.012263
á	0.126813	0.189022	0.15035	0.0111931	0.0432553	0.0105593	0.021164	0.0267912	0.0194852	0.033772	0.046154	0.321441
a	0.264909	0.205581	0.133808	0.0106602	0.0226825	0.0182929	0.0233273	0.0212704	0.0174361	0.0390564	0.076955	0.166022
t	0.00392186	0.929921	0.03197	0.0256579	0.000908834	0.000619656	0.00022979	0.000204598	0.00104782	0.00030366	0.00106095	0.00415402
ó	0.00305022	0.766922	0.0807126	0.127171	0.00194596	0.00265953	0.000447386	0.000300862	0.000712827	0.000583726	0.00126327	0.0142303
n	0.00728019	0.675119	0.18273	0.0901948	0.00581004	0.0092654	0.00202626	0.00177603	0.000630827	0.00302352	0.00209937	0.0200448
g	0.0407805	0.540608	0.348068	0.037692	0.010037	0.00400943	0.00264501	0.00189005	0.000842153	0.0018103	0.00101051	0.0106078
á	0.252911	0.258586	0.278313	0.0506023	0.0279426	0.0170126	0.0124987	0.00827133	0.00409854	0.00479912	0.00307676	0.0818881
n	0.0415529	0.0249818	0.359586	0.177139	0.169593	0.0759254	0.0476577	0.05171	0.0157646	0.0276166	0.0048321	0.00364115
d	0.0862306	0.00875921	0.162648	0.0199265	0.0900444	0.0651668	0.200077	0.175302	0.021039	0.0320808	0.0278029	0.110923
é	0.00514413	0.0105782	0.178711	0.165435	0.118823	0.127667	0.0947797	0.119517	0.0144509	0.0164483	0.0529129	0.0955334
e	0.00199377	0.0286937	0.0767124	0.088409	0.129445	0.21787	0.138482	0.178567	0.0177652	0.0231801	0.0471021	0.0517794
s	0.000759679	0.00204136	0.103357	0.0640852	0.378482	0.21651	0.130574	0.0649747	0.0178947	0.0115716	0.00104978	0.00870047
á	0.00196565	0.00433325	0.0967359	0.0652743	0.16361	0.142792	0.217194	0.181763	0.0768464	0.00995196	0.00303007	0.0365032
k	0.0112729	0.00658397	0.031562	0.0267099	0.0733039	0.21861	0.137121	0.30662	0.122105	0.0281576	0.0269905	0.0109642
ώ	0.000704961	0.000883063	0.00587399	0.0509271	0.0386752	0.776256	0.061255	0.0357742	0.00906	0.00358913	0.00729483	0.0097069
m	0.000440649	0.00208001	0.00956935	0.052906	0.0806315	0.615213	0.0789147	0.064817	0.0123441	0.0368915	0.0186813	0.0275112
ó	0.000492938	0.000173565	0.00263951	0.000491471	0.0152946	0.0226501	0.157422	0.324423	0.408102	0.0194548	0.00572765	0.0431284
i	0.00557768	0.00292271	0.0212218	0.00795766	0.0532337	0.0759341	0.225323	0.229068	0.171763	0.12963	0.0460864	0.0312813
s	0.000648208	0.00404005	0.0163688	0.0331395	0.0318879	0.089316	0.115571	0.092501	0.186568	0.172216	0.131395	0.126349
é	0.000486213	0.00370856	0.0136074	0.0102733	0.0139161	0.0185143	0.0712253	0.1278	0.417951	0.0704762	0.120932	0.131109
b	0.000161122	0.000223113	0.00305817	0.00206163	0.0100963	0.0313298	0.151789	0.240958	0.367598	0.0658737	0.0466314	0.0802196
h	0.000512029	0.00166388	0.00885098	0.0328484	0.0252052	0.280099	0.164802	0.0954636	0.0543188	0.105865	0.0832529	0.147119
a	0.000244096	0.00114589	0.00539465	0.0131144	0.0387957	0.11499	0.166128	0.132257	0.0650687	0.0352039	0.0102257	0.417432
l	0.000184914	0.000567128	0.00723977	0.00187196	0.0153053	0.0136184	0.103269	0.123187	0.0980732	0.323503	0.0507846	0.262395
á	0.000231868	0.00204662	0.00741924	0.0114338	0.0204898	0.0230532	0.058313	0.056117	0.0263431	0.0927271	0.323587	0.378238
a	0.00328188	0.00103661	0.00747815	0.00257861	0.0132342	0.0141449	0.0590634	0.100775	0.0453074	0.210747	0.479327	0.0630257
l	0.00057765	0.00476358	0.0182277	0.040715	0.0216741	0.0257344	0.0191224	0.0200941	0.0478666	0.0679307	0.622031	0.111263
ω	0.000427752	0.0117776	0.0441674	0.0425344	0.0255825	0.0138657	0.0134061	0.0104613	0.0147057	0.0365317	0.588014	0.198525
i	0.000120209	0.000595642	0.00226741	0.00211404	0.00358696	0.0078486	0.0198834	0.0254622	0.0201206	0.0749173	0.387627	0.455456
</S>	0.00613371	0.000929087	0.00904907	0.00167667	0.0143863	0.0106911	0.0522819	0.0450608	0.0642209	0.229824	0.236056	0.32969
