 	mon	épouse	a	mal	au	ventre	</S>
n	0.918257	0.0562859	0.0117645	0.0050893	0.00561434	0.00231416	0.000675146
g	0.994849	0.00212732	0.000716534	0.00189026	0.000310464	7.61563e-05	2.9997e-05
á	0.909443	0.0520777	0.0145695	0.0163218	0.00481584	0.00240217	0.000369474
m	0.158752	0.433158	0.110354	0.0821602	0.0467274	0.0902813	0.0785671
w	0.00252126	0.967995	0.00402683	0.00768231	0.00541144	0.00175376	0.0106089
á	0.0217171	0.964184	0.00587544	0.00592425	0.000984842	0.000483832	0.000831058
s	0.599456	0.321631	0.0387499	0.0190145	0.0042632	0.00207638	0.0148094
í	0.71603	0.116126	0.0308716	0.0453815	0.015289	0.0256758	0.0506266
b	0.143524	0.0325924	0.490061	0.186789	0.0674804	0.0164041	0.0631494
ó	0.132125	0.0184004	0.176667	0.218439	0.26596	0.0652569	0.123151
l	0.100786	0.00906041	0.260216	0.160154	0.311865	0.0516381	0.10628
á	0.0946289	0.00274119	0.167067	0.142002	0.235535	0.0848231	0.273204
a	0.163518	0.0218007	0.12845	0.15693	0.296413	0.168398	0.0644895
b	0.019723	0.00720104	0.126384	0.223909	0.423978	0.0955061	0.103298
ó	0.00138138	0.00639988	0.134808	0.257948	0.228891	0.303341	0.0672303
n	0.00086074	0.000481394	0.0393595	0.145316	0.269874	0.384543	0.159565
d	0.00383079	0.000433968	0.0480412	0.143739	0.191475	0.256	0.356481
á	0.000751527	0.000429273	0.0258179	0.0479425	0.0895617	0.406819	0.428678
i	0.00873495	0.000959056	0.0361122	0.136993	0.170975	0.292281	0.353946
f	0.00382371	0.00275661	0.00873823	0.0227787	0.0940749	0.685599	0.182228
ú	0.000320327	0.000467355	0.00611156	0.0108973	0.0483788	0.887547	0.0462777
n	0.000296856	9.04105e-05	0.00126426	0.0102213	0.0543703	0.837628	0.0961289
d	0.00353417	0.000196005	0.00470093	0.0318322	0.0604882	0.836196	0.0630527
u	0.00158416	0.000108918	0.00413193	0.0223107	0.0413204	0.506069	0.424475
b	0.24791	0.000934367	0.0212363	0.0476314	0.0668084	0.388605	0.226875
v	0.0285682	0.00271558	0.0363194	0.03691	0.105332	0.177097	0.613058
ú	0.0470734	0.001299	0.00294938	0.103765	0.0739238	0.669401	0.101588
a	0.00141627	0.000984949	0.00135648	0.0146776	0.0917647	0.692819	0.196981
</S>	0.00684381	0.000326279	0.0331115	0.126376	0.198377	0.127428	0.507538
