 	il	est	attentif	à	son	travail	</S>
w	0.869344	0.111092	0.00474134	0.00589908	0.00533132	0.00351308	7.8315e-05
a	0.80537	0.132296	0.00548278	0.0162502	0.0319226	0.00845293	0.000225773
l	0.339343	0.531332	0.0710895	0.0239207	0.0127559	0.00556425	0.0159946
á	0.248411	0.273981	0.0702289	0.0658164	0.0564366	0.0248347	0.260291
a	0.290369	0.237756	0.0816516	0.0468204	0.0517747	0.0786822	0.212947
p	0.0469833	0.475048	0.415372	0.032096	0.00300583	0.00820448	0.0192904
ε	0.00622834	0.0694444	0.888417	0.0199681	0.00138235	0.000623501	0.0139365
l	0.167532	0.145092	0.613025	0.0468805	0.00639123	0.00149574	0.0195832
έ	0.216115	0.211927	0.369038	0.128888	0.0484746	0.0039635	0.0215932
o	0.0354839	0.0598977	0.369536	0.365222	0.137782	0.0117496	0.0203287
t	0.00620632	0.0134191	0.183454	0.553254	0.102352	0.129117	0.0121974
é	0.00696452	0.023717	0.406691	0.302417	0.0461146	0.162225	0.0518719
m	0.0020038	0.0204523	0.486075	0.252436	0.0334398	0.0962403	0.109353
a	0.0119502	0.0179244	0.0339508	0.507332	0.226982	0.0384729	0.163388
m	0.0089697	0.0194572	0.0264668	0.172369	0.269188	0.161701	0.341849
i	0.0189522	0.00893235	0.00512253	0.13047	0.453617	0.0886933	0.294212
s	0.00876273	0.0142599	0.00838785	0.0430304	0.208084	0.530812	0.186663
á	0.00178335	0.00119606	0.000582213	0.0142811	0.0992119	0.823726	0.0592198
l	0.00369904	0.00217735	0.00172087	0.0095827	0.0870704	0.731216	0.164534
a	0.000785718	0.00302028	0.00575589	0.0222259	0.0365684	0.814811	0.116833
l	0.00114716	0.0029059	0.00485065	0.0182529	0.0748392	0.260526	0.637478
á	0.00596301	0.0152487	0.0203661	0.0745366	0.0896762	0.241319	0.55289
w	0.0243472	0.0115958	0.0237023	0.0647156	0.283855	0.318717	0.273067
a	0.0445526	0.0360798	0.0774769	0.140065	0.338935	0.205831	0.157059
</S>	0.00625777	0.00391042	0.0100003	0.0431758	0.142882	0.334894	0.45888
