 	je	ne	comprends	pas	comment	il	est	passé	à	mon	absence	</S>
n	0.690231	0.0450487	0.0932471	0.058021	0.078537	0.0176171	0.00308721	0.00148496	0.00798522	0.00466641	3.94337e-05	3.46483e-05
g	0.989913	0.00195235	0.000874967	0.000971569	0.00199022	0.000374278	7.20495e-05	0.000132609	0.000264767	0.00338551	6.25154e-05	6.56263e-06
á	0.980771	0.00983118	0.00219129	0.000914851	0.00227427	0.000453174	0.000287808	0.000797358	0.000528164	0.00104173	0.000899887	9.64098e-06
í	0.289668	0.30022	0.0967919	0.0373262	0.0518898	0.0368111	0.0167572	0.0206596	0.0432281	0.0306176	0.00656735	0.0694631
m	0.0589004	0.680601	0.142331	0.019665	0.00750549	0.00463717	0.019916	0.0245209	0.00860152	0.00262375	0.0103456	0.0203514
i	0.00140376	0.539791	0.268374	0.0847887	0.0175989	0.00705672	0.0301444	0.00872192	0.0204077	0.00139945	0.000846828	0.0194663
k	0.0013217	0.36253	0.593649	0.020341	0.00406177	0.000725586	0.00526036	0.0030477	0.00228904	0.000253743	0.000448765	0.00607204
ώ	8.80672e-05	0.0577711	0.865453	0.0443002	0.00522115	0.00102044	0.00662665	0.00485783	0.00592599	0.000241153	0.00104187	0.00745294
n	0.00166561	0.0470693	0.740177	0.126091	0.0528447	0.00383243	0.00541215	0.00506857	0.0108682	0.000716105	0.00129017	0.00496463
d	0.0139594	0.0458764	0.724898	0.102012	0.0621087	0.00638148	0.00645104	0.00679472	0.0139867	0.000912633	0.00265675	0.0139625
ώ	0.149298	0.0646438	0.524131	0.0874367	0.0863912	0.0110045	0.00740306	0.0118025	0.0102379	0.0032215	0.0207604	0.0236693
o	0.00565437	0.0269326	0.206656	0.442633	0.231054	0.0447275	0.0109201	0.00529484	0.0100228	0.00682938	0.00167394	0.00760101
b	0.0041728	0.0242042	0.133394	0.534251	0.249314	0.0285623	0.012834	0.00589388	0.00292156	0.000433922	0.00123028	0.00278825
ó	0.000696222	0.0155578	0.227049	0.456524	0.172819	0.0290549	0.0664335	0.00614581	0.0200025	0.00044187	0.000324197	0.00495101
n	0.000912304	0.0149532	0.174829	0.256012	0.244872	0.114076	0.0977617	0.0271335	0.03876	0.00158218	0.00227919	0.0268286
d	0.00190121	0.0245758	0.170367	0.239263	0.407708	0.0759518	0.0318142	0.0117981	0.0153868	0.0015081	0.00198886	0.0177374
á	0.00102218	0.0112139	0.040156	0.151542	0.510958	0.131757	0.0374576	0.0237363	0.0105221	0.00415151	0.015786	0.0616973
e	0.00120135	0.00400293	0.00565284	0.0586016	0.159547	0.54584	0.13433	0.0439017	0.0191688	0.00884507	0.00604912	0.0128601
k	0.00375694	0.0104431	0.0223918	0.0740071	0.0699439	0.100774	0.356022	0.226663	0.0790224	0.00663821	0.0273121	0.0230245
i	0.000314007	0.00339906	0.0296388	0.104578	0.0639573	0.0458102	0.316816	0.190034	0.209463	0.00333346	0.00573434	0.026923
i	0.000612268	0.00386512	0.0231043	0.0803446	0.0961693	0.143015	0.345722	0.0970346	0.0909741	0.00347398	0.00789288	0.107792
s	0.000503213	0.00321368	0.00303491	0.0184138	0.0313728	0.19804	0.364529	0.215623	0.102971	0.0178274	0.019067	0.0254043
í	0.000502719	0.0024328	0.00176802	0.0152483	0.0240519	0.0170936	0.153668	0.418133	0.0550608	0.0517245	0.151035	0.10928
l	0.00130298	0.000670002	0.000556534	0.00751897	0.0296419	0.136778	0.120086	0.20734	0.0981283	0.255862	0.111917	0.0301981
í	0.00237534	0.00163195	0.00149007	0.00638447	0.00968891	0.0298993	0.0796392	0.283907	0.0322188	0.0313018	0.350805	0.170658
y	0.000593263	0.000747614	0.000985526	0.00792713	0.0276731	0.0818556	0.0999443	0.191767	0.169432	0.206139	0.163757	0.0491794
é	0.000347113	0.0015059	0.000755285	0.00478132	0.00820847	0.00765297	0.0545763	0.370009	0.0389492	0.0825889	0.398786	0.0318399
é	7.5134e-05	0.000786141	0.000439361	0.00503369	0.0114152	0.051512	0.0911433	0.206539	0.144663	0.208239	0.216967	0.0631869
k	0.000354581	0.00274304	0.00421105	0.00664616	0.00263625	0.00288501	0.028999	0.196956	0.148134	0.0269939	0.45044	0.129001
i	4.38107e-05	0.00296514	0.0251795	0.0385348	0.0114106	0.00623883	0.0877174	0.277891	0.362312	0.0140393	0.0572678	0.1164
i	1.39205e-05	0.00123269	0.0077429	0.0133556	0.00538692	0.00261375	0.0691614	0.172274	0.292754	0.00445233	0.0372753	0.393738
s	0.000249335	0.0011408	0.00183824	0.00749477	0.00774201	0.0159684	0.0523125	0.121146	0.324935	0.152691	0.140889	0.173594
í	5.00887e-05	0.000250237	0.000545945	0.00288998	0.0038145	0.00129785	0.0127649	0.103175	0.0685035	0.193614	0.410934	0.202161
w	0.000199885	0.000141316	0.000102647	0.000830724	0.00154248	0.00905892	0.0144905	0.044079	0.0481567	0.294766	0.195876	0.390755
a	0.00136504	0.00100767	0.00277607	0.00628588	0.0142127	0.042969	0.055358	0.0696247	0.182628	0.37296	0.116115	0.134699
n	0.000164766	9.7701e-05	0.000334503	0.00162622	0.00394424	0.0134584	0.0134633	0.0369702	0.1116	0.308985	0.14276	0.366595
g	0.0110263	0.000802147	0.00105371	0.00254687	0.00990744	0.00419933	0.00449754	0.0449891	0.0390706	0.211419	0.580051	0.090437
á	0.0130665	0.000254843	0.00037412	0.00055661	0.00433062	0.00368827	0.00333785	0.0331433	0.0240024	0.169476	0.592015	0.155755
</S>	0.000390744	0.00032405	0.000957868	0.00342921	0.0068358	0.0116455	0.0162548	0.0339406	0.254848	0.185683	0.0373045	0.448385
