 	l'	enfant	n'	est	pas	content	de	sa	part	de	nourriture	</S>
m	0.72735	0.188483	0.0124564	0.00512843	0.00832343	0.0101485	0.00832139	0.0099543	0.0110544	0.00717414	0.0110366	0.000569059
w	0.00970169	0.984363	0.00307208	0.000443452	0.000234195	0.00024332	0.000150812	0.00010611	0.000474799	0.000245744	3.33206e-05	0.000931957
á	0.000457733	0.999364	3.09047e-05	7.78759e-06	1.15464e-05	6.21619e-05	5.26725e-06	5.49682e-06	8.41844e-06	1.71327e-06	3.82562e-05	6.71849e-06
n	0.0753848	0.920763	0.000692072	0.00010043	8.41452e-05	0.000238014	8.77089e-05	0.000181224	0.000788156	9.40362e-05	0.000227276	0.00135915
a	0.14085	0.735128	0.0382548	0.00672701	0.00180499	0.00111398	0.00241045	0.00617545	0.0088211	0.00294885	0.00544658	0.0503185
á	0.676753	0.0656639	0.0731143	0.0422852	0.0502766	0.0144084	0.0110883	0.0106204	0.0162559	0.0292614	0.00572226	0.00454992
k	0.0925561	0.022563	0.263304	0.23989	0.137952	0.110663	0.0250755	0.0117111	0.00609743	0.0154636	0.0038363	0.0708879
i	0.00294646	0.0040084	0.0629493	0.0911009	0.193071	0.553397	0.035896	0.0100159	0.0097317	0.00845801	0.00387444	0.024551
n	0.00880805	0.00519177	0.126181	0.127072	0.152916	0.435251	0.0326857	0.00798415	0.0183887	0.0125296	0.0173741	0.0556176
i	0.0578146	0.00571951	0.0796432	0.106253	0.179255	0.299382	0.0819801	0.049442	0.0419494	0.0325209	0.0197129	0.0463272
b	0.018142	0.0043973	0.0830508	0.120146	0.145904	0.133679	0.178487	0.0874438	0.0804442	0.0771343	0.04948	0.0216913
e	0.00812401	0.00383636	0.020176	0.0121659	0.0142529	0.0261364	0.0338974	0.116798	0.124941	0.0315416	0.570593	0.0375379
a	0.00145483	0.00108449	0.0436042	0.0261542	0.0306332	0.102717	0.0624172	0.0717844	0.140226	0.0764914	0.327218	0.116214
</S>	0.00113174	0.000107572	0.00648912	0.0234033	0.0206717	0.0546817	0.189431	0.229769	0.107814	0.173301	0.118066	0.0751337
