 	avant	de	mourir	jésus	lança	une	parole	"	tout	est	accompli	"	</S>
o	0.965395	0.0279542	0.000778813	0.000641793	0.000667366	0.00158205	0.000482896	0.000315588	0.000399077	0.000529671	0.000921759	0.000269887	6.22733e-05
b	0.985991	0.00231834	0.000450528	0.000247725	0.000886624	0.000415178	0.000383476	0.000358774	0.000821515	0.000521685	0.00113511	0.00447989	0.00199065
o	0.986821	0.00203989	0.000479654	0.00161286	0.00102861	0.000614948	0.000605723	0.000293081	0.00107724	0.000975179	0.000731271	0.00150879	0.00221204
s	0.94517	0.00661344	0.00147483	0.00459517	0.00703085	0.00233876	0.00324129	0.000953762	0.00610965	0.00442738	0.00294453	0.00983164	0.00526826
ó	0.90905	0.0167651	0.000458115	0.00340955	0.0162193	0.00771046	0.00368597	0.0010984	0.00318864	0.0120297	0.00384461	0.0126529	0.00988779
m	0.18001	0.637716	0.0383703	0.0115852	0.0124866	0.026231	0.00929934	0.0214168	0.0088603	0.0146344	0.00705914	0.00877831	0.0235533
í	0.0440716	0.365087	0.230396	0.0384505	0.0187613	0.0846589	0.0775476	0.0368218	0.0150809	0.0235092	0.0016455	0.0246465	0.0393233
w	0.0114491	0.600296	0.173941	0.0495321	0.0323757	0.0162033	0.0182784	0.0217855	0.0139812	0.01338	0.0139992	0.0104015	0.0243764
á	0.00104782	0.0782413	0.160966	0.0722598	0.14729	0.103531	0.038976	0.028452	0.0858631	0.0844838	0.0579877	0.0518337	0.0890685
a	0.00175916	0.21474	0.115306	0.105183	0.167969	0.0318065	0.0212991	0.0254607	0.0552157	0.0667493	0.0258949	0.0345335	0.134083
y	0.00026591	0.0801778	0.422088	0.257712	0.117314	0.0261354	0.0240803	0.0303061	0.010978	0.0113773	0.00580553	0.00433398	0.00942625
e	0.000251454	0.0486081	0.111367	0.286918	0.150043	0.117803	0.194563	0.0446986	0.0119196	0.00755122	0.00255419	0.013381	0.010342
s	0.000139794	0.0152939	0.0427512	0.371334	0.27335	0.111295	0.124069	0.0231488	0.00607117	0.0044239	0.00395509	0.00873765	0.0154299
ú	7.76189e-05	0.0101359	0.0248768	0.327245	0.237325	0.0370225	0.249961	0.0205443	0.0116721	0.00764669	0.00252583	0.0440717	0.0268954
a	2.24827e-05	0.00884196	0.0193229	0.231724	0.474202	0.137198	0.0723868	0.0222155	0.00708438	0.00756197	0.00177151	0.00588838	0.0117796
