 	la	pintade	est	aussi	tâchetée	que	le	léopard	</S>
k	0.192246	0.647643	0.0796888	0.0540081	0.0120754	0.00627078	0.00696033	0.000485204	0.000622631
á	0.0236803	0.938509	0.00558787	0.00989593	0.0171156	0.00318273	0.000783374	0.000389647	0.000855398
n	0.0739734	0.638653	0.0176161	0.0328516	0.0926395	0.0305817	0.0035491	0.0777644	0.0323708
g	0.0915068	0.840873	0.0069067	0.0106986	0.0296309	0.00539262	0.00102939	0.000662324	0.0132995
a	0.397583	0.435887	0.030427	0.0260322	0.0421551	0.0225683	0.00914244	0.020654	0.0155505
a	0.166718	0.0295129	0.418044	0.215527	0.0283387	0.0696307	0.0304168	0.000887159	0.0409245
d	0.0128126	0.00250696	0.28122	0.428394	0.0698835	0.0743581	0.0378034	0.00805036	0.0849714
í	0.00438339	0.000180138	0.177804	0.139131	0.0503861	0.0929825	0.0327078	0.0105699	0.491855
l	0.0181196	0.000558015	0.0977123	0.142858	0.11663	0.171502	0.143547	0.0100347	0.299037
a	0.00721297	0.00156592	0.0410615	0.0635511	0.0927939	0.280195	0.108352	0.0289865	0.376281
t	0.0104452	0.00146037	0.024414	0.0417349	0.513308	0.211839	0.0618519	0.072458	0.0624885
ώ	0.00147524	0.00133353	0.00354779	0.0419471	0.81464	0.0924769	0.00557305	0.0231815	0.0158248
n	0.000219247	0.00131631	0.00305378	0.0745083	0.809329	0.0888758	0.00671826	0.00660537	0.00937427
ώ	0.00564841	0.00279173	0.00834082	0.045219	0.777714	0.116114	0.0121873	0.00553129	0.0264535
m	0.0018555	0.000105878	0.0209051	0.0679672	0.156334	0.515582	0.178374	0.00675322	0.052123
b	0.00271138	0.000764439	0.0175454	0.0436992	0.036788	0.13655	0.0998249	0.321486	0.340631
í	0.000726403	0.000112933	0.00249984	0.0308074	0.0852933	0.0278372	0.023328	0.820303	0.00909233
n	0.0120496	0.000916652	0.0163169	0.0308521	0.026121	0.0393342	0.0178519	0.79969	0.0568673
g	0.0130905	0.00309782	0.0165577	0.0249649	0.0512125	0.323029	0.202588	0.281584	0.083875
w	0.00266128	0.00101189	0.00611091	0.0107482	0.0531475	0.229211	0.135383	0.515583	0.0461444
e	0.00355386	0.000638474	0.00343658	0.0133918	0.0413424	0.36882	0.259237	0.177087	0.132493
</S>	0.00264771	9.06716e-05	0.00629133	0.0117863	0.0112425	0.0993591	0.139465	0.0265178	0.7026
