 	okyemba	a	donné	un	coup	de	pied	à	sa	femme	</S>
o	0.620705	0.346601	0.0144579	0.00723874	0.00292126	0.00275721	0.00118096	0.00140809	0.00263287	1.26511e-05	8.33977e-05
k	0.536912	0.364525	0.052863	0.023361	0.00454972	0.00259937	0.00644589	0.00211708	0.000637758	0.00189209	0.00409669
y	0.590851	0.124985	0.0586179	0.0364009	0.0125644	0.0064518	0.12895	0.0143608	0.00350617	0.000470207	0.0228414
é	0.737705	0.0559763	0.048677	0.0716576	0.0271384	0.0105363	0.030088	0.0100582	0.00402995	0.000561477	0.00357195
m	0.593444	0.201902	0.13269	0.0455262	0.0118162	0.00289216	0.00174838	0.00214324	0.00175502	0.000194894	0.00588779
b	0.341251	0.0504093	0.176336	0.160839	0.0978853	0.0384195	0.00322229	0.0228654	0.0037151	0.0017742	0.103283
á	0.516968	0.103516	0.15847	0.153998	0.0282931	0.00868085	0.00155082	0.00515434	0.000666055	0.00037129	0.0223318
á	0.0368608	0.0689083	0.393978	0.21877	0.188431	0.0594436	0.00250009	0.00684281	0.00815169	0.00390905	0.012204
s	0.0128678	0.00857578	0.0825179	0.103965	0.394302	0.309204	0.0329899	0.0196517	0.0123849	0.00839824	0.0151436
i	0.00581623	0.00232532	0.0381635	0.0830648	0.711386	0.0849404	0.00229736	0.0133233	0.00554922	0.00837127	0.0447623
l	0.0087904	0.00205054	0.0285808	0.147863	0.499624	0.222309	0.00676278	0.0266719	0.0113299	0.00304714	0.0429699
i	0.00332463	0.00361978	0.031866	0.0949123	0.229855	0.425832	0.00795798	0.0831524	0.0672394	0.00746059	0.0447795
m	0.00402831	0.00149367	0.00773288	0.034078	0.0959144	0.342378	0.06501	0.159098	0.161849	0.0710872	0.0573302
w	0.00184842	0.001055	0.000970184	0.00797195	0.010134	0.0170706	0.00103455	0.0196512	0.0338713	0.862514	0.0438792
á	0.00043865	9.69587e-05	0.000181775	0.00215502	0.00269194	0.0103181	0.00332143	0.0334524	0.0602913	0.880231	0.00682175
s	0.0119505	0.00425339	0.0237344	0.0728779	0.0567718	0.232584	0.0429925	0.161054	0.136063	0.178315	0.0794027
í	0.0214617	0.00322537	0.00900376	0.0466152	0.121263	0.175612	0.00564437	0.121932	0.111166	0.113714	0.270362
e	0.00183994	0.000853993	0.00760702	0.0128844	0.0260621	0.131431	0.0785188	0.2797	0.222143	0.0356853	0.203275
k	0.00762239	0.00420866	0.00963203	0.0123854	0.0137559	0.0503178	0.23821	0.295528	0.0409024	0.0861291	0.241308
i	0.00147016	0.000711274	0.00232905	0.00404614	0.00290625	0.0127079	0.773521	0.156584	0.00623944	0.00344546	0.0360392
n	0.00336995	0.000291663	0.00249601	0.00390909	0.00423028	0.0310672	0.25077	0.355849	0.0432933	0.00378533	0.300939
d	0.0028757	0.00117176	0.00555583	0.0130787	0.00757482	0.0782137	0.0723475	0.317504	0.146489	0.0228237	0.332365
i	0.00705681	0.00735931	0.0126894	0.0161971	0.0174502	0.0482385	0.0476347	0.213465	0.0648449	0.0455678	0.519496
</S>	0.00139197	0.00216423	0.00892926	0.00545902	0.00661788	0.05103	0.00983015	0.240931	0.228425	0.0196608	0.425562
