 	lorsqu'	il	est	rentré	de	l'	école	il	a	bondit	sur	la	nourriture	</S>
é	0.876783	0.0870466	0.00704102	0.00331693	0.00509354	0.00444694	0.00432663	0.00657574	0.00151524	5.58374e-05	0.00112435	0.00238876	0.000211932	7.36107e-05
w	0.693718	0.151466	0.0647937	0.0396261	0.00607478	0.00650675	0.00411755	0.000881799	0.00165583	0.00368509	0.00903796	0.00905945	0.00419206	0.0051845
ú	0.174486	0.206303	0.205913	0.104377	0.0790783	0.0657058	0.0731744	0.0103674	0.0233273	0.0113674	0.0054762	0.0057465	0.00457731	0.0301001
r	0.0924412	0.145092	0.409352	0.153164	0.019805	0.0278634	0.0524181	0.000580752	0.00223914	0.0081922	0.0227671	0.0100476	0.00601341	0.0500246
ú	0.464963	0.316563	0.115706	0.0107504	0.0277118	0.00972377	0.00311983	0.00266057	0.00237605	0.00106227	0.0102649	0.0156071	0.00509124	0.0144002
w	0.10933	0.132994	0.311581	0.149262	0.144883	0.0265878	0.0126391	0.0336132	0.0120487	0.00435969	0.0170844	0.018468	0.00551692	0.0216327
á	0.108628	0.301524	0.136456	0.0436383	0.0689511	0.0499594	0.0163129	0.0563573	0.0620981	0.0132719	0.0136674	0.0306498	0.0439546	0.0545313
l	0.0356462	0.0609666	0.0819148	0.0781379	0.354775	0.100972	0.0332133	0.0758904	0.0378702	0.0207355	0.0173385	0.025017	0.0295864	0.0479359
e	0.0191793	0.0186628	0.0343779	0.0369895	0.23894	0.137598	0.0320874	0.0407845	0.0675931	0.0139778	0.0235876	0.0240448	0.00722736	0.30495
k	0.00613845	0.00903936	0.00931797	0.0154046	0.347583	0.215088	0.181851	0.0314227	0.0233914	0.0415075	0.0130391	0.0150451	0.0118163	0.0793557
ώ	0.00879278	0.00941279	0.0210579	0.112583	0.208673	0.245623	0.297812	0.00905121	0.00876296	0.0170037	0.0128465	0.00613768	0.0164071	0.025836
ώ	0.000553731	0.00388431	0.0102773	0.105473	0.0721332	0.124869	0.526171	0.0143005	0.0108939	0.0415238	0.0191944	0.0158642	0.0151115	0.0397499
l	0.00382322	0.00444799	0.0145191	0.00969793	0.248586	0.24505	0.146454	0.200289	0.0626051	0.0123476	0.0196307	0.0182606	0.00762545	0.00666219
i	0.0148074	0.0152439	0.0219736	0.0290613	0.151817	0.188922	0.127143	0.0827156	0.0558539	0.0251444	0.03484	0.0278463	0.0112477	0.213384
w	0.0024198	0.00413796	0.0074808	0.00335167	0.118637	0.134465	0.176701	0.312741	0.109581	0.064951	0.0183319	0.0200497	0.00563812	0.0215134
a	0.0158492	0.0200042	0.0350011	0.0209031	0.143883	0.124235	0.0465759	0.176929	0.193248	0.0850308	0.0294594	0.0446247	0.0175899	0.046667
á	0.00085081	0.000695286	0.00216031	0.00189874	0.0407988	0.0721588	0.152121	0.363492	0.194174	0.0648149	0.0383858	0.0354899	0.00722436	0.0257356
l	0.00736425	0.00774719	0.0619232	0.0410581	0.0112324	0.0249747	0.0520079	0.0140399	0.106844	0.353184	0.169403	0.0667474	0.00983291	0.0736415
a	0.00143902	0.00373216	0.0186377	0.0153938	0.00860337	0.0213514	0.0351415	0.00976078	0.0947877	0.40053	0.110207	0.0408191	0.00404124	0.235555
a	0.000408884	0.00111981	0.00310337	0.00412532	0.023604	0.045953	0.0896076	0.0091385	0.044678	0.486396	0.121801	0.0509091	0.0172829	0.101872
n	0.000495051	0.000955598	0.00301213	0.00187611	0.0103373	0.00982435	0.0126301	0.175389	0.198218	0.049976	0.23899	0.242279	0.0332172	0.0227993
g	0.00197013	0.00436534	0.00143582	0.00247781	0.0199045	0.0241908	0.0146735	0.0910311	0.166924	0.432746	0.0801078	0.090232	0.0144292	0.055512
i	0.000229494	0.000528867	0.000182934	0.000264425	0.00553002	0.00790031	0.00342114	0.0186606	0.0582116	0.859948	0.0148783	0.0165406	0.00417992	0.00952354
m	0.000260486	0.000500021	0.000373438	0.000357003	0.00966462	0.0136192	0.0170218	0.144781	0.154352	0.0687193	0.138951	0.249056	0.0812582	0.121086
í	0.00132323	0.000777365	0.00320877	0.000220634	0.00543491	0.00573785	0.0034906	0.011894	0.00843052	0.0148144	0.221446	0.160525	0.332241	0.230457
d	0.000930093	0.000533734	0.00110489	0.000488535	0.00349428	0.00354894	0.0133263	0.00793261	0.0151018	0.0197746	0.162511	0.131238	0.467156	0.172859
z	0.000327436	0.00025617	0.00121724	0.00111072	0.00491495	0.00724258	0.014848	0.00166869	0.0071645	0.020131	0.247244	0.163565	0.170316	0.359993
á	0.00142381	0.00185933	0.00134147	0.000158833	0.00857609	0.00923404	0.00318936	0.00163122	0.0105213	0.0291219	0.0974054	0.104536	0.394301	0.3367
a	0.00027853	0.000169538	0.000642332	0.000571559	0.00289467	0.00285043	0.00576596	0.006243	0.0149117	0.0108107	0.095729	0.160342	0.387051	0.31174
</S>	0.000601752	0.00105581	0.00417067	0.00475276	0.00434443	0.00338262	0.00541168	0.00816256	0.00879494	0.00508976	0.152581	0.265274	0.130929	0.40545
