 	il	s'	adosse	au	mur	de	la	maison	</S>
w	0.814774	0.1118	0.0228533	0.0292914	0.00537365	0.00421508	0.0114519	0.000179068	6.09125e-05
a	0.789443	0.120292	0.0130117	0.0528554	0.00314263	0.00421159	0.016932	5.99947e-05	5.162e-05
l	0.293297	0.395938	0.167868	0.0992768	0.0109338	0.0187842	0.00458232	0.00123667	0.0080831
á	0.203563	0.293752	0.092368	0.112262	0.0307259	0.0504253	0.00730192	0.00379337	0.205809
a	0.267836	0.181262	0.124288	0.142794	0.0408755	0.056408	0.0448019	0.0457909	0.0959433
k	0.0654093	0.32374	0.508742	0.0281553	0.0362244	0.0101777	0.000541043	0.00160118	0.0254098
a	0.0757142	0.339375	0.467118	0.0311431	0.0652811	0.0101475	0.00143702	0.00115779	0.00862581
n	0.0394155	0.318233	0.553413	0.0521253	0.0234782	0.00572728	0.000803659	0.000719751	0.00608421
á	0.170273	0.376698	0.355602	0.0443639	0.0177404	0.0119302	0.00166936	0.00148439	0.0202391
ω	0.0771676	0.162166	0.20338	0.448873	0.0680189	0.0183935	0.00705004	0.00984763	0.00510229
k	0.00332595	0.0360004	0.281701	0.40368	0.244069	0.0155579	0.00391703	0.00852269	0.00322702
ω	0.00226384	0.0190844	0.182172	0.0719162	0.679866	0.0317887	0.00214026	0.00276236	0.00800614
r	0.00193916	0.0142604	0.711563	0.033276	0.2134	0.0174143	0.0016316	0.00054649	0.00596877
ω	0.0375205	0.0577654	0.808129	0.0208787	0.0313915	0.0138055	0.0010123	0.00304896	0.0264477
m	0.014929	0.0614599	0.0725889	0.458179	0.216932	0.124536	0.015892	0.00165982	0.0338225
ó	0.0151561	0.026782	0.0199671	0.377496	0.155107	0.202095	0.0739417	0.00330183	0.126153
ε	0.0128363	0.0315699	0.0250045	0.277918	0.441048	0.112406	0.019367	0.0669098	0.0129399
b	0.00261922	0.0135323	0.0152569	0.0601088	0.613203	0.194588	0.00928561	0.0840844	0.00732174
a	0.00998524	0.035458	0.00522774	0.0555311	0.648056	0.208886	0.0184903	0.00403027	0.0143356
á	0.000742799	0.0033629	0.00160529	0.0123583	0.76586	0.156234	0.00741583	0.0194961	0.0329246
y	0.00540333	0.00514556	0.00110542	0.030946	0.0329451	0.212278	0.407242	0.191842	0.113093
á	0.0198315	0.10746	0.0232979	0.0958698	0.0257933	0.122396	0.251174	0.108864	0.245314
n	0.00191178	0.00762812	0.00827162	0.0325546	0.0279667	0.107326	0.362352	0.430847	0.0211424
d	0.000589822	0.00197035	0.00313379	0.00671713	0.0121299	0.0683099	0.125634	0.759674	0.0218418
é	9.74569e-05	0.000391929	0.00299752	0.000805339	0.00139413	0.00950108	0.0304573	0.92281	0.0315456
e	9.02347e-05	0.000914872	0.0156289	0.018653	0.0471582	0.214713	0.0734636	0.206597	0.422781
</S>	0.000987585	0.00479039	0.00569321	0.0147295	0.0197795	0.20867	0.0956378	0.0126654	0.637047
