 	il	travaille	seulement	pendant	la	nuit	</S>
w	0.986504	0.00586924	0.0029505	0.00179015	0.00227174	0.000545344	6.85869e-05
a	0.914296	0.0218662	0.0324905	0.0111102	0.0193965	0.000767361	7.28878e-05
á	0.625413	0.228842	0.0777177	0.0325616	0.0235755	0.00195868	0.00993179
b	0.121923	0.710605	0.0474456	0.031326	0.0407521	0.0150623	0.0328857
h	0.039461	0.819125	0.0410171	0.0313845	0.0158179	0.00360125	0.0495931
i	0.146033	0.748634	0.0537272	0.0299827	0.0149189	0.00180457	0.00489975
á	0.0348024	0.612725	0.0249791	0.0456029	0.0246956	0.0156585	0.241536
o	0.207078	0.164859	0.364942	0.176666	0.0488304	0.0116795	0.025944
s	0.00768578	0.372636	0.289869	0.285368	0.0171502	0.0198318	0.00745862
á	0.0180093	0.445725	0.169192	0.279716	0.0462143	0.0127277	0.0284154
l	0.0131868	0.0659196	0.0741036	0.195832	0.0647369	0.0236681	0.562553
a	0.00508238	0.0339352	0.505019	0.191993	0.0957669	0.0301168	0.138087
l	0.00675299	0.014033	0.344492	0.341934	0.181088	0.0270175	0.0846819
í	0.0141401	0.0129197	0.318021	0.274322	0.10382	0.0401411	0.236635
l	0.00687025	0.00531519	0.318613	0.205016	0.129963	0.295207	0.0390166
a	0.00564712	0.0107499	0.37081	0.229299	0.171281	0.138867	0.0733458
k	0.0104953	0.00201814	0.0939941	0.298748	0.271034	0.26501	0.0586999
ó	0.000319271	0.00225749	0.0117208	0.0530696	0.0323733	0.886926	0.0133338
l	0.000170718	0.0105923	0.0488854	0.0814337	0.0381029	0.775855	0.0449602
i	0.00154198	0.00764789	0.0611999	0.0868706	0.0801986	0.642498	0.120043
</S>	0.00262981	0.00233424	0.0614108	0.0690913	0.14305	0.227073	0.494411
