 	son	aîné	lui	a	flanqué	une	taloche	sur	la	tête	</S>
o	0.492719	0.285875	0.14212	0.0454994	0.00614521	0.00839646	0.0128666	0.00285967	0.00261117	0.000817644	8.96898e-05
n	0.0502669	0.843482	0.0284588	0.0157905	0.0424612	0.00889252	0.00489369	0.000848958	0.000979514	0.0013983	0.00252799
y	0.024163	0.825104	0.00902361	0.0168657	0.0406086	0.0540395	0.0048483	0.0071211	0.0131825	0.00263668	0.00240742
ε	0.0413097	0.898765	0.00487013	0.010088	0.0249854	0.0123735	0.00164694	0.00133616	0.00206328	0.000701434	0.00186005
b	0.0187282	0.869878	0.00509924	0.00432884	0.0247923	0.0227523	0.00474061	0.00158919	0.00532557	0.0034534	0.0393127
h	0.308675	0.0920621	0.0269724	0.00452071	0.0209327	0.0178806	0.0156436	0.0152584	0.0147169	0.0419812	0.441356
í	0.20954	0.0987254	0.042843	0.0234007	0.0599992	0.0927523	0.0148799	0.0417746	0.0257488	0.0143131	0.376023
á	0.18451	0.00996054	0.251178	0.479103	0.0354514	0.0315501	0.000246171	0.00179585	0.00138653	7.82884e-05	0.00473987
y	0.0417549	0.00839742	0.0987274	0.359754	0.129346	0.28422	0.023661	0.0145014	0.00869275	0.000869049	0.0300757
a	0.033323	0.0115332	0.0158436	0.0996902	0.505324	0.307669	0.00145433	0.00531183	0.00249535	7.85884e-05	0.0172766
n	0.0827972	0.01937	0.0157666	0.0852055	0.221653	0.417831	0.00848904	0.0233535	0.0127102	0.000540123	0.112284
d	0.0751603	0.0123997	0.0797221	0.224069	0.215698	0.349705	0.0100483	0.0115538	0.00872115	0.000654703	0.0122681
z	0.043542	0.0104554	0.0420414	0.0787427	0.477324	0.286097	0.0043814	0.00805126	0.00509067	0.000597525	0.0436761
i	0.0836501	0.0341363	0.0195161	0.0246257	0.502826	0.240995	0.00540178	0.017711	0.00552763	0.000777283	0.064833
w	0.138091	0.00900802	0.16531	0.310907	0.0311617	0.260327	0.00299476	0.0366996	0.0160426	0.000970105	0.0284878
á	0.114899	0.0524046	0.342395	0.191944	0.00899683	0.0911506	0.0113115	0.122533	0.0282045	0.00441706	0.031744
o	0.0725256	0.00747615	0.100627	0.112397	0.0328607	0.211422	0.110073	0.14864	0.0877881	0.0367075	0.0794823
k	0.0116572	0.00750184	0.00293446	0.00868354	0.0207431	0.0868928	0.373958	0.205273	0.109165	0.148482	0.0247081
o	9.04541e-05	0.00177232	0.000182393	0.00059322	0.00243338	0.0130404	0.730788	0.0229625	0.0144266	0.206545	0.00716496
n	0.000129365	0.000564353	4.67959e-05	0.000145312	0.000237482	0.00424318	0.900854	0.0137429	0.010709	0.065425	0.00390296
o	0.0044226	0.00713142	0.00145115	0.00269736	0.028663	0.0414895	0.191185	0.0726926	0.0184867	0.0435189	0.588262
o	0.0363021	0.0137858	0.014082	0.0168907	0.00475702	0.0485636	0.0173205	0.261026	0.225033	0.130948	0.231291
s	0.00643233	0.00299746	0.00734497	0.012989	0.00173212	0.0281947	0.0158082	0.170612	0.40337	0.201513	0.149006
í	0.00210445	0.000948947	0.000751948	0.00781482	0.000840559	0.0102871	0.00108796	0.23322	0.458049	0.0303277	0.254568
b	0.00811704	0.00100658	0.00364108	0.0138435	0.00169673	0.0116246	0.00296809	0.0994689	0.303761	0.127269	0.426603
o	0.016542	0.0102205	0.00991954	0.027398	0.000518741	0.00468368	0.0093343	0.116102	0.141749	0.621483	0.0420497
ó	0.00032865	0.000927035	0.000320432	0.000700401	0.000489292	0.00406571	0.0320075	0.0229981	0.0319031	0.695127	0.211133
</S>	0.0256981	0.00616905	0.0295718	0.0266621	0.000976877	0.0216601	0.0110595	0.131373	0.186546	0.0522327	0.508051
