 	cela	vaut	bien	le	double	</S>
m	0.733464	0.197734	0.0481115	0.0164257	0.00249144	0.00177265
ú	0.0360408	0.844936	0.0361955	0.0294384	0.00156056	0.0518289
a	0.143146	0.795945	0.020588	0.0240448	0.00535298	0.010923
ó	0.249852	0.0306804	0.0967646	0.0375385	0.00631435	0.57885
d	0.147575	0.0799805	0.464322	0.255543	0.00611778	0.0464613
í	0.0199663	0.0411907	0.145258	0.163639	0.00608902	0.623857
l	0.0495032	0.0100599	0.1776	0.223126	0.0228749	0.516836
a	0.0203208	0.00484368	0.169563	0.280929	0.119528	0.404816
t	0.0275962	0.0129671	0.0464168	0.158744	0.526394	0.227882
á	0.0105705	0.0128666	0.0834787	0.163935	0.429329	0.29982
l	0.0259906	0.00395606	0.090559	0.109275	0.488463	0.281757
e	0.0214249	0.000706561	0.358463	0.361552	0.0833546	0.174499
y	0.0219779	0.00173355	0.277407	0.344689	0.230564	0.123628
á	0.0433997	0.00174393	0.181457	0.351473	0.274851	0.147075
m	0.0330583	0.003362	0.0357325	0.239803	0.63438	0.0536647
y	0.00392291	0.00609423	0.0138155	0.0748338	0.585698	0.315635
é	0.000946561	0.00277225	0.00269257	0.0278308	0.865702	0.100056
r	0.0182189	0.00253724	0.0381843	0.540111	0.281277	0.119672
é	0.0033274	0.016537	0.0329517	0.215784	0.404615	0.326785
í	0.00358694	0.000832477	0.154125	0.128054	0.0431981	0.670204
b	0.0131064	0.00123535	0.133649	0.129135	0.0178324	0.705042
a	0.0099302	0.00131804	0.296801	0.319594	0.0158697	0.356488
á	0.00253643	0.000209387	0.0389994	0.0657284	0.0172503	0.875276
</S>	0.00780457	0.00124779	0.0766763	0.0588764	0.0140426	0.841352
