 	le	chasseur	a	tué	une	antilope	dans	la	plaine	</S>
o	0.977983	0.0139034	0.00477209	0.00139601	0.000646353	0.000294467	0.000397556	0.000468953	4.93694e-05	8.9221e-05
b	0.0562047	0.93474	0.00334096	0.00306641	0.000277973	0.000410636	0.000249921	0.000349683	0.000895844	0.000463449
e	0.35564	0.639924	0.000552492	0.00193563	7.54054e-05	0.00110309	6.41372e-05	0.0001682	0.000517924	1.85389e-05
n	0.129869	0.858998	0.000845249	0.00229572	0.000992831	0.0028638	0.000699095	0.000454454	0.000631359	0.00235055
g	0.666968	0.110172	0.122091	0.00461566	0.0227491	0.00975336	0.0120508	0.00553805	0.00396171	0.0421013
i	0.614934	0.225719	0.0945737	0.0226001	0.0138676	0.0090828	0.00552488	0.00333977	0.000522135	0.009836
á	0.0186667	0.00130486	0.938266	0.0115727	0.00691672	0.00417241	0.00486813	0.00251299	0.000380334	0.011339
b	0.000541092	0.00161744	0.141336	0.617221	0.094699	0.0960189	0.0150026	0.0122492	0.00569534	0.0156193
o	7.63399e-05	0.000724643	0.0317939	0.878837	0.0420572	0.0277441	0.00727658	0.00545625	0.00117114	0.00486226
m	0.0014394	0.00033232	0.0506472	0.771027	0.0899896	0.0486162	0.0141778	0.0109815	0.0050932	0.00769588
i	0.00145303	0.000337741	0.0581077	0.286439	0.293222	0.231749	0.0686163	0.0336072	0.0120293	0.0144389
m	0.0151045	0.000493585	0.177481	0.0479849	0.372482	0.17166	0.132056	0.0424793	0.00694674	0.0333123
b	0.00309415	0.000388883	0.00283096	0.00571248	0.116765	0.747251	0.0580851	0.034555	0.00382127	0.0274963
v	0.000389901	0.000332915	0.000198611	0.00212641	0.0395555	0.937327	0.00764408	0.00644072	0.00410359	0.00188157
u	0.000339037	0.00572048	0.000173896	0.0108142	0.0178579	0.934336	0.00822097	0.00370686	0.00621161	0.0126191
l	0.000298046	6.7386e-05	0.00421241	0.025528	0.0684167	0.857239	0.017386	0.0110735	0.0072732	0.00850602
u	0.000927835	4.87757e-05	0.00272263	0.00106417	0.130705	0.663818	0.0715771	0.0217752	0.0315148	0.0758458
s	0.00014564	5.88698e-06	0.00651861	0.00067802	0.147998	0.114712	0.507346	0.162736	0.0336875	0.0261718
ó	0.000226633	9.32263e-06	0.000434957	0.000232431	0.0513355	0.152032	0.294995	0.219539	0.199931	0.0812632
l	0.000293549	5.68892e-06	0.000681213	0.000262934	0.00923557	0.0316925	0.0745788	0.101604	0.767	0.0146449
ω	8.14258e-05	1.42459e-05	0.000338693	0.000141715	0.00495526	0.0114961	0.0725383	0.0842932	0.799035	0.0271066
n	5.99506e-05	3.04295e-05	0.000209687	0.000283332	0.00806202	0.0269213	0.0165774	0.0223211	0.911173	0.0143617
g	2.00735e-05	1.78676e-05	8.17943e-05	5.85159e-05	0.00470169	0.00857182	0.0499875	0.0959075	0.730226	0.110427
ώ	6.53826e-05	3.654e-05	0.000119424	5.62676e-05	0.00280557	0.00724126	0.022833	0.0378304	0.799418	0.129594
</S>	2.43811e-05	3.41196e-06	9.43096e-05	2.54445e-05	0.00949912	0.0137926	0.110763	0.128803	0.327607	0.409388
