 	un	animal	pa	tauge	dans	la	boue	</S>
n	0.747266	0.246828	0.00381621	6.97696e-05	0.000585347	0.00117113	0.000223757	3.95519e-05
y	0.0618702	0.935806	0.00209208	2.0965e-06	6.14059e-05	0.000103412	6.11143e-05	3.99415e-06
a	0.0266149	0.955701	0.0144704	0.000255696	0.000469757	0.000355418	0.00203758	9.56566e-05
m	0.199475	0.727045	0.0344467	0.00859802	0.000917473	0.00109257	0.0154384	0.0129873
a	0.465475	0.442563	0.0558718	0.00291433	0.00543926	0.00295137	0.0145999	0.0101852
l	0.322449	0.169792	0.414732	0.049656	0.0162775	0.00546602	0.00113798	0.0204902
á	0.0370232	0.0720284	0.524338	0.0956372	0.11569	0.00907449	0.0059732	0.140236
a	0.383929	0.0792971	0.236419	0.238287	0.0207188	0.00384747	0.00403484	0.0334665
d	0.00253528	0.0102457	0.513131	0.449934	0.0147327	0.000566258	0.00176038	0.00709434
z	0.00117625	0.00334856	0.084577	0.86638	0.031691	0.0010259	0.00451809	0.00728313
a	0.00994491	0.00271318	0.48426	0.423904	0.0495565	0.00295487	0.0215527	0.00511378
b	0.0024295	0.00117167	0.0122086	0.816799	0.136001	0.00758817	0.00363264	0.02017
h	0.00875471	0.0019817	0.00871994	0.358237	0.560824	0.0212581	0.000850714	0.0393743
á	0.00244273	0.000615509	0.000648136	0.355869	0.414273	0.0556641	0.00817088	0.162317
á	0.0108655	0.00310826	0.001079	0.0492722	0.481944	0.432028	0.00844654	0.013256
s	0.00349447	0.00204138	0.0053814	0.0369557	0.459009	0.464959	0.016078	0.0120808
ó	0.00677447	0.00330843	0.00262337	0.0447124	0.285999	0.509651	0.0309891	0.115942
m	0.00306834	0.00091158	0.00106258	0.00450128	0.0969042	0.321788	0.547512	0.0242519
b	0.000265592	0.000134809	0.000263843	0.00627988	0.0244356	0.142559	0.772202	0.0538589
i	3.4148e-06	7.64867e-06	8.96281e-07	0.000195732	0.000406063	0.00123814	0.997095	0.00105354
n	7.78392e-05	0.000126002	8.55398e-05	0.0181621	0.0275299	0.0202665	0.82535	0.108402
g	0.00265223	0.00165878	0.00215599	0.00626743	0.0606946	0.179345	0.357348	0.389877
a	0.00194763	0.0019445	0.000304737	0.00356814	0.0244919	0.0665228	0.512947	0.388273
</S>	0.00281624	0.000736787	0.000779517	0.00349278	0.0409351	0.0801994	0.0513476	0.819692
