 	j'	ai	un	abcès	</S>
n	0.733223	0.202121	0.0323311	0.0205672	0.0117577
g	0.99624	0.00305049	0.00039586	0.000197944	0.000115682
á	0.946108	0.0493013	0.00399856	0.000381076	0.000211597
i	0.245872	0.235866	0.39711	0.0228392	0.0983124
d	0.0179012	0.459002	0.219945	0.0526079	0.250544
í	0.0190653	0.799802	0.084428	0.00502382	0.0916809
l	0.0271865	0.141002	0.445124	0.040082	0.346606
a	0.0119846	0.216266	0.201056	0.0369401	0.533753
i	0.0224477	0.282982	0.222335	0.213158	0.259078
p	0.00021433	0.0198264	0.0937602	0.651083	0.235116
i	0.000213671	0.0130045	0.0790904	0.635133	0.272558
a	0.000622543	0.0127139	0.24051	0.440505	0.305648
</S>	0.0012253	0.00919651	0.180765	0.24009	0.568724
