 	le	ruisseau	lebee	a	beaucoup	de	ramifications	</S>
o	0.580256	0.355832	0.0475607	0.00794473	0.00334793	0.00371484	0.000933903	0.000409835
k	0.087551	0.86404	0.00838015	0.0058398	0.00835272	0.0077508	0.0148479	0.00323779
y	0.0385577	0.816993	0.0276612	0.00913241	0.0278529	0.0128705	0.0592796	0.00765225
ε	0.0520003	0.798203	0.0772488	0.00654318	0.0207355	0.012488	0.0289877	0.00379376
s	0.104329	0.812862	0.00835024	0.00349498	0.00754542	0.0174529	0.0182785	0.0276871
í	0.0650959	0.103509	0.00944077	0.0114777	0.0451372	0.0751433	0.233099	0.457097
m	0.243403	0.101774	0.255415	0.219296	0.0521401	0.0261177	0.00216147	0.0996931
á	0.572051	0.0405685	0.148052	0.177672	0.0234955	0.0140123	0.000336751	0.0238125
l	0.600581	0.150326	0.11981	0.0817844	0.0174423	0.00709784	0.00314138	0.019818
e	0.229532	0.0785986	0.0380121	0.24629	0.0950007	0.0260856	0.00159071	0.28489
b	0.178778	0.0863134	0.162605	0.36601	0.0930219	0.0238813	0.00654119	0.0828484
h	0.16146	0.0451818	0.526159	0.191642	0.0494193	0.014205	0.00641999	0.0055127
ε	0.0241392	0.0168721	0.898777	0.0332991	0.0067236	0.0036622	0.00295146	0.0135756
ε	0.0656141	0.0584319	0.371425	0.334592	0.100405	0.0275535	0.00685122	0.0351279
ó	0.0247116	0.0149099	0.0465856	0.36101	0.325768	0.141589	0.0180153	0.0674104
d	0.0425882	0.0184242	0.00557465	0.206012	0.491104	0.208926	0.0122362	0.0151348
í	0.00485866	0.00162353	0.000305844	0.0367109	0.496263	0.222218	0.00747324	0.230546
b	0.00699646	0.00257661	0.0015303	0.0456733	0.224933	0.364923	0.192664	0.160703
a	0.00899425	0.00825865	0.0693394	0.0596772	0.218184	0.120728	0.484648	0.0301708
m	0.0132854	0.00507178	0.0485536	0.0743803	0.121892	0.125163	0.434112	0.177542
á	0.00464931	0.00186384	0.00554132	0.0261831	0.299947	0.3502	0.0780799	0.233535
k	0.0190722	0.00589005	0.00846919	0.0380373	0.108357	0.260763	0.265469	0.293942
y	0.000407871	0.0025108	0.000795502	0.00112615	0.00935663	0.0147606	0.957698	0.0133439
έ	0.000521422	0.00159531	0.000617949	0.000918495	0.00685995	0.00772595	0.954765	0.0269955
k	0.000961328	0.00472762	0.00517671	0.0077466	0.0626583	0.102663	0.697824	0.118243
y	0.00688981	0.0090813	0.00724619	0.0124308	0.0670522	0.135845	0.605715	0.15574
ε	0.00344693	0.00401987	0.00586823	0.0181174	0.0853189	0.0769814	0.573505	0.232742
l	0.00176673	0.00491803	0.0036456	0.0059513	0.0357489	0.0961965	0.483464	0.368309
í	0.00362438	0.00674227	0.00631542	0.0169536	0.104749	0.264562	0.321173	0.27588
</S>	0.00471723	0.00390751	0.00244236	0.0105361	0.0502666	0.124362	0.0515896	0.752179
