 	les	enfants	ont	préparé	un	fétiche	pour	venger	leur	defunte	mère	</S>
b	0.329294	0.658986	0.0092474	4.6053e-05	0.000396887	0.000527007	0.000314358	0.000121253	0.000439698	0.000615705	7.95555e-06	3.37576e-06
á	0.0648613	0.906037	0.0249668	0.000133796	0.000742014	0.00140906	0.000418088	3.39659e-05	0.000363189	0.000973782	9.10659e-06	5.2271e-05
n	0.0409763	0.950978	0.00342627	0.000333736	0.000225529	0.000219619	0.000191263	8.62236e-05	0.000820135	0.00225013	1.21577e-05	0.000480819
a	0.262547	0.681545	0.0162187	0.00163671	0.00442858	0.00337531	0.00275734	0.000599979	0.0101621	0.00514045	0.000109155	0.0114797
á	0.313046	0.105744	0.47401	0.0546869	0.0118489	0.0100804	0.00767481	0.00428035	0.00700438	0.00240533	0.000850151	0.0083678
k	0.00972646	0.0026319	0.300094	0.610765	0.0409593	0.0148545	0.00528942	0.00286351	0.00374997	0.00252735	0.00095313	0.00558623
o	0.00266827	0.00165419	0.0338784	0.856745	0.0614076	0.0210802	0.00653167	0.00481891	0.00312481	0.00175692	8.75308e-05	0.00624618
b	0.0140442	0.00176177	0.0558006	0.768172	0.0934969	0.0445689	0.00764352	0.00128989	0.00281908	0.000268178	7.33905e-05	0.0100617
h	0.0252064	0.00194067	0.0522864	0.650832	0.119038	0.0728442	0.0378357	0.0181179	0.0115175	0.00588521	0.000203346	0.00429216
í	0.0469873	0.0126893	0.0665593	0.399711	0.118011	0.131091	0.0485142	0.045463	0.0159329	0.0201167	0.000637769	0.0942864
i	0.0133706	0.00647968	0.0606183	0.0480615	0.16287	0.207265	0.232068	0.19755	0.0340409	0.0072966	0.000494578	0.0298848
b	0.00165571	0.000635596	0.0058667	0.0437184	0.150904	0.270131	0.302467	0.177963	0.0325957	0.00187302	0.00128649	0.0109033
v	0.00352354	0.000743232	0.00180779	0.017121	0.125712	0.594233	0.193941	0.0399295	0.0117249	0.00210643	0.000370247	0.00878724
é	0.00152429	0.000110046	0.000340228	0.0204435	0.191632	0.367308	0.306916	0.0547327	0.0391165	0.00820827	0.00012725	0.00954159
é	0.000637607	3.25156e-05	0.000947423	0.0251636	0.121818	0.270348	0.307516	0.222499	0.0188294	0.00192968	5.37578e-05	0.0302252
m	0.000830946	3.29493e-05	0.0017598	0.00478001	0.0432709	0.152922	0.449364	0.239897	0.0886867	0.00611761	0.0015479	0.010791
í	0.00193248	6.21135e-05	0.000676132	0.00229297	0.0265692	0.0757882	0.419783	0.0903627	0.0342451	0.0168653	0.0231818	0.30824
y	0.00954635	0.000164653	0.00317818	0.00534273	0.0320477	0.11015	0.28919	0.252621	0.186839	0.0175224	0.0403846	0.0530127
á	0.000545848	1.31927e-05	0.000185456	0.0133555	0.015266	0.0275835	0.136785	0.67988	0.0777576	0.0171786	0.0187228	0.0127267
m	0.00273944	1.02012e-05	0.000352579	0.00349437	0.00600768	0.0230928	0.127421	0.426201	0.151957	0.0489378	0.0316147	0.178172
a	0.000665338	2.0032e-05	0.000301662	0.00237433	0.0229106	0.0535782	0.477227	0.123808	0.0332029	0.023329	0.016041	0.246542
a	0.0014281	1.22274e-05	0.00111745	0.00282798	0.00841307	0.022586	0.0803143	0.0847221	0.385639	0.133494	0.0306226	0.248823
l	0.000790468	9.42419e-06	0.00325028	0.0120024	0.0155615	0.0229003	0.0329753	0.0357188	0.436023	0.145305	0.0296765	0.265787
á	0.00094306	1.27401e-05	0.00188435	0.0259037	0.00925246	0.0143522	0.0223591	0.0797436	0.371608	0.161337	0.0214821	0.291122
n	0.000580039	8.20256e-05	0.000978319	0.000740393	0.00224992	0.00435242	0.00914383	0.00855059	0.311001	0.54165	0.0393045	0.0813669
g	0.00046914	7.96881e-05	7.33187e-05	0.000743445	0.00117345	0.00352139	0.0056733	0.0167542	0.394992	0.18489	0.373257	0.018373
ó	0.000196532	0.000203494	0.00011854	0.000125433	0.000454617	0.00131954	0.00153208	0.00282008	0.114201	0.0472896	0.79657	0.0351697
o	0.000285132	0.000198294	0.000372327	0.000538343	0.00245506	0.0103167	0.00771168	0.00534955	0.0827149	0.0364314	0.679089	0.174537
y	0.00351205	5.27147e-05	0.00153278	0.00115437	0.00595765	0.00990904	0.012923	0.0054763	0.167694	0.341633	0.129701	0.320454
a	0.0045451	0.000111966	0.0035335	0.00741368	0.0116656	0.0108187	0.0201098	0.0211747	0.141818	0.554093	0.1424	0.0823164
b	0.00125272	0.000110603	0.000785161	0.000610462	0.00131706	0.00164883	0.00213221	0.00211612	0.0939699	0.756879	0.0843319	0.0548457
á	0.00351157	0.00267781	0.00270339	0.000395788	0.00311847	0.00733718	0.00875094	0.00984076	0.227191	0.704823	0.00617425	0.0234752
a	0.00594816	0.00492532	0.00277276	0.000200267	0.00241458	0.0120986	0.00583005	0.00141841	0.0451902	0.814089	0.0247034	0.0804093
</S>	0.000590012	4.68687e-05	0.00317833	0.00194654	0.00309866	0.00425471	0.00961841	0.00299089	0.0798494	0.078898	0.12027	0.695258
