 	un	serpent	est	entré	dans	l'	étang	et	tous	les	pêcheurs	à	l'	écope	ont	pris	fuite	</S>
e	0.553768	0.353998	0.0327839	0.00157798	0.00879406	0.00630543	0.0117995	0.00837828	0.00475131	0.0103876	0.000208677	0.00462744	0.00159395	6.67811e-05	0.000771512	0.000134435	3.60116e-05	1.68861e-05
t	0.0572339	0.826133	0.0210967	0.0762467	0.00209242	0.000608597	0.00083124	0.000333638	0.000906132	0.000815177	0.00833488	0.000313433	0.00023688	0.000171614	0.00108309	0.00288226	0.000118999	0.000561863
ó	0.01957	0.770245	0.00968159	0.0698059	0.00475291	0.00465104	0.0519494	0.00464691	0.0096525	0.00467289	0.0350334	0.00104733	0.00137475	0.00717336	0.000787504	0.00353491	0.000378519	0.0010423
n	0.0215477	0.754044	0.0211816	0.114708	0.00146242	0.00121269	0.0139158	0.00322493	0.00421232	0.00226073	0.0346907	0.00177386	0.00190045	0.0129314	0.00135032	0.00271508	0.000221381	0.00664699
g	0.352541	0.46749	0.0636514	0.0438489	0.00219475	0.00307891	0.00669186	0.00342175	0.00611477	0.0038398	0.00544363	0.00454174	0.00469345	0.00307365	0.00571262	0.00166619	0.000774726	0.0212211
o	0.326959	0.561717	0.0495536	0.00840957	0.00255033	0.00426914	0.0152082	0.00528415	0.00258549	0.00370764	0.00057522	0.00417954	0.00463923	0.000806971	0.00092025	0.000368872	0.00192269	0.00634289
é	0.0702299	0.0175303	0.860995	0.0239022	0.0110658	0.00141159	0.00130893	0.00292944	0.00189332	0.0021351	0.000261707	0.00167138	0.000885228	0.000309422	0.00207234	0.000215692	0.000108954	0.00107352
k	0.0163724	0.00269072	0.177764	0.741149	0.0302418	0.00415298	0.00308758	0.00136173	0.00330674	0.00230955	0.00455203	0.000476468	0.000692349	0.00154796	0.00345267	0.00435478	0.000529268	0.00195786
ó	0.0062	0.0071066	0.0400954	0.719274	0.0258822	0.016532	0.0392818	0.0109263	0.01989	0.0154612	0.0557737	0.00235655	0.0038317	0.0225866	0.00293908	0.00907061	0.000775694	0.00201642
í	0.00608497	0.00444271	0.0378963	0.780214	0.0235497	0.0125427	0.0258596	0.00824011	0.0115897	0.0113471	0.0496591	0.00182855	0.00254779	0.0109808	0.00213082	0.00799236	0.00061299	0.00248088
n	0.0145782	0.000888938	0.0404052	0.020199	0.248653	0.141899	0.0479698	0.13969	0.0975983	0.115109	0.0249225	0.0374971	0.0254996	0.0165205	0.0127355	0.0085385	0.002656	0.00464033
d	0.00769767	0.00132746	0.00498608	0.00295632	0.168602	0.412018	0.097149	0.0850847	0.0620694	0.073022	0.0057161	0.024428	0.0224313	0.00728584	0.00299671	0.000684949	0.013216	0.00832742
z	0.00168121	0.00120069	0.00291218	0.0022632	0.0599779	0.481072	0.248872	0.0489789	0.0276256	0.0346671	0.00431146	0.0108441	0.0207162	0.00566337	0.000977671	0.000877174	0.0341986	0.0131607
ώ	0.000949217	0.00134341	0.00185104	0.00128843	0.080297	0.405615	0.280576	0.0521557	0.0261699	0.0479391	0.0041424	0.0255683	0.038732	0.00526602	0.000608916	0.00175872	0.00705593	0.0186834
a	0.000901483	0.00066388	0.00315987	0.00214726	0.0572547	0.252195	0.151115	0.15369	0.0820247	0.146591	0.0100541	0.0461213	0.0563316	0.00982029	0.00374035	0.00419222	0.00570555	0.0142905
t	0.0016898	0.000152832	0.00168209	0.000251138	0.0508002	0.138309	0.0220163	0.143403	0.166987	0.281726	0.00537787	0.0937051	0.0655909	0.006186	0.0130776	0.00292993	0.0024011	0.00371425
ó	0.00150328	0.00172207	0.000448396	0.0010245	0.00510437	0.0692265	0.297613	0.106442	0.126748	0.0618405	0.0494396	0.0310911	0.0464117	0.159139	0.00911796	0.0147342	0.0028743	0.0155189
i	0.000484472	0.000215485	0.00107666	0.000948341	0.0107033	0.0303937	0.0838042	0.167811	0.139702	0.0860086	0.0685659	0.0429898	0.0633373	0.241119	0.019001	0.0209143	0.00935343	0.0135723
á	0.000577289	0.000351367	0.00183439	0.00113635	0.00426746	0.0163659	0.0138203	0.111876	0.216904	0.167414	0.0605863	0.0756456	0.0775113	0.0878891	0.0789022	0.0600032	0.00540455	0.0195112
l	0.00239472	0.000678739	0.00799388	0.0174154	0.00830732	0.00283499	0.00253154	0.00805299	0.0397946	0.0321771	0.200248	0.0159704	0.0222775	0.0816869	0.089629	0.419847	0.0375276	0.0106326
a	0.00093112	0.000177465	0.00452721	0.0156886	0.0244435	0.00596431	0.00246395	0.0115213	0.0733403	0.0518113	0.174101	0.0160615	0.0236103	0.104933	0.0856062	0.201787	0.126873	0.0761591
a	8.92916e-05	8.52509e-05	0.00103439	0.00267425	0.0115563	0.00734949	0.00430616	0.0128751	0.0438323	0.0675735	0.157768	0.0348487	0.0347788	0.086172	0.046772	0.40324	0.0358146	0.04923
n	0.000380211	3.18939e-05	0.000956962	0.000455157	0.00438501	0.00524545	0.00108244	0.0185006	0.0396634	0.0501833	0.00655755	0.170415	0.120595	0.0169716	0.2755	0.0959897	0.121408	0.0716784
í	0.00317383	0.0013911	0.000395621	0.000111749	0.00321926	0.0223182	0.0135475	0.0133045	0.0147895	0.0198507	0.00172174	0.0519764	0.066876	0.0092878	0.00830019	0.0117703	0.688317	0.0696491
</S>	0.000505417	0.00014468	0.000547515	0.000220286	0.00198578	0.00667028	0.00963859	0.031917	0.0304341	0.0510505	0.00427457	0.133905	0.152077	0.0520389	0.093617	0.086398	0.225201	0.119374
