 	si	un	pneu	reçoit	trop	d'	air	il	explose	</S>
e	0.856977	0.129193	0.00810732	0.00225474	0.000919274	0.00218516	9.54335e-05	0.000124568	0.00013686	5.80837e-06
k	0.297184	0.226923	0.455526	0.00504929	0.00439966	0.00289825	0.00283915	0.00159002	0.00316267	0.000427872
o	0.204002	0.0981858	0.600657	0.0470045	0.00971869	0.00909649	0.0101338	0.00379393	0.014582	0.00282595
o	0.0520146	0.320495	0.537458	0.0342883	0.00785517	0.00986236	0.0141303	0.0048934	0.0142324	0.0047711
y	0.0827138	0.821056	0.0464531	0.00603949	0.00678231	0.00744053	0.00118311	0.00828245	0.00061445	0.0194347
ó	0.10016	0.664298	0.0550343	0.0590211	0.0311251	0.0243775	0.00827872	0.0205662	0.00408089	0.0330591
t	0.0694227	0.523328	0.0304106	0.233902	0.023109	0.0245584	0.00274592	0.0212296	0.00838286	0.062911
ω	0.0435513	0.0660762	0.236552	0.498791	0.0568836	0.0156885	0.0349739	0.0118893	0.0103479	0.0252463
m	0.00758012	0.0249562	0.253766	0.548904	0.0637795	0.0297908	0.0138519	0.0237703	0.00875796	0.0248433
b	0.0120009	0.0267063	0.189364	0.431273	0.144351	0.0907372	0.0144532	0.0273597	0.0041945	0.0595605
í	0.0901994	0.0715623	0.0608711	0.33876	0.0464354	0.0388559	0.00465223	0.0191212	0.0134739	0.316068
l	0.0279297	0.131147	0.11894	0.386218	0.209247	0.0444089	0.00833117	0.020651	0.00149724	0.0516291
i	0.020759	0.112046	0.0880281	0.201989	0.19488	0.0693169	0.0285756	0.0690244	0.0140691	0.201312
w	0.0121184	0.0917169	0.0249341	0.145036	0.454054	0.1329	0.0136482	0.0347577	0.0073668	0.0834674
á	0.0189374	0.0538151	0.0259679	0.254244	0.279698	0.158557	0.0450898	0.0957163	0.00921525	0.0587588
á	0.00307437	0.01672	0.011659	0.0944686	0.591488	0.155587	0.030799	0.0471324	0.00533961	0.0437312
é	0.0116421	0.0972148	0.0184089	0.0165885	0.35353	0.307419	0.0992084	0.0474489	0.0119999	0.0365398
p	0.00453845	0.0855861	0.0137804	0.0100007	0.275895	0.180933	0.332269	0.0613713	0.0097131	0.0259132
é	0.000825425	0.00347557	0.0209364	0.0180325	0.197945	0.0623242	0.667443	0.0215905	0.00502721	0.00239942
n	0.000279529	0.00416334	0.0153033	0.00816213	0.272934	0.187857	0.441494	0.0364216	0.00847111	0.0249136
d	0.00231699	0.003945	0.00664247	0.0346625	0.417461	0.271314	0.173212	0.03699	0.0105336	0.0429227
i	0.00167465	0.00604735	0.00621249	0.0467133	0.331185	0.213135	0.150471	0.0542532	0.0252679	0.165041
o	0.00059411	0.00212125	0.00049094	0.00767049	0.255941	0.536352	0.0461505	0.11406	0.00907886	0.0275411
k	0.00127395	0.00949094	0.0110348	0.00374977	0.0458889	0.0849069	0.594644	0.145783	0.0836646	0.019563
o	5.85446e-05	0.000297039	0.0117044	0.00230689	0.0123397	0.0195286	0.896191	0.0122476	0.0323665	0.0129597
á	0.000101465	0.00218083	0.00585097	0.00962615	0.0301734	0.0271468	0.873828	0.0284656	0.0165378	0.00608886
o	0.000923545	0.00712363	0.000825636	0.00153243	0.0242684	0.125113	0.0452808	0.598143	0.0637953	0.132995
f	0.000248105	0.00553111	0.00793511	0.00151928	0.00891022	0.0229818	0.0926718	0.151689	0.617416	0.0910974
ú	0.000230203	0.000968462	0.00967299	0.00412866	0.0159673	0.0303544	0.362228	0.0811575	0.404568	0.0907249
l	0.00012161	0.00076206	0.000561033	0.000516455	0.00653851	0.0363651	0.207395	0.109508	0.402535	0.235698
u	0.000225682	0.0021945	0.000648386	0.000735984	0.00642426	0.0653716	0.101575	0.143389	0.462528	0.216907
y	0.000374687	0.00454674	0.000421971	0.000322041	0.00974214	0.0471058	0.0105447	0.229944	0.168539	0.52846
é	0.00186808	0.0077404	0.00260394	0.00372712	0.0180203	0.037176	0.0391302	0.225056	0.504949	0.159728
e	0.000138157	0.00279536	0.000156172	0.000380086	0.00684544	0.0195044	0.00542218	0.102347	0.301118	0.561294
b	0.000309617	0.003072	0.00200081	0.000407945	0.0112558	0.014528	0.0124059	0.17253	0.295278	0.488212
ó	0.000216129	0.00108269	0.00349484	0.00147769	0.00841613	0.0220962	0.0442177	0.0822319	0.735474	0.101293
m	6.16901e-05	0.000496648	0.00217284	0.00088529	0.00700169	0.0126512	0.0713202	0.043448	0.727001	0.134962
a	3.28191e-05	0.000158035	0.000110207	0.000271097	0.00105196	0.00600852	0.0065518	0.0760488	0.605785	0.303982
</S>	7.32404e-05	0.00210043	0.00099197	0.000401793	0.00583107	0.0180188	0.00593423	0.10363	0.241612	0.621407
