 	nous	ferons	partir	les	gens	demain	</S>
b	0.698926	0.193751	0.00994194	0.0756534	0.020029	0.00133363	0.000364408
í	0.951381	0.00776617	0.00109847	0.0118726	0.026366	0.00116177	0.000353857
s	0.983696	0.00185343	0.000356378	0.00280359	0.010605	0.000371755	0.000313779
í	0.903902	0.0299564	0.00421947	0.0205891	0.0312415	0.00487117	0.0052204
l	0.15902	0.184669	0.0344192	0.0383512	0.0299167	0.0140104	0.539613
é	0.0214241	0.243202	0.0646861	0.102988	0.0614165	0.0332219	0.473062
e	0.0499886	0.747855	0.16348	0.0137668	0.00335196	0.0112469	0.0103103
d	0.00175413	0.451623	0.524683	0.00554514	0.0004734	0.00127067	0.0146498
z	0.00287671	0.199732	0.783975	0.00484556	0.000213755	0.00154725	0.00680937
w	0.00289252	0.167588	0.822316	0.00437001	0.000329585	0.000614937	0.00188951
e	0.000362591	0.175786	0.563084	0.11848	0.0575919	0.0136039	0.071092
e	0.00610793	0.128815	0.345927	0.322088	0.118766	0.0221026	0.0561937
s	0.00332334	0.0987939	0.395321	0.435862	0.0183793	0.0309132	0.0174073
á	0.00111811	0.107952	0.664572	0.126174	0.0111298	0.0434014	0.0456533
b	0.00106442	0.0236745	0.278284	0.280983	0.0503951	0.0471267	0.318472
a	0.0145559	0.0197899	0.0656418	0.710463	0.130104	0.0349357	0.0245094
r	0.00285798	0.00924895	0.0308349	0.459407	0.159548	0.0466341	0.291469
e	0.00362678	0.0343306	0.0325461	0.327911	0.226988	0.160582	0.214015
i	0.000942863	0.0115345	0.015396	0.48519	0.263555	0.0826484	0.140733
m	0.00292261	0.0360501	0.0381254	0.0701855	0.0707614	0.325941	0.456014
b	0.00255432	0.00534526	0.0340816	0.0272963	0.230338	0.457956	0.242429
y	0.00258408	0.0107212	0.0375784	0.0481536	0.0771	0.766538	0.0573246
ε	0.000351173	0.00481244	0.014601	0.057624	0.0943234	0.40853	0.419758
n	0.00133891	0.0135021	0.0825977	0.0976116	0.0241476	0.244516	0.536286
g	0.00111532	0.0110782	0.0290069	0.15574	0.342	0.199506	0.261554
í	0.000963248	0.00620067	0.0128293	0.253555	0.34566	0.313624	0.0671677
</S>	6.47644e-05	0.00633553	0.00738306	0.0416637	0.290536	0.208663	0.445354
