 	le	ciel	s'	assombrit	il	va	pleuvoir	</S>
i	0.833674	0.100741	0.0374941	0.00401931	0.0125639	0.00939948	0.00159604	0.000512364
k	0.0401606	0.954073	0.00159418	0.000152287	0.000224172	0.000594239	0.00162454	0.00157694
o	0.0353345	0.949367	0.00339175	0.00212014	0.00105988	0.00141771	0.00213597	0.00517359
ó	0.0425504	0.933529	0.00971132	0.0021473	0.00176905	0.00361209	0.00191249	0.00476805
b	0.520946	0.0926792	0.144699	0.00385099	0.0279179	0.00765152	0.00277261	0.199483
ó	0.046949	0.0241579	0.421166	0.0332442	0.173407	0.0358106	0.0204211	0.244844
l	0.144926	0.0256324	0.334286	0.0724624	0.153888	0.0449239	0.0103861	0.213495
í	0.129437	0.0100301	0.107112	0.0170977	0.102631	0.0610116	0.0534748	0.519207
i	0.27324	0.019643	0.236441	0.12394	0.134618	0.0852551	0.0572005	0.0696634
b	0.0387787	0.0857671	0.143778	0.295777	0.0677684	0.0519068	0.0507567	0.265467
h	0.0330483	0.116674	0.0967059	0.48226	0.0397496	0.0387055	0.13964	0.0532164
í	0.0254837	0.1235	0.113519	0.527971	0.021266	0.0166464	0.0437038	0.12791
n	0.0295725	0.00910721	0.304283	0.336759	0.151325	0.0686396	0.0186498	0.0816638
d	0.0506343	0.00865073	0.218744	0.38922	0.14355	0.0414321	0.0328782	0.114891
a	0.00357485	0.000698946	0.115171	0.219684	0.331657	0.12748	0.0277033	0.174031
m	0.00829001	0.00178434	0.127977	0.0210155	0.435198	0.256647	0.030719	0.118368
b	0.0589364	0.00176646	0.113513	0.0992298	0.081509	0.0641978	0.148998	0.431849
v	0.0182796	0.00204352	0.143096	0.58465	0.032028	0.0387519	0.145995	0.0351568
ú	0.00628057	0.00254743	0.0711338	0.633466	0.0735811	0.0481024	0.0983283	0.0665599
á	0.00489679	0.00102471	0.0294051	0.0656861	0.0366457	0.108394	0.366636	0.387312
l	0.00499349	0.00322272	0.0347198	0.00857201	0.12385	0.17833	0.139844	0.506469
á	0.00951654	0.00358337	0.0284154	0.00685692	0.0420941	0.0916731	0.134739	0.683122
a	0.00565912	0.00120073	0.0561004	0.0259207	0.10758	0.235771	0.192042	0.375726
n	0.0157304	0.02366	0.0316355	0.0052256	0.0174546	0.056884	0.371951	0.477459
ώ	0.00317058	0.00098337	0.0241121	0.0403161	0.00916446	0.112767	0.546991	0.262495
ω	0.000394983	0.00139429	0.0124507	0.0264997	0.0306486	0.0833247	0.274105	0.571182
</S>	0.0114449	0.000946923	0.022144	0.00753899	0.0549493	0.105911	0.363715	0.433349
