 	le	pneu	de	mon	vélo	a	éclaté	</S>
e	0.740072	0.124429	0.0282306	0.0214344	0.0750496	0.0103671	0.000188084	0.000228852
k	0.00527337	0.993811	0.000143132	5.55975e-05	0.000340517	0.00011683	0.000152531	0.000107243
o	0.000682039	0.997138	0.000939365	0.00017902	0.000315321	0.000211257	0.000240297	0.000295039
o	0.00319772	0.989827	0.00226849	0.000307629	0.00220424	0.000430713	0.00145135	0.000312994
y	0.482292	0.139443	0.313008	0.0170614	0.00073341	0.0160335	0.00163013	0.0297986
á	0.43489	0.033962	0.22637	0.138606	0.00325032	0.0764799	0.00314658	0.0832954
b	0.661684	0.0115412	0.0611967	0.199997	0.0292177	0.0198166	0.00653473	0.0100119
i	0.464557	0.00342071	0.0662194	0.220204	0.13801	0.051127	0.00634151	0.0501203
k	0.360273	0.0283013	0.26382	0.0535615	0.102362	0.0307999	0.00262457	0.158258
á	0.120877	0.0741499	0.252987	0.137581	0.079794	0.138672	0.00369811	0.19224
á	0.0167688	0.0024239	0.441021	0.153292	0.0305064	0.178064	0.00669157	0.171232
n	0.00675306	0.000478566	0.0593171	0.202461	0.170871	0.291633	0.236928	0.0315588
i	0.00711244	0.000164921	0.0257423	0.401258	0.296763	0.0952758	0.140318	0.0333651
l	0.00317294	0.00020523	0.119589	0.0732519	0.0946612	0.275607	0.32998	0.103533
á	0.025502	0.0016928	0.0363103	0.0450246	0.0227245	0.241188	0.229281	0.398277
n	0.00891942	0.000847539	0.0822473	0.394202	0.0562766	0.238004	0.162278	0.0572244
g	0.0018068	2.13922e-05	0.0129853	0.354909	0.151225	0.0527864	0.409783	0.0164832
á	0.000846538	2.59271e-05	0.00889618	0.110992	0.213389	0.0359436	0.613457	0.0164499
é	0.00302325	0.000487274	0.0300234	0.0634526	0.00805985	0.547667	0.192399	0.154887
l	0.00769678	0.00135389	0.0122434	0.00716485	0.00329233	0.180207	0.714225	0.0738168
ó	0.0010124	0.000178686	0.00562194	0.00628653	0.00419155	0.0622826	0.751458	0.168968
n	0.000269701	0.000145646	0.00491632	0.00840182	0.00375622	0.0206636	0.834735	0.127111
d	0.000725531	0.0018711	0.0100752	0.0102318	0.0309755	0.0639459	0.660118	0.222057
z	0.000246673	0.00226353	0.0105104	0.0167841	0.0250594	0.0554484	0.469115	0.420572
i	0.000507915	0.00617353	0.0304036	0.0617788	0.026114	0.129989	0.264013	0.481021
</S>	0.00184674	0.000664594	0.0193011	0.0815569	0.0235344	0.0854034	0.0952139	0.692479
