 	les	chasseurs	ont	vu	un	boa	en	noeud	</S>
a	0.961923	0.0367391	0.00052301	9.05552e-06	0.000130299	0.000380087	0.000243704	4.60639e-05	6.23975e-06
b	0.0840747	0.912603	0.00111001	0.000171233	0.00031534	0.00125031	0.000176656	0.000261912	3.70435e-05
e	0.111865	0.883442	0.000463193	0.000186419	0.000167246	0.00281704	0.000655329	0.000324633	7.95945e-05
n	0.0069664	0.990582	0.00021244	9.25159e-05	0.000166051	0.000835333	0.000211	9.00411e-05	0.000843753
g	0.736286	0.217335	0.0184211	0.00112577	0.0027597	0.00398561	0.0031348	0.00142588	0.015526
i	0.63943	0.303312	0.0276437	0.00702048	0.00419196	0.00238961	0.00171766	0.00132298	0.012972
á	0.0428819	0.00197513	0.86555	0.0720322	0.0062793	0.000928285	0.00276573	0.000177751	0.00740968
t	0.00109984	0.00194221	0.192034	0.767922	0.0285905	0.00297411	0.00148691	0.00058533	0.00336509
έ	0.000537961	0.000595623	0.120936	0.812839	0.0539074	0.003847	0.00305028	0.00150819	0.00277811
i	0.0129069	0.00162848	0.107738	0.511707	0.256739	0.0558772	0.0270662	0.00509823	0.0212393
m	0.00629735	0.00126753	0.131922	0.158942	0.374101	0.20275	0.0850518	0.00885814	0.0308088
b	0.000832607	0.000438256	0.00386662	0.0053759	0.190036	0.637048	0.117377	0.00874823	0.0362774
ω	0.000435381	0.000315377	0.00239338	0.00415094	0.23909	0.659386	0.0571056	0.00960669	0.0275165
m	3.39175e-05	5.90403e-05	0.0038718	0.0122283	0.237648	0.692513	0.0396237	0.00636204	0.0076603
ω	0.000603917	4.12247e-05	0.00175156	0.00501762	0.0854143	0.784948	0.0840474	0.00710193	0.0310738
m	0.000246058	3.01172e-05	0.000810189	0.00086708	0.171137	0.677509	0.11887	0.00880114	0.0217294
á	0.000486317	7.33922e-05	0.00180131	0.00180659	0.0593046	0.425117	0.199136	0.0175469	0.294728
p	0.00348321	0.000706236	0.000854153	0.000669014	0.108042	0.274011	0.197492	0.389184	0.0255585
ó	0.000994849	0.000349423	0.00383983	0.015711	0.0455125	0.338266	0.0989054	0.40645	0.0899715
n	0.000210335	0.000124091	0.0032226	0.0201123	0.0448036	0.147926	0.209476	0.295612	0.278514
d	0.000755826	0.000355026	0.00397975	0.00671617	0.0644506	0.209824	0.235921	0.202379	0.275619
o	0.000742832	0.000170614	0.00101133	0.000856556	0.0207465	0.110514	0.134497	0.456906	0.274555
m	0.0128383	0.000280919	0.00660188	0.00119898	0.0276775	0.0644719	0.18221	0.344886	0.359835
á	0.00283598	0.000134398	0.00158663	0.000159716	0.033514	0.0909868	0.402167	0.201506	0.26711
p	0.00299873	0.000504023	0.00911176	0.00256738	0.0368871	0.0250752	0.0901845	0.710939	0.121733
ó	0.00103539	0.000720608	0.0205766	0.0178645	0.0393031	0.024434	0.0813464	0.672345	0.142374
n	0.000342318	9.5222e-05	0.000538221	0.00238671	0.00329654	0.0127878	0.015349	0.787946	0.177258
d	0.00248406	0.00215687	0.0100976	0.00879029	0.0358268	0.0880415	0.0747963	0.493384	0.284422
o	0.000305857	0.000115135	0.000482723	0.000339271	0.00230397	0.0192574	0.015273	0.743501	0.218421
</S>	0.00198274	0.000109772	0.0045576	0.00079222	0.0176894	0.0448174	0.115218	0.330709	0.484123
