 	la	tornade	a	fait	tomber	les	bananiers	dans	le	champ	</S>
e	0.447571	0.391593	0.0994279	0.0195877	0.0160659	0.0133499	0.00180319	0.00567542	0.0037637	0.000251482	0.000911217
n	0.109582	0.811761	0.0190776	0.0128862	0.0119491	0.00659128	0.00391828	0.0086926	0.00744003	0.00643356	0.00166865
g	0.034764	0.859756	0.0554175	0.0212711	0.010141	0.00371442	0.000175098	0.000738713	0.000478088	0.0103495	0.00319475
u	0.0246234	0.946944	0.00566484	0.00396713	0.00304206	0.00128879	0.000183225	0.000191589	9.76655e-05	0.0130628	0.000934446
s	0.058487	0.709885	0.0702602	0.0406857	0.0159143	0.0135195	0.00104534	0.000837453	0.00108007	0.0783752	0.00991007
u	0.383307	0.370016	0.0810369	0.035756	0.0133663	0.0226648	0.0104722	0.0104222	0.0040644	0.00179216	0.0671026
é	0.0836753	0.0754259	0.548836	0.0651067	0.0333302	0.123368	0.0281162	0.0165446	0.00998217	0.00108428	0.0145303
w	0.0464922	0.0220484	0.129979	0.291461	0.128763	0.199903	0.103566	0.0388932	0.0293077	0.00233779	0.00724879
ú	0.00744268	0.0211698	0.10108	0.36912	0.141836	0.119856	0.139831	0.0430838	0.0384856	0.00498624	0.0131097
n	0.038604	0.0228878	0.0548565	0.209134	0.193624	0.320506	0.0488609	0.032317	0.0162842	0.00980171	0.053124
d	0.0995761	0.0392793	0.0417949	0.216292	0.178952	0.23366	0.0273175	0.101478	0.0415677	0.00954433	0.0105387
z	0.201921	0.0599414	0.040875	0.113583	0.179565	0.287232	0.0126965	0.0556184	0.034795	0.00881456	0.00495887
u	0.013626	0.0132618	0.0249655	0.12067	0.177357	0.303192	0.243491	0.0451209	0.0240433	0.0182004	0.0160721
a	0.00755747	0.00405023	0.059251	0.0526207	0.090703	0.334743	0.217712	0.133126	0.0634574	0.0161384	0.0206402
k	0.00495039	0.00295757	0.0117826	0.0286783	0.0618874	0.0936802	0.132351	0.413247	0.171682	0.0519837	0.0267996
ω	0.00110086	0.00107199	0.00192275	0.0273246	0.0506162	0.0728533	0.386795	0.227677	0.105552	0.0348274	0.0902589
s	0.00100369	0.00261598	0.0170072	0.0479101	0.121875	0.165023	0.159589	0.159179	0.116556	0.0443153	0.164925
á	0.0014779	0.00280644	0.00691212	0.0283808	0.0459255	0.100527	0.178103	0.150574	0.130324	0.115321	0.239648
n	0.00682441	0.0017298	0.00848616	0.0100452	0.016035	0.0732219	0.0267074	0.232978	0.239145	0.193563	0.191263
g	0.00445178	0.00862118	0.00186427	0.00332249	0.0111405	0.00979473	0.00251118	0.01437	0.0186032	0.907434	0.017887
o	0.000692047	0.016602	0.00347308	0.00168343	0.00429192	0.00826915	0.00340728	0.0120358	0.0083711	0.928726	0.0124478
n	3.44533e-05	0.000337418	8.90355e-05	0.000468932	0.00142223	0.00391826	0.00245559	0.00179352	0.00165552	0.96437	0.023455
d	0.00776541	0.00667409	0.00408361	0.00432586	0.00309468	0.0105505	0.0067031	0.0281985	0.0292601	0.110631	0.788714
a	0.00349436	0.0107716	0.00200821	0.00184576	0.00188256	0.00573562	0.00559053	0.00631752	0.00908018	0.666061	0.287212
</S>	0.00145483	0.003361	0.00658499	0.005436	0.0067584	0.0379743	0.0349771	0.0560846	0.109695	0.126023	0.611651
