 	le	voleur	a	glissé	sa	main	dans	mon	sac	</S>
m	0.822933	0.11848	0.0536005	5.83515e-05	0.00144224	0.000137368	0.000763108	0.00232862	0.000221116	3.54418e-05
ú	0.00809145	0.987522	0.00135333	0.00048955	0.000129167	3.80648e-05	0.000319157	0.000672846	0.000129341	0.00125491
b	0.0170879	0.981175	0.000806349	2.98897e-05	4.29638e-05	2.1905e-05	0.000182314	0.000284397	5.22788e-05	0.000316947
h	0.553405	0.074523	0.075743	0.00666226	0.0856937	0.0385306	0.00736685	0.0193363	0.00254528	0.136195
u	0.741033	0.0927838	0.0786812	0.0440847	0.0112566	0.00235775	0.00236113	0.00727662	0.00907035	0.0110946
ó	0.138663	0.00656595	0.814274	0.00592158	0.0160714	0.00334781	0.00586819	0.00272702	7.12566e-05	0.00648911
l	0.051659	0.00829338	0.411124	0.460001	0.0126834	0.0232863	0.0237059	0.00152778	0.00069226	0.00702723
ω	0.0122487	0.00166548	0.086418	0.685566	0.0205074	0.0239028	0.0874333	0.00763917	0.00188244	0.0727368
n	0.0585118	0.00654286	0.0449079	0.746534	0.0398337	0.0268907	0.0313671	0.0114273	0.00351354	0.0304711
g	0.0328036	0.00253745	0.104198	0.657455	0.0678204	0.0761822	0.0241563	0.010715	0.0102495	0.0138823
i	0.111753	0.00120193	0.179235	0.210161	0.330368	0.0229702	0.0230638	0.0612031	0.0152379	0.0448056
e	0.00973839	0.000213354	0.0715662	0.00415262	0.802691	0.0464389	0.0179645	0.0247153	0.00960208	0.0129182
b	0.0192502	0.00177468	0.0228461	0.0292511	0.294296	0.363848	0.178379	0.0262727	0.0350345	0.0290474
ώ	0.00343068	8.32068e-05	0.000960161	0.00149358	0.00809486	0.971901	0.00853116	0.000494653	0.00264975	0.00236128
ω	0.0008169	2.84199e-05	0.00367008	0.0166681	0.147768	0.690597	0.0648039	0.0165834	0.0123823	0.0466811
s	0.00382383	0.000129352	0.011124	0.00242127	0.261003	0.122232	0.478458	0.0563752	0.00628095	0.0581531
á	0.0100923	0.000265882	0.00120358	0.00785198	0.0479948	0.077351	0.400227	0.0616154	0.018977	0.374421
p	0.0183595	0.00051447	0.0052904	0.00116624	0.0583462	0.00265182	0.0608967	0.146201	0.687015	0.019559
ε	0.000475524	5.64477e-05	0.000319965	0.000563105	0.00163555	0.0100031	0.00834651	0.00214877	0.973286	0.00316507
n	0.00726178	0.000559322	0.00102232	0.000447894	0.014714	0.0327495	0.0302159	0.0266116	0.868757	0.0176607
g	0.00175639	0.000389915	0.000854182	0.00234165	0.0544466	0.0366301	0.105839	0.142608	0.53036	0.124775
ε	0.000573112	1.7693e-05	7.96684e-05	0.000538704	0.01046	0.00262379	0.0021444	0.0400247	0.933656	0.0098817
y	0.000866351	0.00041116	0.000673593	0.000192189	0.00659208	0.00109424	0.161503	0.27611	0.0947087	0.457849
á	0.0214262	0.00119076	0.0135909	0.00325244	0.0800765	0.00523889	0.159194	0.253596	0.231334	0.231101
n	0.0269543	0.000823646	0.0295006	0.00130773	0.0666939	0.00160763	0.0556742	0.502803	0.282738	0.031897
g	0.00586558	0.000104223	0.000213962	0.00238767	0.0162932	0.000316544	0.0143946	0.860575	0.0613995	0.0384495
á	0.00227757	0.000541034	0.000665085	0.0024152	0.0134039	0.000504478	0.0173469	0.434989	0.251291	0.276565
</S>	0.0030903	0.000388554	0.00206933	0.000522807	0.0148026	0.00275643	0.0739224	0.610503	0.113992	0.177952
