 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a	0.925087	0.0615985	0.00774489	9.83338e-05	0.00210211	0.00287131	0.000348533	0.000149769
l	0.0240422	0.959997	0.0128417	0.000635245	0.000773375	0.00048039	0.000888711	0.000341223
ώ	0.00204555	0.986343	0.00193155	0.00177558	0.00105807	0.000395105	0.00037043	0.00608071
b	0.0281089	0.606691	0.0929715	0.0323778	0.0402072	0.0273735	0.0524571	0.119813
h	0.182013	0.269024	0.262537	0.0106415	0.0510003	0.0359719	0.0125532	0.176259
i	0.259233	0.638326	0.0347151	0.00176065	0.00868121	0.00572527	0.000932106	0.0506275
á	0.148742	0.0326575	0.753983	0.0181914	0.0162336	0.0113342	0.0023687	0.0164892
y	0.0145553	0.00597387	0.435859	0.432769	0.0380271	0.0277964	0.0169714	0.0280476
ε	0.0122018	0.00712456	0.0922591	0.767881	0.0327095	0.0128969	0.0337589	0.0411687
ε	0.0215588	0.01098	0.0988733	0.577338	0.0658273	0.0397148	0.0261559	0.159552
l	0.0195565	0.00106192	0.164002	0.29683	0.239519	0.144928	0.0519974	0.0821061
a	0.0157862	0.00191541	0.0729522	0.430819	0.221497	0.148919	0.0413118	0.0668
a	0.0125253	0.000660458	0.0719086	0.191124	0.27461	0.196728	0.0810525	0.171391
s	0.00472429	0.00422271	0.056178	0.207703	0.227222	0.195293	0.187651	0.117006
w	0.00289521	0.000640128	0.0056428	0.102863	0.0762778	0.0998995	0.605171	0.106611
é	0.00140529	3.93634e-05	0.00311661	0.0467805	0.0937597	0.169649	0.612901	0.0723485
e	0.00103423	0.000149088	0.0204959	0.0498703	0.166288	0.258036	0.233372	0.270755
b	0.00603199	0.00144189	0.00911102	0.0205185	0.160948	0.331673	0.181528	0.288748
e	0.0119527	0.0125313	0.0061378	0.00729718	0.10803	0.342439	0.320134	0.191479
l	0.00181815	0.00186754	0.00198018	0.00705372	0.0846595	0.188929	0.087383	0.626309
é	0.00473012	0.00377063	0.00446156	0.0198955	0.16959	0.220497	0.1317	0.445355
</S>	0.00193657	0.000738865	0.00772943	0.0151447	0.102813	0.180105	0.14342	0.548113
