 	cette	femme	est	de	petite	taille	</S>
o	0.905945	0.051454	0.0215491	0.00807154	0.00848216	0.00334317	0.00115489
y	0.0173049	0.97762	0.00257252	0.00151713	0.000368128	0.000304443	0.000312469
ú	0.674146	0.323208	0.00063319	0.000737921	0.000228658	0.000497217	0.000549457
r	0.973136	0.0169268	0.000461933	0.00177424	0.0019876	0.000662007	0.005051
u	0.534875	0.00831509	0.0520972	0.084064	0.102935	0.134283	0.0834313
w	0.361127	0.282338	0.180915	0.0521064	0.0350993	0.0198524	0.0685621
ó	0.461926	0.0414025	0.150851	0.132745	0.0911609	0.0213822	0.100532
a	0.0463008	0.00315665	0.59426	0.145713	0.0436529	0.0221748	0.144743
d	0.0260458	0.00388452	0.286687	0.45048	0.0826273	0.0493113	0.100964
í	0.0731973	0.0132421	0.109314	0.337043	0.0529418	0.0166001	0.397662
y	0.228671	0.000533932	0.0805584	0.265918	0.16996	0.0657502	0.188609
ε	0.304629	0.00657142	0.0448704	0.259789	0.15746	0.107861	0.11882
l	0.0975753	0.00147945	0.0277792	0.152719	0.346873	0.260497	0.113077
ε	0.0217448	0.000171553	0.0507687	0.323935	0.354185	0.161397	0.0877978
y	0.0147197	0.000462397	0.0411281	0.123284	0.25594	0.422609	0.141857
ε	0.0404468	0.000969904	0.0386435	0.163209	0.220954	0.45382	0.0819572
l	0.00347601	0.000134195	0.0182175	0.0744694	0.137304	0.327844	0.438554
ε	0.00262894	0.000141316	0.0203806	0.111835	0.20609	0.351206	0.307718
</S>	0.00336737	0.000118319	0.00848409	0.041494	0.122197	0.224753	0.599586
