 	la	maman	habille	son	enfant	</S>
n	0.985143	0.0134252	0.000600879	0.00071166	0.000113337	6.24309e-06
g	0.74531	0.250757	0.000306046	0.00343118	0.000115251	8.11005e-05
ó	0.0223317	0.976286	0.000305476	0.00024721	0.000808165	2.17515e-05
o	0.0447895	0.949044	0.000570699	0.00109606	0.00444147	5.87704e-05
l	0.759271	0.0480058	0.104473	0.0399636	0.0154731	0.0328137
á	0.335138	0.0825823	0.067955	0.0447625	0.0228628	0.4467
a	0.702256	0.0162521	0.167312	0.0766328	0.020825	0.0167219
l	0.0221461	0.0195598	0.856483	0.0135388	0.00923811	0.0790339
á	0.03018	0.00613474	0.85218	0.0155737	0.0136157	0.0823155
á	0.121819	0.000992352	0.360667	0.411108	0.0259517	0.079462
s	0.0182612	0.000740143	0.384503	0.515304	0.0482862	0.0329055
á	0.00827855	0.00012842	0.220354	0.623563	0.0584014	0.0892749
m	0.0336826	0.000458964	0.0499596	0.655312	0.247741	0.0128457
w	0.000265482	3.72376e-06	0.00361174	0.0269757	0.954879	0.0142648
á	0.00124328	1.05193e-05	0.0053424	0.0024215	0.989361	0.00162081
n	0.0632249	7.50732e-05	0.00930695	0.0676203	0.850429	0.00934392
a	0.0123348	0.0014051	0.0313438	0.0542195	0.869798	0.0308987
i	0.0199001	0.00130716	0.0506093	0.74368	0.0589979	0.125505
k	0.00918098	0.000621628	0.169915	0.181019	0.168943	0.47032
á	0.00102725	0.000128648	0.325734	0.269634	0.061854	0.341623
n	0.00351862	0.000126605	0.193802	0.210713	0.0510158	0.540824
d	0.00361452	0.000196312	0.117543	0.329311	0.0342801	0.515055
á	0.00435858	0.00937734	0.0157296	0.270406	0.112526	0.587603
</S>	0.0116332	0.000425902	0.00972477	0.39471	0.0334808	0.550025
