 	son	visage	est	enflé	</S>
e	0.633606	0.338627	0.0212435	0.000275318	0.00624771
l	0.0757479	0.756317	0.0612963	0.0748976	0.0317413
é	0.0555248	0.436632	0.100076	0.100685	0.307082
n	0.0872037	0.339234	0.14312	0.2097	0.220741
g	0.267947	0.550867	0.05935	0.0249933	0.0968419
é	0.10542	0.849235	0.0192308	0.00975683	0.0163581
y	0.27138	0.124888	0.486109	0.0328818	0.0847405
á	0.750855	0.109867	0.103082	0.0167971	0.0193992
w	0.828292	0.099934	0.0361354	0.0319078	0.0037312
a	0.574171	0.0633977	0.322245	0.0183266	0.0218602
é	0.408488	0.105068	0.380692	0.0561073	0.0496444
d	0.0321618	0.0109425	0.693372	0.170682	0.0928411
í	0.00411998	0.000253157	0.204714	0.0873609	0.703552
e	0.0118469	0.00276113	0.25987	0.397339	0.328183
f	0.0172039	0.00850532	0.0422692	0.729589	0.202432
ú	0.00170089	0.000919981	0.0181249	0.783011	0.196243
ú	0.00134851	0.000209119	0.00665253	0.715441	0.276349
s	0.033012	0.00408712	0.0514383	0.333016	0.578446
á	0.0886431	0.0053323	0.117593	0.26824	0.520192
f	0.145947	0.018935	0.0617632	0.596752	0.176603
u	0.0422141	0.0116576	0.0312966	0.614499	0.300333
u	0.000580161	0.000275156	0.00253325	0.65931	0.337301
s	0.0507094	0.00282326	0.0579017	0.287495	0.60107
a	0.0438378	0.00692327	0.061572	0.203361	0.684306
</S>	0.0134295	0.00400082	0.0249728	0.182258	0.775339
