 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
w	0.852498	0.0588881	0.0123695	0.00513153	0.00170457	0.00735797	0.0164423	0.0347268	0.0101289	0.00075197
a	0.801006	0.0380097	0.00709761	0.00989129	0.00101867	0.0174722	0.0162037	0.101816	0.00688379	0.000600981
á	0.160834	0.504985	0.234807	0.04802	0.0102368	0.00397674	0.0095612	0.00531306	0.00823693	0.0140293
p	0.012	0.337831	0.492121	0.136931	0.0121901	0.00333518	0.000520856	0.00132292	0.000948991	0.0027997
f	0.00696804	0.084149	0.566892	0.200972	0.0807119	0.0181833	0.00659643	0.00264278	0.00601314	0.0268722
e	0.00204458	0.0741189	0.531858	0.288082	0.0928139	0.00422666	0.00336939	0.000453211	0.00179338	0.00124028
o	0.0121654	0.0417234	0.0830173	0.323329	0.384064	0.0659947	0.0237733	0.0126324	0.0294881	0.0238128
d	0.00112211	0.0245145	0.0318125	0.195143	0.522144	0.129872	0.0421914	0.0207003	0.0240477	0.00845237
u	4.29144e-05	0.00323798	0.0223908	0.201929	0.53742	0.0253753	0.0180595	0.000629259	0.00910413	0.181812
n	0.000113152	0.00103211	0.00367638	0.0530295	0.729865	0.0749137	0.0878169	0.0015364	0.030564	0.0174529
ú	0.000188402	0.000936497	0.0032259	0.0533014	0.228182	0.488147	0.139385	0.0234917	0.019216	0.043925
i	0.000415404	0.000917115	0.00295501	0.0137971	0.0202438	0.515031	0.170004	0.179189	0.0423309	0.0551169
k	0.000924192	0.00187085	0.00391089	0.0166223	0.0214575	0.0738039	0.278411	0.0246737	0.455573	0.122753
ω	4.64678e-05	0.000140898	0.000356636	0.00228568	0.00209691	0.0122002	0.230644	0.00670581	0.723098	0.0224246
n	2.44603e-05	7.28192e-05	0.000328376	0.00218384	0.00172145	0.0267677	0.113448	0.0154445	0.723162	0.116846
í	0.000157294	0.000446156	0.0034363	0.011513	0.00404482	0.0427425	0.284853	0.017081	0.525737	0.109989
k	0.0018644	0.00301116	0.00187193	0.00503641	0.0133333	0.10751	0.0723917	0.261733	0.115843	0.417404
a	0.0154827	0.00853816	0.0100142	0.0185866	0.00601637	0.0945427	0.159009	0.282158	0.208114	0.197538
á	0.000875339	0.00128215	0.000759003	0.00221966	0.00272725	0.0258075	0.0341551	0.0772177	0.254147	0.600809
</S>	0.0102285	0.0121139	0.00650936	0.0115922	0.0148971	0.0347199	0.0139447	0.17898	0.0173576	0.699657
