 	l'	union	fait	la	force	</S>
i	0.57049	0.231955	0.169259	0.0263172	0.0011298	0.000849024
p	0.0709671	0.882614	0.015394	0.0245091	0.00450857	0.00200719
f	0.00300522	0.979179	0.00447095	0.00240343	0.0103504	0.000590858
u	0.0214779	0.937043	0.0145408	0.0230864	0.00343621	0.000416252
r	0.0204099	0.863589	0.0437921	0.0375218	0.0284568	0.00622998
ε	0.155861	0.795847	0.030307	0.0118679	0.00213247	0.00398539
l	0.168327	0.135981	0.437289	0.164177	0.0463187	0.0479077
í	0.278224	0.0465208	0.267368	0.187457	0.0330162	0.187414
i	0.214044	0.0306401	0.301081	0.226567	0.1631	0.0645687
p	0.0101497	0.0180573	0.0559102	0.164917	0.58821	0.162756
έ	0.000663669	0.0327358	0.0150279	0.0264761	0.885488	0.0396083
έ	0.04407	0.0837163	0.193722	0.194459	0.430295	0.0537379
p	0.0193451	0.011077	0.135406	0.448801	0.143118	0.242253
á	0.00892158	0.0382847	0.14559	0.354057	0.326752	0.126396
m	0.00177015	0.0038361	0.0542723	0.0875672	0.423619	0.428935
i	0.0496845	0.00177491	0.0428784	0.103495	0.36048	0.441687
</S>	0.0250361	0.00273237	0.0444301	0.163797	0.0897436	0.67426
