 	son	ami	lui	a	donné	un	coup	de	poing	au	visage	</S>
o	0.587648	0.387784	0.0169196	0.00205502	0.00058212	0.00106894	0.000419496	0.00223331	0.000389899	0.000837943	2.16497e-05	4.00144e-05
b	0.0684951	0.899488	0.0133967	0.00612291	0.00302462	0.00196585	0.00252311	0.000651916	0.000442909	0.00074895	0.00141795	0.00172208
i	0.0243486	0.970121	0.00129913	0.000720653	0.000755493	0.000576116	0.00122712	0.000200763	0.000275471	0.00014666	0.000251173	7.76786e-05
a	0.0314247	0.931181	0.00553878	0.0027736	0.0056678	0.0044573	0.0113965	0.00129547	0.00106124	0.00076373	0.000891045	0.0035492
á	0.293485	0.0543932	0.460467	0.156247	0.0140542	0.00407446	0.00107928	0.00338912	0.00173584	0.00206931	0.000196359	0.00880912
s	0.00341083	0.00232972	0.042126	0.405889	0.400028	0.0667598	0.0606219	0.00349568	0.00430302	0.0029741	0.00213951	0.00592234
i	0.00156899	0.000575254	0.0132255	0.250934	0.370894	0.0685835	0.227176	0.00336196	0.002402	0.00181335	0.0243232	0.0351413
i	0.00999112	0.00171531	0.0102036	0.0902631	0.275212	0.217384	0.274125	0.0178028	0.0260418	0.00799088	0.0177973	0.0514744
w	0.0391918	0.00394133	0.193526	0.219059	0.187501	0.182995	0.0553318	0.0471542	0.0171524	0.0228094	0.00961242	0.0217252
á	0.0333975	0.00385144	0.0945319	0.127035	0.146725	0.163023	0.100087	0.191462	0.0967724	0.01889	0.00750831	0.0167171
i	0.0265371	0.00286955	0.163901	0.100088	0.122212	0.0983973	0.0741744	0.154074	0.0310089	0.0372575	0.0315609	0.157919
o	0.00065964	0.00217549	0.00187429	0.00558435	0.0443288	0.168158	0.588919	0.0726127	0.0585385	0.0135663	0.031284	0.0122987
t	0.000483219	0.000821064	0.000163011	0.000682121	0.00743166	0.0901637	0.650076	0.0629381	0.15	0.0109939	0.0198573	0.00638927
s	0.000375557	0.000558672	0.000419899	0.00152318	0.00814438	0.0464497	0.662035	0.0443286	0.200223	0.00246147	0.024686	0.00879504
ω	0.000228051	0.000245496	0.00118969	0.00327484	0.0150246	0.0505242	0.403981	0.115733	0.345894	0.0111601	0.0388647	0.0138807
ώ	0.00030068	5.75192e-05	0.00343909	0.00348729	0.0065882	0.0712741	0.21819	0.343392	0.248542	0.058333	0.0174455	0.0289504
s	0.00156857	3.55329e-05	0.00199797	0.00191369	0.00287563	0.0349748	0.0289707	0.344667	0.121729	0.389361	0.0272574	0.044648
é	0.0199781	0.000395008	0.00286724	0.00143378	0.00330716	0.0169121	0.0687049	0.113381	0.0923805	0.146445	0.326784	0.207411
l	0.0127931	0.000747269	0.00963911	0.0041188	0.00229714	0.00421316	0.0166381	0.0629217	0.107046	0.182416	0.510973	0.0861963
έ	0.00106587	0.000388097	0.00143008	0.00341083	0.00195753	0.00431859	0.023182	0.0181601	0.0198282	0.0555779	0.729267	0.141413
n	0.00319318	0.000104731	0.00135173	0.00135047	0.000898551	0.00371737	0.0077773	0.0488994	0.0839586	0.13119	0.576604	0.140955
g	0.000635437	6.4775e-05	0.000198695	0.00016389	0.000216178	0.00136956	0.00786271	0.0214597	0.0132093	0.0413223	0.851159	0.0623387
έ	0.000645086	6.11607e-05	0.00025754	0.000151924	0.000147873	0.00109577	0.00774326	0.0176759	0.0220014	0.0218964	0.85502	0.0733038
</S>	0.000170593	1.45513e-05	0.000198625	7.79763e-05	0.000135603	0.00312254	0.00460585	0.0501642	0.0708404	0.177796	0.284399	0.408475
