 	nous	pratiquons	la	pêche	au	filet	</S>
b	0.771655	0.108532	0.0432606	0.029586	0.0348387	0.0114709	0.000656762
í	0.751636	0.0943827	0.0454566	0.0469878	0.0552341	0.00562683	0.000676068
s	0.900356	0.0725299	0.0118978	0.00649696	0.00295907	0.00126538	0.00449516
í	0.712451	0.0738147	0.0865984	0.0247064	0.0697147	0.00590868	0.0268058
l	0.0311338	0.218932	0.106448	0.0417695	0.0308746	0.0383176	0.532524
έ	0.0176508	0.14777	0.220071	0.019132	0.0353885	0.00687422	0.553114
έ	0.00176111	0.71285	0.264581	0.00938204	0.00392536	0.000510929	0.0069896
s	0.000933098	0.412571	0.386719	0.174669	0.00681483	0.00550052	0.0127933
a	0.000727861	0.235493	0.664121	0.0844532	0.0043483	0.000954292	0.00990175
á	0.013759	0.057307	0.634846	0.166278	0.0279853	0.0022326	0.0975925
a	0.0191203	0.0409403	0.262012	0.163445	0.426956	0.0670519	0.0204747
s	0.00749959	0.0683024	0.162026	0.177658	0.295081	0.261869	0.027564
w	0.0051638	0.0583248	0.220914	0.12049	0.302294	0.0851358	0.207678
é	0.00438761	0.00394921	0.207213	0.0298181	0.393984	0.203591	0.157057
</S>	0.000651453	0.0130309	0.11869	0.11821	0.418363	0.108027	0.223027
