 	ces	garçons	sont	turbulents	</S>
b	0.496227	0.483452	0.0179087	0.00184738	0.000565366
á	0.149346	0.825353	0.0219866	0.001708	0.00160687
n	0.123027	0.781764	0.0843475	0.0014529	0.00940847
a	0.282342	0.697071	0.0159216	0.000312613	0.00435251
b	0.59607	0.294657	0.0870796	0.00121396	0.0209799
á	0.192401	0.237272	0.458025	0.000960252	0.111342
b	0.211294	0.351331	0.34197	0.0421979	0.053208
a	0.127757	0.749768	0.0991033	0.012607	0.0107651
a	0.183371	0.60598	0.152876	0.0305703	0.0272031
b	0.0306202	0.0231304	0.785794	0.0783103	0.0821454
á	0.200259	0.359201	0.355921	0.0172951	0.0673241
á	0.172506	0.163947	0.455171	0.139796	0.068579
d	0.0185873	0.010813	0.60582	0.150493	0.214287
í	0.00689569	0.00774274	0.127426	0.00873268	0.849203
a	0.0465399	0.0247509	0.203266	0.183953	0.54149
p	0.0503039	0.0444762	0.0993277	0.442691	0.363202
f	0.000438512	0.00183733	0.00624853	0.81306	0.178416
é	0.00352227	0.00373203	0.0136358	0.557702	0.421408
é	0.00268524	0.00198584	0.0251992	0.490043	0.480087
</S>	0.0374227	0.0111953	0.123045	0.0595179	0.768819
