 	il	a	commis	l'	adultère	avec	la	femme	du	chef	</S>
w	0.770644	0.0817916	0.0749652	0.0274117	0.0106436	0.0070589	0.0126676	0.000578342	0.0104674	0.00188799	0.00188323
a	0.472547	0.0692233	0.0320198	0.0909198	0.191831	0.0451863	0.0795059	0.00721459	0.0091327	0.00223262	0.000186553
á	0.100246	0.53746	0.192959	0.0820368	0.00887345	0.0170557	0.0355824	0.00867198	0.0150176	0.000202465	0.00189419
m	0.0131225	0.208626	0.539605	0.116277	0.0333545	0.0179585	0.0164086	0.00814309	0.024614	0.00386345	0.0180274
i	0.02128	0.113896	0.235556	0.262155	0.209356	0.0507791	0.0239125	0.0666861	0.00382015	0.000692036	0.0118672
t	0.0134381	0.0565519	0.295144	0.340691	0.0577664	0.0640872	0.0398783	0.0577599	0.00516214	0.00590359	0.0636176
ú	0.00190864	0.0186339	0.267402	0.417603	0.0498168	0.0645454	0.106885	0.0161461	0.00267495	0.016573	0.037812
b	0.00242026	0.0297272	0.245787	0.341919	0.0132233	0.0499273	0.212455	0.00573295	0.00928542	0.042031	0.0474909
h	0.00244291	0.0196469	0.289545	0.476002	0.0620352	0.0766358	0.0519777	0.000805088	0.00561443	0.000353281	0.0149422
á	0.01944	0.0140071	0.148643	0.334028	0.261567	0.0560728	0.0298412	0.000588357	0.00880088	0.00153298	0.125478
b	0.00194907	0.00444559	0.0301617	0.173148	0.330818	0.231074	0.199256	0.0126396	0.0122361	0.00143846	0.0028332
ώ	0.00289148	0.00138497	0.00455637	0.033115	0.769115	0.104758	0.0455531	0.0315456	0.00292805	0.00233232	0.00182054
s	0.000525541	0.000878242	0.00377206	0.00969537	0.88864	0.0416973	0.0182158	0.0287372	0.00228843	0.000839069	0.00471066
i	0.000470351	0.00142676	0.0176387	0.0775899	0.323464	0.284058	0.133251	0.0109161	0.0155924	0.0009369	0.134656
l	0.00152684	0.00929649	0.0193895	0.0657125	0.161904	0.369496	0.197095	0.0510156	0.0823373	0.000835108	0.0413921
a	0.00310465	0.00538249	0.0102718	0.0508174	0.0533491	0.354846	0.131183	0.0280313	0.0397553	0.00341292	0.319846
m	0.00691046	0.00295019	0.00231409	0.0455324	0.0309337	0.173781	0.426105	0.176487	0.0517138	0.0417116	0.0415604
w	0.000585439	0.000157272	5.91143e-05	0.000991714	0.00137247	0.00702277	0.0169703	0.954607	0.00522957	0.00178451	0.0112193
á	0.000598024	0.000128068	0.000573427	0.00522218	0.0111515	0.0258515	0.0260631	0.837521	0.00436016	0.0642313	0.0243
s	0.00517304	0.000423963	0.00348338	0.0434655	0.109276	0.14172	0.243235	0.238254	0.120692	0.0284458	0.0658315
í	0.00290872	0.00248223	0.00724769	0.0266572	0.0112281	0.135188	0.0886247	0.349285	0.0280676	0.00286859	0.345442
y	0.00157104	0.00325918	0.00309156	0.0114418	0.0125378	0.0544215	0.0724783	0.0366324	0.587047	0.0293008	0.188219
a	0.00709858	0.0187847	0.00980961	0.0640172	0.014202	0.0957479	0.2812	0.146601	0.196429	0.0745003	0.0916093
o	0.00138908	0.0019047	0.00183859	0.0320487	0.0101077	0.0490818	0.193863	0.0608486	0.177752	0.365899	0.105268
k	2.47361e-05	0.0002257	0.00096944	0.00118679	0.000908107	0.00347895	0.0195217	0.00359002	0.135031	0.800313	0.0347506
o	7.5312e-06	5.67844e-05	0.00108648	0.000377268	0.000418124	0.00138069	0.00226218	0.000125431	0.00679468	0.982924	0.00456727
n	4.48305e-06	2.47679e-05	0.00151004	0.000334281	0.00040173	0.00142102	0.0033619	0.000355923	0.00767611	0.969261	0.0156486
d	5.32959e-05	6.67099e-05	0.000269792	0.000153545	4.75484e-05	0.000947897	0.0023687	0.000333018	0.00444871	0.961389	0.0299218
z	0.000188832	5.27677e-05	0.000178376	0.000178833	0.000125689	0.00125799	0.00162176	0.000189022	0.00313137	0.950365	0.0427102
i	5.51831e-05	1.52858e-05	9.94532e-05	0.000187473	0.00013532	0.00185624	0.00305617	0.000230182	0.00463478	0.914757	0.0749728
</S>	0.00174225	0.00179519	0.00240702	0.00309536	0.00258328	0.0139052	0.0267229	0.000890443	0.096251	0.0402328	0.810374
