 	pourquoi	tu	le	défends	</S>
n	0.948436	0.0480507	0.00232262	0.00108107	0.000109716
ω	0.725337	0.269292	0.00153276	0.00361837	0.000219892
l	0.588364	0.347492	0.0413658	0.0156661	0.00711249
ó	0.0605843	0.0546271	0.0790193	0.092844	0.712925
o	0.247111	0.147039	0.209677	0.129141	0.267033
f	0.0013231	0.00188335	0.946585	0.0248637	0.0253447
ú	0.00154605	0.00109235	0.887365	0.0278625	0.082134
á	0.00662078	0.00794464	0.50484	0.296108	0.184486
w	0.0113622	0.0399462	0.314096	0.428108	0.206487
a	0.0449369	0.0659091	0.111551	0.683941	0.0936625
t	0.0165894	0.0943358	0.0972767	0.338742	0.453056
s	0.0232504	0.0193224	0.0700381	0.662005	0.225384
í	0.00258969	0.00475899	0.0406593	0.824575	0.127417
n	0.00245008	0.0039495	0.00869083	0.524169	0.460741
a	0.002612	0.00618549	0.0123042	0.402096	0.576802
n	0.00413635	0.00957145	0.0816533	0.105708	0.798931
d	0.008	0.0206405	0.00442969	0.290867	0.676063
e	0.00719335	0.020539	0.00221361	0.0698295	0.900225
</S>	0.000171359	0.000432334	0.0107632	0.112174	0.876459
