 	ces	habits	sont	démodés	</S>
i	0.569784	0.399234	0.0292775	0.000365209	0.00133932
k	0.0296733	0.9686	0.000628877	0.000326294	0.000771153
á	0.00295011	0.996427	0.000129269	0.000154499	0.000339513
n	0.00446768	0.988975	0.000446901	0.000679662	0.00543109
d	0.0454773	0.953101	0.000744886	1.43315e-05	0.000662169
á	0.0505669	0.877468	0.00414266	0.000301936	0.0675204
m	0.372403	0.115141	0.47797	0.00306196	0.0314241
í	0.364625	0.0100715	0.590219	0.0265105	0.00857413
í	0.500641	0.176764	0.209637	0.0876594	0.0252978
m	0.0765844	0.0277128	0.480607	0.360968	0.0541281
i	0.020706	0.00614422	0.0776684	0.794001	0.10148
s	0.00437509	0.0140201	0.103383	0.583797	0.294424
á	0.00199268	0.00287421	0.00726287	0.855033	0.132838
á	0.0361833	0.00388349	0.074331	0.424985	0.460618
o	0.0331906	0.00765715	0.496084	0.377636	0.0854326
w	0.00934911	0.0127743	0.0110549	0.937331	0.029491
o	0.0049552	0.0953143	0.0304633	0.616484	0.252783
l	0.00249763	0.0190321	0.0207291	0.167819	0.789922
a	0.0699172	0.053954	0.0289825	0.100525	0.746621
a	0.0754189	0.00547754	0.149811	0.110983	0.658309
</S>	0.211118	0.017852	0.335602	0.123521	0.311907
