 	je	me	courbe	pour	puiser	l'	eau	</S>
n	0.821431	0.0356804	0.0619839	0.0569258	0.0159588	0.00777625	0.000135732	0.000108446
g	0.96906	0.0292965	0.00129463	0.000265083	1.80651e-05	6.01166e-05	3.7689e-06	1.60796e-06
á	0.913822	0.0813789	0.00360168	0.000584826	0.000204553	0.000132323	0.000264705	1.09612e-05
l	0.172806	0.384403	0.248385	0.0385462	0.020559	0.0201824	0.014844	0.100275
í	0.530575	0.285617	0.0236791	0.0141594	0.0201979	0.0168114	0.0169677	0.091993
i	0.0380098	0.210181	0.31134	0.176392	0.0426886	0.0818107	0.0311035	0.108474
k	0.0158669	0.206087	0.69955	0.0143624	0.026734	0.00509511	0.00468613	0.0276183
ú	0.000612802	0.029389	0.891298	0.0237244	0.0329248	0.00279425	0.00189148	0.0173658
r	0.00201909	0.0258807	0.945259	0.011853	0.0012848	0.000525339	0.000153698	0.0130247
ú	0.00230943	0.021266	0.932881	0.0253136	0.00111264	0.00396979	0.00022349	0.0129236
m	0.000572255	0.0330364	0.404852	0.493735	0.00528215	0.030116	0.00254863	0.029858
á	0.00207066	0.0419486	0.349713	0.405482	0.0698236	0.069465	0.0469653	0.0145319
m	0.00675044	0.0274213	0.0913151	0.562824	0.268179	0.0153031	0.0183828	0.00982443
í	5.5309e-05	0.011734	0.0285713	0.130597	0.0698	0.0919844	0.583212	0.0840461
t	9.62708e-05	0.00516229	0.0137715	0.214421	0.67019	0.0186236	0.0616594	0.0160754
ó	5.10482e-05	0.00209264	0.0406812	0.176937	0.712962	0.0304923	0.00925331	0.0275309
a	0.000230515	0.00269651	0.025323	0.106342	0.739109	0.0587809	0.0129293	0.0545891
l	0.000757241	0.00391901	0.0149567	0.104373	0.203739	0.517443	0.0494566	0.105355
á	0.00281525	0.0110242	0.00769408	0.0237687	0.104095	0.16351	0.0814138	0.605679
m	0.00245112	0.00697661	0.00534791	0.0348881	0.0609044	0.521354	0.345136	0.0229422
á	0.000102548	0.0050634	0.00558344	0.020869	0.250689	0.194118	0.469712	0.0538635
a	0.000220125	0.00305182	0.00287529	0.0228232	0.169287	0.332349	0.377591	0.0918018
s	0.000296504	0.00183948	0.00328533	0.00892133	0.0442493	0.318805	0.175361	0.447242
í	0.000281322	0.0162308	0.00944971	0.00737871	0.00841278	0.325439	0.106137	0.526671
b	0.000172055	0.001415	0.000927879	0.00665445	0.0117692	0.43433	0.196477	0.348254
é	0.0018707	0.00242797	0.010629	0.0581412	0.439825	0.213283	0.205041	0.0687819
á	0.000289964	0.000308313	0.00164204	0.0182939	0.231937	0.155496	0.260608	0.331425
</S>	0.00100328	0.00648732	0.00577847	0.017757	0.00746372	0.210064	0.211485	0.539961
