 	de	la	manière	ou	ils	nous	ont	lancé	des	pierres	il	devaient	se	placer	là	haute	</S>
e	0.220047	0.320523	0.138505	0.304035	0.00570298	0.00475885	0.00132061	0.000238927	0.000618289	3.30139e-05	0.000173799	0.000109916	0.000397592	0.00027975	0.000723487	0.00109194	0.0014417
m	0.00436526	0.0184739	0.012577	0.0684618	0.0122056	0.0377254	0.091131	0.125313	0.0710573	0.0119296	0.00387712	0.107482	0.0210518	0.0080637	0.0283221	0.3324	0.0455628
a	0.154334	0.0291911	0.00767346	0.0121932	0.00709552	0.00777653	0.0717275	0.595975	0.0212737	0.00222815	0.000743284	0.0834232	0.00106254	0.000283258	0.00039624	0.000999288	0.00362424
a	0.00582569	0.00360093	0.00399185	0.00490133	0.0020207	0.00960375	0.071321	0.318008	0.0584301	0.00941013	0.00293054	0.447793	0.018878	0.00446513	0.00671947	0.020748	0.0113517
g	0.009877	0.0174652	0.02179	0.0135453	0.00961415	0.0233953	0.0904279	0.405284	0.136305	0.00777539	0.00692308	0.0694495	0.0249509	0.0114535	0.015062	0.0137703	0.122911
h	0.00242851	0.0011216	0.00382025	0.00363058	0.00483272	0.016073	0.117724	0.260471	0.183873	0.0339051	0.0109752	0.0499252	0.0768767	0.019019	0.0795103	0.0406415	0.0951724
í	0.00905411	0.00702741	0.00693478	0.024008	0.00816243	0.0387349	0.123281	0.0691237	0.180564	0.217142	0.0210899	0.0338843	0.0893689	0.0209465	0.0751378	0.019231	0.056309
l	0.121002	0.235138	0.180171	0.160746	0.0207069	0.0205793	0.0417021	0.0314604	0.0447305	0.0201234	0.0295062	0.0119382	0.0101086	0.00669984	0.0207905	0.00296696	0.0416301
í	0.0777292	0.0442801	0.024198	0.0456479	0.011139	0.0129089	0.0277269	0.182949	0.0360604	0.0103939	0.0151526	0.0599485	0.0164981	0.0128937	0.0167989	0.0250323	0.380643
y	0.022333	0.0884008	0.209364	0.323739	0.0379524	0.0311813	0.0365687	0.0307296	0.0328261	0.00990292	0.0295908	0.0317119	0.0184076	0.0124072	0.0179961	0.00902156	0.0578671
é	0.0639095	0.0426493	0.113185	0.503083	0.00835469	0.0150323	0.0192578	0.067395	0.018169	0.00275464	0.0233971	0.0148964	0.00293376	0.00321329	0.00552376	0.00654294	0.0897024
