 	que	dieu	nous	protège	contre	les	tentations	</S>
n	0.296667	0.692846	0.00623034	0.000980307	0.0020768	0.000929781	0.000228183	4.15747e-05
z	0.228094	0.742766	0.0215744	0.000400591	0.00208694	0.000440934	0.00445774	0.000179107
a	0.0100505	0.976853	0.0107023	0.000239942	0.00153368	0.00042349	0.000168999	2.79401e-05
m	0.161748	0.760012	0.0605925	0.00327005	0.00195177	0.00113285	0.00319109	0.0081017
b	0.565564	0.134649	0.0673842	0.0131225	0.0723578	0.11464	0.00141025	0.0308722
é	0.193567	0.40876	0.102494	0.00957097	0.111089	0.136149	0.00561729	0.0327525
k	0.320189	0.128673	0.0737892	0.236724	0.0585003	0.0462399	0.00595491	0.12993
á	0.15862	0.108254	0.0571627	0.394353	0.152945	0.0492142	0.00893575	0.0705158
a	0.091424	0.038441	0.382947	0.382115	0.0267312	0.0112336	0.00288879	0.0642198
á	0.0119051	0.00189285	0.256567	0.59651	0.0832623	0.0272854	0.00212467	0.0204524
b	0.00132246	0.000693606	0.0481481	0.6918	0.151379	0.0688962	0.0181591	0.0196012
á	0.00219953	0.000523807	0.147749	0.638436	0.140165	0.0595543	0.00250949	0.00886218
r	0.00362815	0.00130373	0.0945595	0.567185	0.175405	0.0672524	0.0351383	0.0555276
a	0.0145785	0.00231163	0.0708022	0.510846	0.289749	0.0729812	0.0157731	0.0229587
b	0.0160118	0.00628822	0.331249	0.0272116	0.261957	0.250939	0.0564172	0.0499271
í	0.024087	0.00641697	0.770215	0.00449389	0.124144	0.0668036	0.0026784	0.00116127
s	0.0235812	0.0140241	0.869014	0.00484557	0.0569231	0.0289475	0.000963944	0.00170104
í	0.00346065	0.000278911	0.109083	0.00872655	0.498196	0.306257	0.00940938	0.0645884
l	0.000954499	0.000267525	0.0262327	0.0135761	0.126599	0.37006	0.303398	0.158913
i	0.00414937	0.000620853	0.0506732	0.0164509	0.0717447	0.141277	0.48837	0.226714
s	0.00022178	2.17193e-05	0.00143095	0.00234844	0.0231749	0.0584632	0.769814	0.144525
ó	0.00016587	2.91709e-05	0.00072113	0.00045879	0.00759336	0.0471449	0.846971	0.0969161
n	2.71932e-05	1.70561e-06	0.000137039	0.000359345	0.0105109	0.0328346	0.787621	0.168509
g	7.35757e-05	1.6438e-05	0.000735077	0.000390953	0.0125425	0.0622348	0.679604	0.244402
í	0.000480188	0.000294669	0.00195442	0.000111025	0.0195869	0.0289575	0.553046	0.395569
s	0.00256168	0.000101593	0.000763631	0.000518964	0.0272049	0.0583063	0.196722	0.713821
í	0.00260663	4.79613e-05	0.00411433	0.00467049	0.0291245	0.0418345	0.53898	0.378621
</S>	0.0335428	0.000829482	0.00762496	0.00152071	0.0184451	0.0349603	0.354494	0.548583
